# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0058,0.0200,running,1,1.1883,1.9533,0.0000,0.0000,15680080,17378514,9.7292,16.0000,0,0,0.0000,-0.0000,-0.0001,0.0050,,0,20.0000
0.0366,0.0311,running,1,1.1883,1.9533,0.0001,0.0001,15680189,17378650,24.7741,40.8741,3,7,0.0001,0.0000,0.0016,0.0128,,0,31.0926
0.0588,0.0202,running,1,1.1883,1.9533,0.0001,0.0002,15680363,17378893,34.5291,57.0522,3,7,0.0002,0.0000,0.0059,0.0179,,0,20.2227
0.0775,0.0200,running,1,1.1883,1.9533,0.0003,0.0004,15680732,17379351,43.9529,73.0379,3,7,0.0004,0.0000,0.0113,0.0229,,0,19.9820
0.0971,0.0201,running,1,1.1883,1.9533,0.0006,0.0008,15681183,17380046,53.6451,89.1238,3,7,0.0007,0.0000,0.0264,0.0280,,0,20.1074
0.1172,0.0209,running,1,1.1883,1.9533,0.0009,0.0013,15681804,17380970,63.6146,105.8338,3,7,0.0011,0.0000,0.0450,0.0332,,0,20.8875
0.1373,0.0198,running,1,1.1883,1.9533,0.0013,0.0019,15682511,17382065,73.1128,121.6703,3,7,0.0016,0.0000,0.0689,0.0382,,0,19.7956
0.1598,0.0201,running,1,1.1883,1.9533,0.0017,0.0026,15683341,17383399,82.8136,137.7171,3,7,0.0021,0.0000,0.1000,0.0433,,0,20.0585
0.1778,0.0200,running,1,1.1883,1.9533,0.0022,0.0034,15684285,17384929,92.5148,153.7359,3,7,0.0028,0.0000,0.1361,0.0483,,0,20.0235
0.1997,0.0226,running,1,1.1883,1.9533,0.0028,0.0043,15685453,17386802,103.4337,171.8401,3,7,0.0036,0.0000,0.1795,0.0540,,0,22.6303
0.2201,0.0203,running,1,1.1883,1.9533,0.0034,0.0053,15686641,17388722,113.2295,188.0514,3,7,0.0044,0.0000,0.2246,0.0591,,0,20.2640
0.2543,0.0328,running,1,1.1883,1.9533,0.0046,0.0073,15688781,17392440,129.5785,214.2571,106,181,0.0059,0.0000,0.3218,0.0673,,0,32.7572
0.2738,0.0200,running,1,1.1883,1.9533,0.0053,0.0084,15690205,17394578,138.9029,230.2599,106,181,0.0069,0.0000,0.3658,0.0723,,0,20.0035
0.2940,0.0202,running,1,1.1883,1.9533,0.0062,0.0098,15691838,17397136,148.4575,246.3861,106,181,0.0080,0.0000,0.4228,0.0774,,0,20.1577
0.3141,0.0201,running,1,1.1883,1.9533,0.0071,0.0112,15693555,17399907,158.1517,262.4921,106,181,0.0091,0.0000,0.4877,0.0825,,0,20.1326
0.3343,0.0201,running,1,1.1883,1.9533,0.0080,0.0128,15695410,17403046,168.1182,278.5751,106,181,0.0104,0.0000,0.5668,0.0875,,0,20.1037
0.3543,0.0200,running,1,1.1883,1.9533,0.0091,0.0145,15697375,17406233,177.7822,294.6036,106,181,0.0118,0.0001,0.6421,0.0926,,0,20.0356
0.3743,0.0200,running,1,1.1883,1.9533,0.0102,0.0163,15699468,17409641,187.4606,310.6205,106,181,0.0132,0.0001,0.7231,0.0976,,0,20.0211
0.3946,0.0203,running,1,1.1883,1.9533,0.0113,0.0182,15701687,17413317,197.3926,326.8511,106,181,0.0148,0.0001,0.8128,0.1027,,0,20.2883
0.4166,0.0219,running,1,1.1883,1.9533,0.0126,0.0204,15704224,17417499,208.0823,344.3830,106,181,0.0165,0.0001,0.9142,0.1082,,0,21.9149
0.4373,0.0201,running,1,1.1883,1.9533,0.0140,0.0226,15706855,17421640,217.4737,360.4327,106,181,0.0183,0.0002,1.0072,0.1132,,0,20.0621
0.4703,0.0349,running,1,1.1883,1.9533,0.0162,0.0262,15711097,17428625,234.4623,388.3171,215,353,0.0212,0.0002,1.1762,0.1220,,0,34.8554
0.4917,0.0202,running,1,1.1883,1.9533,0.0177,0.0286,15713834,17433062,244.1677,404.4769,215,353,0.0231,0.0003,1.2809,0.1271,,0,20.1998
0.5111,0.0202,running,1,1.1883,1.9533,0.0192,0.0310,15716739,17437790,253.9189,420.6625,215,353,0.0251,0.0003,1.3932,0.1322,,0,20.2321
0.5308,0.0199,running,1,1.1883,1.9533,0.0208,0.0335,15719720,17442544,263.3281,436.6156,215,353,0.0271,0.0004,1.5024,0.1372,,0,19.9413
0.5508,0.0201,running,1,1.1883,1.9533,0.0224,0.0362,15722821,17447614,273.0520,452.6903,215,353,0.0293,0.0004,1.6237,0.1422,,0,20.0934
0.5708,0.0200,running,1,1.1883,1.9533,0.0241,0.0390,15726049,17452924,282.7780,468.6642,215,353,0.0315,0.0005,1.7520,0.1472,,0,19.9674
0.5912,0.0202,running,1,1.1883,1.9533,0.0258,0.0419,15729445,17458462,292.5066,484.8030,215,353,0.0338,0.0006,1.8839,0.1523,,0,20.1735
0.6113,0.0201,running,1,1.1883,1.9533,0.0277,0.0449,15732889,17464206,302.4436,500.8606,215,353,0.0363,0.0006,2.0256,0.1574,,0,20.0720
0.6335,0.0214,running,1,1.1883,1.9533,0.0297,0.0481,15736724,17470458,312.7705,518.0081,215,353,0.0389,0.0007,2.1745,0.1627,,0,21.4344
0.6538,0.0201,running,1,1.1883,1.9533,0.0316,0.0514,15740451,17476590,322.5803,534.1139,215,353,0.0415,0.0008,2.3226,0.1678,,0,20.1322
0.6874,0.0343,running,1,1.1883,1.9533,0.0350,0.0571,15747018,17487476,339.4572,561.5505,318,527,0.0460,0.0010,2.5887,0.1764,,0,34.2958
0.7086,0.0201,running,1,1.1883,1.9533,0.0371,0.0604,15750988,17493858,348.9354,577.6094,318,527,0.0487,0.0012,2.7373,0.1815,,0,20.0736
0.7274,0.0201,running,1,1.1883,1.9533,0.0393,0.0639,15755167,17500644,358.5600,593.7074,318,527,0.0516,0.0013,2.8979,0.1865,,0,20.1224
0.7473,0.0201,running,1,1.1883,1.9533,0.0415,0.0676,15759397,17507592,368.3384,609.7976,318,527,0.0545,0.0014,3.0653,0.1916,,0,20.1128
0.7673,0.0200,running,1,1.1883,1.9533,0.0438,0.0713,15763765,17514721,377.9728,625.8038,318,527,0.0575,0.0016,3.2354,0.1966,,0,20.0078
0.7876,0.0202,running,1,1.1883,1.9533,0.0462,0.0752,15768291,17522207,387.9001,641.9674,318,527,0.0607,0.0018,3.4177,0.2017,,0,20.2044
0.8076,0.0200,running,1,1.1883,1.9533,0.0486,0.0792,15772916,17529754,397.5182,657.9617,318,527,0.0639,0.0020,3.5977,0.2067,,0,19.9929
0.8281,0.0203,running,1,1.1883,1.9533,0.0511,0.0834,15777694,17537728,407.6394,674.1980,318,527,0.0672,0.0022,3.7946,0.2118,,0,20.2954
0.8501,0.0222,running,1,1.1883,1.9533,0.0539,0.0879,15783092,17546471,418.1771,691.9526,318,527,0.0709,0.0025,4.0007,0.2174,,0,22.1932
0.9096,0.0597,running,1,1.1883,1.9533,0.0617,0.1008,15797976,17570992,447.3359,739.6980,318,527,0.0812,0.0032,4.5943,0.2324,,0,59.6818
0.9381,0.0285,running,1,1.1883,1.9533,0.0656,0.1071,15805318,17582993,461.0857,762.5241,424,702,0.0862,0.0036,4.8813,0.2396,,0,28.5327
0.9611,0.0200,running,1,1.1883,1.9533,0.0684,0.1119,15810685,17592200,471.6024,778.5278,424,702,0.0900,0.0040,5.1179,0.2446,,0,20.0046
0.9793,0.0200,running,1,1.1883,1.9533,0.0713,0.1166,15816215,17601114,479.2206,791.6367,424,702,0.0938,0.0043,5.3263,0.2487,,0,19.9842
0.9993,0.0213,running,1,1.1883,1.9533,0.0744,0.1214,15822261,17610283,477.6609,791.6367,424,702,0.0977,0.0047,5.5187,0.2487,,0,21.2743
1.0206,0.0200,running,1,1.1883,1.9533,0.0775,0.1266,15828077,17620274,478.5347,791.6367,424,702,0.1019,0.0051,5.7759,0.2487,,0,20.0212
1.0399,0.0201,running,1,1.1883,1.9533,0.0805,0.1314,15833889,17629462,477.7936,791.6367,424,702,0.1058,0.0055,5.9839,0.2487,,0,20.0893
1.0613,0.0200,running,1,1.1883,1.9533,0.0836,0.1364,15839705,17639043,477.8360,791.6367,424,702,0.1098,0.0059,6.2158,0.2487,,0,20.0394
1.0796,0.0201,running,1,1.1883,1.9533,0.0866,0.1413,15845482,17648466,477.6880,791.6367,424,702,0.1137,0.0064,6.4404,0.2487,,0,20.0751
1.1010,0.0212,running,1,1.1883,1.9533,0.0898,0.1467,15851548,17658609,478.0368,791.6367,424,702,0.1180,0.0069,6.6915,0.2487,,0,21.2383
1.1211,0.0199,running,1,1.1883,1.9533,0.0928,0.1516,15857283,17668130,478.2276,791.6367,424,702,0.1219,0.0073,6.9248,0.2487,,0,19.9008
