# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0034,1.6000,1.5911,1.6021,1.0000,0,0,1,1,,5943,5943,20.0000,left,0,11.3000
0.0198,0.0190,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0123,4.5634,4.5423,4.5598,1.0000,0,0,1,1,,5943,5943,18.9973,left,0,11.3000
0.0514,0.0315,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0518,13.4571,13.3803,13.4304,1.0000,4,4,1,1,,5943,5943,31.5272,left,0,11.3000
0.0714,0.0200,run,-2.0000,2.0000,-0.0001,-0.0000,0.0000,0.0001,0.0887,20.7039,20.5412,20.6890,1.0000,4,4,1,1,,5943,5943,20.0109,left,0,11.3000
0.0913,0.0200,run,-2.0000,2.0000,-0.0001,-0.0000,0.0000,0.0001,0.1394,29.5470,29.2940,29.5214,1.0000,4,4,1,1,,5943,5943,20.0006,left,0,11.3000
0.1116,0.0202,run,-2.0000,2.0000,-0.0002,-0.0000,0.0000,0.0002,0.2061,40.1299,39.7615,40.0861,1.0000,4,4,1,1,,5943,5943,20.2322,left,0,11.3000
0.1317,0.0201,run,-2.0000,2.0000,-0.0003,-0.0000,0.0000,0.0003,0.2891,52.2669,51.7574,52.1982,1.0000,4,4,1,1,,5943,5943,20.1105,left,0,11.3000
0.1518,0.0201,run,-2.0000,2.0000,-0.0004,-0.0000,0.0000,0.0004,0.3895,65.9937,65.3172,65.8913,1.0000,4,4,1,1,,5943,5943,20.0741,left,0,11.3000
0.1718,0.0200,run,-2.0000,2.0000,-0.0005,-0.0000,0.0000,0.0005,0.5082,81.2994,80.4287,81.1536,1.0000,4,4,1,1,,5943,5943,20.0349,left,0,11.3000
0.1920,0.0201,run,-2.0000,2.0000,-0.0006,-0.0000,0.0000,0.0006,0.6470,98.2973,97.2038,98.0968,1.0000,4,4,1,1,,5943,5943,20.1287,left,0,11.3000
0.2123,0.0202,run,-2.0000,2.0000,-0.0007,-0.0000,0.0000,0.0007,0.8069,117.0174,115.6707,116.7504,1.0000,4,4,1,1,,5943,5943,20.2296,left,0,11.3000
0.2362,0.0235,run,-2.0000,2.0000,-0.0008,-0.0000,0.0000,0.0008,1.0196,140.4824,138.8202,140.1055,1.0000,4,4,1,1,,5943,5943,23.4650,left,0,11.3000
0.2680,0.0323,run,-2.0000,2.0000,-0.0010,-0.0000,0.0000,0.0010,1.3531,172.7907,170.6661,172.2091,1.0000,124,138,1,1,,823,1847,32.3083,left,0,11.3000
0.2881,0.0202,run,-2.0000,2.0000,-0.0012,-0.0000,0.0000,0.0012,1.5747,192.9473,190.4237,192.3215,1.0000,124,138,1,1,,823,1847,20.1566,left,0,11.3000
0.3081,0.0200,run,-2.0000,2.0000,-0.0014,-0.0000,0.0000,0.0014,1.8059,212.9277,210.0622,212.1814,1.0000,124,138,1,1,,823,1847,19.9803,left,0,11.3000
0.3282,0.0201,run,-2.0000,2.0000,-0.0015,-0.0000,0.0000,0.0015,2.0488,233.0738,229.8556,232.1943,1.0000,124,138,1,1,,823,1847,20.1461,left,0,11.3000
