# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0006,0.0200,run,27.0000,-27.0000,0.0001,0.0000,0.0000,-0.0001,0.0463,1.6000,1.6279,1.4796,1.0000,0,0,1,1,,5943,5943,20.0000,right,0,11.3000
0.0234,0.0227,run,27.0000,-27.0000,0.0002,0.0000,0.0000,-0.0002,0.2155,5.4796,5.3827,5.1454,1.0000,0,0,1,1,,5943,5943,22.7092,right,0,11.3000
0.0437,0.0202,run,27.0000,-27.0000,0.0005,0.0000,0.0000,-0.0005,0.4925,10.5612,10.4749,9.6624,1.0000,0,0,1,1,,5943,5943,20.1956,right,0,11.3000
0.0638,0.0201,run,27.0000,-27.0000,0.0010,0.0000,0.0000,-0.0010,0.9231,17.2418,17.1017,15.5357,1.0000,0,0,1,1,,5943,5943,20.1172,right,0,11.3000
0.0838,0.0200,run,27.0000,-27.0000,0.0017,0.0000,0.0000,-0.0017,1.5285,25.4848,25.2345,22.6779,1.0000,0,0,1,1,,5943,5943,20.0023,right,0,11.3000
0.1041,0.0203,run,27.0000,-27.0000,0.0024,0.0000,0.0000,-0.0024,2.3470,35.4937,35.0361,31.2573,1.0000,0,0,1,1,,5943,5943,20.2913,right,0,11.3000
0.1240,0.0199,run,27.0000,-27.0000,0.0034,0.0000,0.0000,-0.0034,3.3657,46.9121,46.1779,40.9149,1.0000,0,0,1,1,,5943,5943,19.9282,right,0,11.3000
0.1442,0.0202,run,27.0000,-27.0000,0.0045,0.0000,0.0000,-0.0045,4.6325,60.0958,58.9414,51.9853,1.0000,0,0,1,1,,5943,5943,20.1694,right,0,11.3000
0.1641,0.0199,run,27.0000,-27.0000,0.0058,0.0000,0.0000,-0.0058,6.1285,74.7215,73.0484,64.1375,1.0000,0,0,1,1,,5943,5943,19.9417,right,0,11.3000
0.1843,0.0202,run,27.0000,-27.0000,0.0072,0.0000,0.0000,-0.0072,7.9010,91.1291,88.7679,77.6883,1.0000,0,0,1,1,,5943,5943,20.1557,right,0,11.3000
0.2045,0.0202,run,27.0000,-27.0000,0.0087,0.0000,0.0000,-0.0087,9.9500,109.2146,106.0209,92.5084,1.0000,0,0,1,1,,5943,5943,20.2099,right,0,11.3000
0.2354,0.0310,run,27.0000,-27.0000,0.0105,0.0000,0.0000,-0.0105,13.7296,140.1655,134.5331,118.3389,1.0000,98,92,1,1,,823,1847,30.9509,right,0,11.3000
