# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,-33.0000,33.0000,-0.0001,0.0000,0.0000,0.0001,0.0566,1.6000,1.4528,1.6340,1.0000,0,0,1,1,,5943,5943,20.0000,right,0,11.3000
0.0236,0.0228,run,-33.0000,33.0000,-0.0002,0.0000,0.0000,0.0002,0.2643,5.4923,5.0831,5.3731,1.0000,0,0,1,1,,5943,5943,22.7580,right,0,11.3000
0.0437,0.0201,run,-33.0000,33.0000,-0.0006,0.0000,0.0000,0.0006,0.6002,10.5386,9.4407,10.4360,1.0000,0,0,1,1,,5943,5943,20.0772,right,0,11.3000
0.0638,0.0201,run,-33.0000,33.0000,-0.0012,0.0000,0.0000,0.0012,1.1248,17.2030,15.1233,17.0332,1.0000,0,0,1,1,,5943,5943,20.0914,right,0,11.3000
0.0839,0.0201,run,-33.0000,33.0000,-0.0020,0.0000,0.0000,0.0020,1.8702,25.5049,22.0758,25.1935,1.0000,0,0,1,1,,5943,5943,20.1376,right,0,11.3000
0.1042,0.0204,run,-33.0000,33.0000,-0.0030,0.0000,0.0000,0.0030,2.8774,35.5746,30.3860,35.0082,1.0000,0,0,1,1,,5943,5943,20.3913,right,0,11.3000
0.1240,0.0197,run,-33.0000,33.0000,-0.0042,0.0000,0.0000,0.0042,4.1048,46.8366,39.5082,45.9554,1.0000,0,0,1,1,,5943,5943,19.6714,right,0,11.3000
0.1442,0.0202,run,-33.0000,33.0000,-0.0055,0.0000,0.0000,0.0055,5.6561,60.0490,50.1488,58.6370,1.0000,0,0,1,1,,5943,5943,20.2212,right,0,11.3000
0.1641,0.0200,run,-33.0000,33.0000,-0.0070,0.0000,0.0000,0.0070,7.4898,74.7162,61.7851,72.6678,1.0000,0,0,1,1,,5943,5943,19.9992,right,0,11.3000
0.1842,0.0201,run,-33.0000,33.0000,-0.0088,0.0000,0.0000,0.0088,9.6502,91.0814,74.6607,88.2015,1.0000,0,0,1,1,,5943,5943,20.1089,right,0,11.3000
0.2043,0.0201,run,-33.0000,33.0000,-0.0107,0.0000,0.0000,0.0107,12.1322,109.0140,88.6286,105.1352,1.0000,0,0,1,1,,5943,5943,20.0577,right,0,11.3000
