# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.4845,0.0200,running,1,0.0500,0.0500,0.0270,0.0269,22480846,25486454,342.0486,342.6319,206,210,0.0270,-0.0000,-0.0108,0.1075,0.0000,20.0467
0.5182,0.0339,running,1,0.0500,0.0500,0.0307,0.0306,22487932,25493540,313.2112,313.7945,357,347,0.0307,-0.0000,-0.0108,0.0984,0.0000,33.9002
0.5385,0.0202,running,1,0.0500,0.0500,0.0329,0.0328,22492015,25497627,295.3189,295.8889,357,347,0.0328,-0.0000,-0.0105,0.0928,0.0000,20.2278
0.5596,0.0200,running,1,0.0500,0.0500,0.0348,0.0347,22495691,25501363,278.2276,278.5976,357,347,0.0348,-0.0000,-0.0068,0.0874,0.0000,19.9927
0.5794,0.0201,running,1,0.0500,0.0500,0.0366,0.0367,22499199,25505012,260.8753,260.7753,357,347,0.0366,-0.0000,0.0018,0.0820,0.0000,20.0765
0.5995,0.0201,running,1,0.0500,0.0500,0.0383,0.0384,22502440,25508268,243.7483,243.5983,357,347,0.0383,-0.0000,0.0028,0.0766,0.0000,20.0559
0.6195,0.0200,running,1,0.0500,0.0500,0.0399,0.0400,22505480,25511318,226.5095,226.3262,357,347,0.0399,-0.0000,0.0034,0.0712,0.0000,20.0215
0.6395,0.0201,running,1,0.0500,0.0500,0.0414,0.0414,22508340,25514163,208.9974,208.8641,357,347,0.0414,-0.0000,0.0025,0.0657,0.0000,20.1033
0.6603,0.0201,running,1,0.0500,0.0500,0.0428,0.0428,22510988,25516833,191.3598,191.1531,357,347,0.0428,-0.0000,0.0038,0.0601,0.0000,20.0897
0.6828,0.0234,running,1,0.0500,0.0500,0.0443,0.0443,22513819,25519568,170.4970,170.6104,357,347,0.0443,-0.0000,-0.0021,0.0536,0.0000,23.4088
0.7050,0.0203,running,1,0.0500,0.0500,0.0455,0.0455,22516107,25521930,151.5517,151.4183,357,347,0.0455,-0.0000,0.0025,0.0476,0.0000,20.3144
0.7384,0.0359,running,1,0.0500,0.0500,0.0472,0.0472,22519407,25525153,119.0290,119.1524,164,161,0.0472,-0.0000,-0.0023,0.0374,0.0000,35.9111
0.7587,0.0202,running,1,0.0500,0.0500,0.0481,0.0481,22521138,25526865,97.7339,97.9205,164,161,0.0481,-0.0000,-0.0034,0.0307,0.0000,20.1639
0.7806,0.0202,running,1,0.0500,0.0500,0.0489,0.0488,22522530,25528291,76.4193,76.4926,164,161,0.0488,-0.0000,-0.0014,0.0240,0.0000,20.2273
0.7999,0.0201,settling,1,0.0500,0.0500,0.0494,0.0494,22523588,25529346,0.0000,0.0000,164,161,0.0494,-0.0000,-0.0015,0.0000,0.0000,20.0891
0.8189,0.0201,settling,1,0.0500,0.0500,0.0498,0.0498,22524402,25530154,0.0000,0.0000,164,161,0.0498,-0.0000,-0.0019,0.0000,0.1221,20.0948
0.8392,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524864,25530636,0.0000,0.0000,164,161,0.0501,-0.0000,-0.0007,0.0000,0.1221,20.0919
0.8603,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524964,25530731,0.0000,0.0000,164,161,0.0501,-0.0000,-0.0010,0.0000,0.1221,20.0915
0.8794,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524987,25530746,0.0000,0.0000,164,161,0.0501,-0.0000,-0.0015,0.0000,0.1221,20.1841
0.9003,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524977,25530751,0.0000,0.0000,164,161,0.0501,-0.0000,-0.0006,0.0000,0.1221,20.0716
0.9198,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524958,25530745,0.0000,0.0000,164,161,0.0501,-0.0000,0.0002,0.0000,0.1221,20.1512
0.9458,0.0258,settling,1,0.0500,0.0500,0.0501,0.0501,22524958,25530738,0.0000,0.0000,-1,0,0.0501,-0.0000,-0.0002,0.0000,0.1221,25.7849
0.9657,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524955,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,-0.0001,0.0000,0.1221,20.1410
0.9858,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530736,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0001,0.0000,0.1221,20.2216
1.0060,0.0200,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0001,0.0000,0.1221,20.0326
1.0259,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524955,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,-0.0001,0.0000,0.1221,20.0640
1.0460,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524950,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0002,0.0000,0.1221,20.0968
1.0665,0.0204,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0002,0.0000,0.1221,20.4170
1.0865,0.0199,settling,1,0.0500,0.0500,0.0501,0.0501,22524949,25530736,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0002,0.0000,0.1221,19.9118
1.1080,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530735,0.0000,0.0000,-1,0,0.0501,-0.0000,-0.0000,0.0000,0.1221,20.1887
1.1267,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524950,25530737,0.0000,0.0000,-1,0,0.0501,-0.0000,0.0002,0.0000,0.1221,20.1234
1.1521,0.0253,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530734,0.0000,0.0000,0,0,0.0501,-0.0000,-0.0000,0.0000,0.0610,25.3198
1.1723,0.0203,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530738,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,20.2626
1.1923,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524950,25530737,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,20.0904
1.2125,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530737,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,20.1367
1.2325,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524953,25530737,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.0917
1.2528,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530735,0.0000,0.0000,0,0,0.0501,-0.0000,-0.0000,0.0000,0.0610,20.2231
1.2728,0.0200,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.0205
1.2930,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524950,25530735,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.1591
1.3133,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530735,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.2004
1.3343,0.0200,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,19.9899
1.3593,0.0260,settling,1,0.0500,0.0500,0.0501,0.0501,22524950,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,26.0256
1.3795,0.0202,settling,1,0.0500,0.0500,0.0501,0.0501,22524949,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,20.2441
1.3994,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524951,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.0761
1.4197,0.0201,settling,1,0.0500,0.0500,0.0501,0.0501,22524952,25530736,0.0000,0.0000,0,0,0.0501,-0.0000,0.0001,0.0000,0.0610,20.1176
1.4404,0.0201,done,1,0.0500,0.0500,0.0501,0.0501,22524951,25530738,0.0000,0.0000,0,0,0.0501,-0.0000,0.0002,0.0000,0.0610,20.1065
