# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.0056,0.0200,running,1,0.0500,0.0500,0.0000,0.0000,22429228,25435010,16.0000,16.0033,0,0,0.0000,-0.0000,-0.0001,0.0050,0.0610,20.0000
0.0201,0.0146,running,1,0.0500,0.0500,0.0000,0.0000,22429248,25435024,27.6537,27.6770,0,0,0.0000,-0.0000,-0.0004,0.0087,0.0610,14.5671
0.0418,0.0207,running,1,0.0500,0.0500,0.0001,0.0001,22429435,25435224,44.2244,44.2044,0,0,0.0001,-0.0000,0.0004,0.0139,0.0610,20.7133
0.0611,0.0205,running,1,0.0500,0.0500,0.0003,0.0003,22429823,25435572,60.5920,60.7053,0,0,0.0003,-0.0000,-0.0021,0.0190,0.0610,20.4595
0.0932,0.0309,running,1,0.0500,0.0500,0.0008,0.0007,22430716,25436432,85.3452,85.5686,42,41,0.0008,-0.0000,-0.0041,0.0268,0.0610,30.9416
0.1123,0.0201,running,1,0.0500,0.0500,0.0012,0.0011,22431476,25437127,101.4291,101.8691,42,41,0.0011,-0.0000,-0.0081,0.0319,0.0610,20.1049
0.1323,0.0200,running,1,0.0500,0.0500,0.0017,0.0016,22432432,25438056,117.4481,117.9781,42,41,0.0016,-0.0000,-0.0098,0.0369,0.0000,20.0237
0.1526,0.0203,running,1,0.0500,0.0500,0.0023,0.0022,22433602,25439225,133.7080,134.2413,42,41,0.0022,-0.0000,-0.0099,0.0420,0.0000,20.3249
0.1725,0.0200,running,1,0.0500,0.0500,0.0030,0.0029,22434952,25440579,149.7058,150.2258,42,41,0.0030,-0.0000,-0.0096,0.0470,0.0000,19.9973
0.1926,0.0201,running,1,0.0500,0.0500,0.0038,0.0037,22436492,25442122,165.7718,166.2818,42,41,0.0038,-0.0000,-0.0094,0.0521,0.0000,20.0825
0.2128,0.0201,running,1,0.0500,0.0500,0.0047,0.0046,22438248,25443878,181.8508,182.3608,42,41,0.0047,-0.0000,-0.0094,0.0571,0.0000,20.0988
0.2328,0.0201,running,1,0.0500,0.0500,0.0057,0.0057,22440177,25445804,197.9553,198.4753,42,41,0.0057,-0.0000,-0.0096,0.0622,0.0000,20.1307
0.2533,0.0204,running,1,0.0500,0.0500,0.0069,0.0068,22442355,25447984,214.2602,214.7736,42,41,0.0068,-0.0000,-0.0095,0.0673,0.0000,20.3811
0.2733,0.0200,running,1,0.0500,0.0500,0.0081,0.0080,22444673,25450298,230.2533,230.7800,42,41,0.0080,-0.0000,-0.0097,0.0723,0.0000,19.9914
0.3035,0.0303,running,1,0.0500,0.0500,0.0101,0.0100,22448538,25454185,254.4920,254.9453,206,210,0.0101,-0.0000,-0.0084,0.0800,0.0000,30.2983
0.3235,0.0201,running,1,0.0500,0.0500,0.0116,0.0115,22451332,25456977,270.5939,271.0539,206,210,0.0115,-0.0000,-0.0085,0.0850,0.0000,20.1274
0.3438,0.0201,running,1,0.0500,0.0500,0.0132,0.0131,22454370,25459992,286.6992,287.2358,206,210,0.0131,-0.0000,-0.0099,0.0901,0.0000,20.1316
0.3640,0.0202,running,1,0.0500,0.0500,0.0149,0.0148,22457591,25463242,302.8940,303.3340,206,210,0.0148,-0.0000,-0.0081,0.0952,0.0000,20.2435
0.3840,0.0199,running,1,0.0500,0.0500,0.0166,0.0166,22460982,25466620,318.8508,319.3342,206,210,0.0166,-0.0000,-0.0089,0.1002,0.0000,19.9461
0.4039,0.0201,running,1,0.0500,0.0500,0.0185,0.0184,22464555,25470197,334.9510,335.4210,206,210,0.0185,-0.0000,-0.0087,0.1052,0.0000,20.1252
0.4243,0.0201,running,1,0.0500,0.0500,0.0205,0.0204,22468369,25473996,351.0269,351.5469,206,210,0.0205,-0.0000,-0.0096,0.1103,0.0000,20.0949
0.4445,0.0201,running,1,0.0500,0.0500,0.0226,0.0225,22472336,25477994,367.0966,367.5133,206,210,0.0225,-0.0000,-0.0077,0.1153,0.0000,20.0872
0.4642,0.0201,running,1,0.0500,0.0500,0.0247,0.0247,22476478,25482103,358.6715,359.1982,206,210,0.0247,-0.0000,-0.0097,0.1127,0.0000,20.1498
