# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0009,0.0200,run,-10.0000,10.0000,-0.0000,-0.0000,0.0000,0.0000,0.0171,1.6000,1.5554,1.6103,1.0000,0,0,1,1,,5943,5943,20.0000,right,0,11.3000
0.0197,0.0189,run,-10.0000,10.0000,-0.0001,-0.0000,0.0000,0.0001,0.0610,4.5327,4.4277,4.5156,1.0000,0,0,1,1,,5943,5943,18.8646,right,0,11.3000
0.0520,0.0323,run,-10.0000,10.0000,-0.0002,-0.0000,0.0000,0.0002,0.2666,13.7351,13.3440,13.5929,1.0000,3,4,1,1,,5943,5943,32.3192,right,0,11.3000
0.0721,0.0201,run,-10.0000,10.0000,-0.0005,-0.0000,0.0000,0.0005,0.4546,21.0566,20.2248,20.9791,1.0000,3,4,1,1,,5943,5943,20.0603,right,0,11.3000
0.0921,0.0201,run,-10.0000,10.0000,-0.0007,-0.0000,0.0000,0.0007,0.7126,30.0166,28.7258,29.8822,1.0000,3,4,1,1,,5943,5943,20.1150,right,0,11.3000
0.1123,0.0201,run,-10.0000,10.0000,-0.0011,-0.0000,0.0000,0.0011,1.0480,40.6147,38.7424,40.3909,1.0000,3,4,1,1,,5943,5943,20.1474,right,0,11.3000
0.1325,0.0202,run,-10.0000,10.0000,-0.0014,-0.0000,0.0000,0.0014,1.4682,52.8672,50.2838,52.5142,1.0000,3,4,1,1,,5943,5943,20.1922,right,0,11.3000
0.1525,0.0200,run,-10.0000,10.0000,-0.0019,-0.0000,0.0000,0.0019,1.9719,66.6001,63.1765,66.0798,1.0000,3,4,1,1,,5943,5943,19.9961,right,0,11.3000
0.1724,0.0200,run,-10.0000,10.0000,-0.0024,-0.0000,0.0000,0.0024,2.5665,81.8958,77.5006,81.1581,1.0000,3,4,1,1,,5943,5943,19.9529,right,0,11.3000
0.1927,0.0202,run,-10.0000,10.0000,-0.0029,-0.0000,0.0000,0.0029,3.2686,99.0588,93.5414,98.0390,1.0000,3,4,1,1,,5943,5943,20.2492,right,0,11.3000
0.2127,0.0200,run,-10.0000,10.0000,-0.0035,-0.0000,0.0000,0.0035,4.0626,117.6298,110.8471,116.2873,1.0000,3,4,1,1,,5943,5943,20.0191,right,0,11.3000
0.2327,0.0200,run,-10.0000,10.0000,-0.0042,-0.0000,0.0000,0.0042,4.9589,137.6721,129.4832,135.9432,1.0000,3,4,1,1,,5943,5943,20.0423,right,0,11.3000
0.2641,0.0314,run,-10.0000,10.0000,-0.0049,-0.0000,0.0000,0.0049,6.5587,169.0430,158.7040,166.2646,1.0000,119,133,1,1,,823,1847,31.3709,right,0,11.3000
0.2843,0.0201,run,-10.0000,10.0000,-0.0060,-0.0000,0.0000,0.0060,7.6539,189.1598,176.8641,186.1476,1.0000,119,133,1,1,,823,1847,20.1168,right,0,11.3000
0.3044,0.0201,run,-10.0000,10.0000,-0.0067,-0.0000,0.0000,0.0067,8.8072,209.2553,195.2539,205.6422,1.0000,119,133,1,1,,823,1847,20.0955,right,0,11.3000
0.3243,0.0200,run,-10.0000,10.0000,-0.0074,-0.0000,0.0000,0.0074,10.0052,229.2531,213.5019,224.9938,1.0000,119,133,1,1,,823,1847,19.9978,right,0,11.3000
0.3443,0.0200,run,-10.0000,10.0000,-0.0081,-0.0000,0.0000,0.0081,11.2484,249.2831,231.7397,244.3298,1.0000,119,133,1,1,,823,1847,20.0300,right,0,11.3000
0.3646,0.0202,run,-10.0000,10.0000,-0.0088,-0.0000,0.0000,0.0088,12.5397,269.4823,250.0976,263.7877,1.0000,119,133,1,1,,823,1847,20.1992,right,0,11.3000
0.3846,0.0201,run,-10.0000,10.0000,-0.0096,-0.0000,0.0000,0.0096,13.8544,289.5497,268.2956,283.0950,1.0000,119,133,1,1,,823,1847,20.0674,right,0,11.3000
0.4048,0.0201,run,-10.0000,10.0000,-0.0103,-0.0000,0.0000,0.0103,15.2007,309.6802,286.5287,302.4302,1.0000,119,133,1,1,,823,1847,20.1304,right,0,11.3000
0.4247,0.0200,run,-10.0000,10.0000,-0.0110,-0.0000,0.0000,0.0110,16.5624,329.6935,304.6276,321.6346,1.0000,119,133,1,1,,823,1847,20.0133,right,0,11.3000
0.4450,0.0202,run,-10.0000,10.0000,-0.0117,-0.0000,0.0000,0.0117,17.9557,349.8748,322.8661,340.9722,1.0000,119,133,1,1,,823,1847,20.1813,right,0,11.3000
0.4769,0.0319,run,-10.0000,10.0000,-0.0124,-0.0000,0.0000,0.0124,20.2011,381.8172,352.0089,371.2234,1.0000,314,340,1,1,,823,1847,31.9424,right,0,11.3000
0.4970,0.0201,run,-10.0000,10.0000,-0.0136,-0.0000,0.0000,0.0136,21.6271,401.9111,369.7997,390.7683,1.0000,314,340,1,1,,823,1847,20.0939,right,0,11.3000
0.5171,0.0201,run,-10.0000,10.0000,-0.0143,-0.0000,0.0000,0.0143,23.0623,421.9716,387.8732,409.9453,1.0000,314,340,1,1,,823,1847,20.0605,right,0,11.3000
0.5374,0.0202,run,-10.0000,10.0000,-0.0150,-0.0000,0.0000,0.0150,24.5208,442.2150,406.1074,429.2812,1.0000,314,340,1,1,,823,1847,20.2435,right,0,11.3000
0.5571,0.0199,run,-10.0000,10.0000,-0.0157,-0.0000,0.0000,0.0157,25.9630,462.1176,424.0118,448.2974,1.0000,314,340,1,1,,823,1847,19.9026,right,0,11.3000
0.5774,0.0202,run,-10.0000,10.0000,-0.0164,-0.0000,0.0000,0.0164,27.4322,482.2902,442.1688,467.5473,1.0000,314,340,1,1,,823,1847,20.1726,right,0,11.3000
0.5975,0.0201,run,-10.0000,10.0000,-0.0171,-0.0000,0.0000,0.0171,28.9008,502.3695,460.2255,486.7119,1.0000,314,340,1,1,,823,1847,20.0793,right,0,11.3000
0.6178,0.0202,run,-10.0000,10.0000,-0.0178,-0.0000,0.0000,0.0178,30.3871,522.6164,478.4348,506.0239,1.0000,314,340,1,1,,823,1847,20.2469,right,0,11.3000
0.6378,0.0200,run,-10.0000,10.0000,-0.0186,-0.0000,0.0000,0.0186,31.8633,542.6639,496.4500,525.1511,1.0000,314,340,1,1,,823,1847,20.0475,right,0,11.3000
0.6578,0.0201,run,-10.0000,10.0000,-0.0193,-0.0000,0.0000,0.0193,33.3439,562.7171,514.4722,544.2742,1.0000,314,340,1,1,,823,1847,20.0532,right,0,11.3000
0.6890,0.0311,run,-9.0000,9.0000,-0.0180,-0.0000,0.0116,0.0064,37.5531,593.7788,551.2887,561.1626,1.0000,504,547,1,1,,823,1847,31.0617,right,0,11.3000
0.7089,0.0200,run,-9.0000,9.0000,-0.0190,-0.0000,0.0083,0.0107,39.5583,613.8130,565.9842,582.5251,1.0000,504,547,1,1,,823,1847,20.0342,right,0,11.3000
0.7290,0.0201,run,-9.0000,9.0000,-0.0196,-0.0000,0.0059,0.0137,41.0931,633.9133,582.2185,603.4220,1.0000,504,547,1,1,,823,1847,20.1004,right,0,11.3000
0.7491,0.0201,run,-9.0000,9.0000,-0.0203,-0.0000,0.0042,0.0160,42.3205,654.0355,599.3058,624.1241,1.0000,504,547,1,1,,823,1847,20.1222,right,0,11.3000
0.7690,0.0199,run,-9.0000,9.0000,-0.0209,-0.0000,0.0030,0.0179,43.3491,673.9736,616.7896,644.4594,1.0000,504,547,1,1,,823,1847,19.9381,right,0,11.3000
0.7895,0.0202,run,-9.0000,9.0000,-0.0215,-0.0000,0.0021,0.0194,44.2835,694.2021,634.9203,664.9169,1.0000,504,547,1,1,,823,1847,20.2285,right,0,11.3000
0.8094,0.0201,run,-9.0000,9.0000,-0.0222,-0.0000,0.0015,0.0207,45.1594,714.2869,653.1543,685.1008,1.0000,504,547,1,1,,823,1847,20.0848,right,0,11.3000
0.8294,0.0200,run,-9.0000,9.0000,-0.0228,-0.0000,0.0011,0.0217,46.0187,734.3221,671.4954,705.1113,1.0000,504,547,1,1,,823,1847,20.0352,right,0,11.3000
0.8495,0.0201,run,-9.0000,9.0000,-0.0235,-0.0000,0.0008,0.0227,46.8913,754.4393,690.0027,725.0933,1.0000,504,547,1,1,,823,1847,20.1172,right,0,11.3000
0.8696,0.0200,run,-9.0000,9.0000,-0.0241,-0.0000,0.0006,0.0235,47.7851,774.4845,708.4846,744.9142,1.0000,504,547,1,1,,823,1847,20.0452,right,0,11.3000
0.9012,0.0316,run,-9.0000,9.0000,-0.0247,-0.0000,0.0003,0.0244,49.2806,806.0914,737.9342,775.6873,1.0000,702,749,1,1,,823,1847,31.6069,right,0,11.3000
0.9211,0.0200,run,-9.0000,9.0000,-0.0258,-0.0000,0.0002,0.0255,50.2623,826.0649,756.0698,795.5355,1.0000,702,749,1,1,,823,1847,19.9736,right,0,11.3000
0.9413,0.0201,run,-9.0000,9.0000,-0.0264,-0.0000,0.0002,0.0262,51.2889,846.1897,774.6203,815.1812,1.0000,702,749,1,1,,823,1847,20.1247,right,0,11.3000
0.9614,0.0201,run,-8.0000,8.0000,-0.0240,-0.0000,0.0135,0.0105,54.7478,866.3349,803.4597,819.7145,1.0000,702,749,1,1,,823,1847,20.1452,right,0,11.3000
0.9813,0.0200,run,-8.0000,8.0000,-0.0246,-0.0000,0.0097,0.0149,56.9621,886.3135,817.7949,840.9079,1.0000,702,749,1,1,,823,1847,19.9786,right,0,11.3000
1.0017,0.0202,run,-8.0000,8.0000,-0.0252,-0.0000,0.0069,0.0183,58.3861,906.5427,834.0083,862.3050,1.0000,702,749,1,1,,823,1847,20.2292,right,0,11.3000
1.0218,0.0201,run,-8.0000,8.0000,-0.0257,-0.0000,0.0049,0.0208,59.2875,926.6461,851.2398,883.4773,1.0000,702,749,1,1,,823,1847,20.1034,right,0,11.3000
1.0418,0.0200,run,-8.0000,8.0000,-0.0263,-0.0000,0.0035,0.0228,59.8782,946.6792,869.1550,904.4471,1.0000,702,749,1,1,,823,1847,20.0331,right,0,11.3000
1.0619,0.0201,run,-8.0000,8.0000,-0.0269,-0.0000,0.0025,0.0244,60.3011,966.7830,887.6187,925.3452,1.0000,702,749,1,1,,823,1847,20.1038,right,0,11.3000
1.0821,0.0202,run,-8.0000,8.0000,-0.0275,-0.0000,0.0018,0.0257,60.6498,986.9735,906.4629,946.1845,1.0000,702,749,1,1,,823,1847,20.1905,right,0,11.3000
1.1142,0.0321,run,-8.0000,8.0000,-0.0280,-0.0000,0.0011,0.0269,60.9690,1000.0000,918.1885,959.8736,1.0000,904,940,1,1,,823,1847,32.0952,right,0,11.3000
1.1342,0.0201,run,-8.0000,8.0000,-0.0284,-0.0000,0.0008,0.0276,61.0512,1000.0000,917.5798,960.3178,1.0000,904,940,1,1,,823,1847,20.0839,right,0,11.3000
1.1543,0.0201,run,-7.0000,7.0000,-0.0248,-0.0000,0.0140,0.0109,63.8177,1000.0000,927.7647,944.5998,1.0000,904,940,1,1,,823,1847,20.0676,right,0,11.3000
1.1752,0.0209,run,-7.0000,7.0000,-0.0248,-0.0000,0.0098,0.0150,65.0535,1000.0000,923.3422,946.5508,1.0000,904,940,1,1,,823,1847,20.9188,right,0,11.3000
1.1951,0.0198,run,-7.0000,7.0000,-0.0248,-0.0000,0.0071,0.0178,65.2679,1000.0000,920.9650,948.4993,1.0000,904,940,1,1,,823,1847,19.8280,right,0,11.3000
