# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch
0.0007,0.0200,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0034,1.6000,1.6021,1.5911,1.0000,0,0,1,1,,5943,5943,20.0000,straight
0.0198,0.0192,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0125,4.6017,4.5981,4.5805,1.0000,0,0,1,1,,5943,5943,19.1623,straight
0.0399,0.0201,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0308,9.3622,9.3567,9.3061,1.0000,0,0,1,1,,5943,5943,20.0866,straight
0.0600,0.0201,run,2.0000,-2.0000,0.0001,0.0000,0.0000,-0.0001,0.0602,15.7324,15.7236,15.6208,1.0000,0,0,1,1,,5943,5943,20.0763,straight
0.0984,0.0385,run,2.0000,-2.0000,0.0001,0.0000,0.0000,-0.0001,0.1689,33.8669,33.7844,33.6116,1.0000,13,15,1,1,,5943,5943,38.4831,straight
0.1189,0.0204,run,2.0000,-2.0000,0.0002,0.0000,0.0000,-0.0002,0.2427,45.1369,45.0802,44.7082,1.0000,13,15,1,1,,5943,5943,20.3878,straight
0.1389,0.0199,run,2.0000,-2.0000,0.0003,0.0000,0.0000,-0.0003,0.3315,57.7429,57.6592,57.1635,1.0000,13,15,1,1,,5943,5943,19.9302,straight
0.1588,0.0200,run,2.0000,-2.0000,0.0004,0.0000,0.0000,-0.0004,0.4384,71.9940,71.8727,71.2384,1.0000,13,15,1,1,,5943,5943,20.0013,straight
0.1787,0.0200,run,2.0000,-2.0000,0.0005,0.0000,0.0000,-0.0005,0.5642,87.8636,87.6948,86.9040,1.0000,13,15,1,1,,5943,5943,20.0223,straight
0.1991,0.0203,run,2.0000,-2.0000,0.0006,0.0000,0.0000,-0.0006,0.7115,105.5761,105.3471,104.3821,1.0000,13,15,1,1,,5943,5943,20.2732,straight
0.2192,0.0202,run,2.0000,-2.0000,0.0007,0.0000,0.0000,-0.0007,0.8784,124.8080,124.5094,123.3498,1.0000,13,15,1,1,,5943,5943,20.1528,straight
0.2395,0.0202,run,2.0000,-2.0000,0.0009,0.0000,0.0000,-0.0009,1.0649,144.9738,144.5944,143.2235,1.0000,13,15,1,1,,5943,5943,20.1658,straight
