# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch
0.0038,0.0200,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0034,1.6000,1.6021,1.5911,1.0000,0,0,1,1,,4720,4720,20.0000,straight
0.0058,0.0040,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0043,1.9840,1.9885,1.9709,1.0000,0,0,1,1,,4720,4720,1.8454,straight
0.0315,0.0256,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0222,7.0658,7.0545,7.0327,1.0000,0,0,1,1,,4720,4720,25.6091,straight
0.0513,0.0201,run,2.0000,-2.0000,0.0001,0.0000,0.0000,-0.0001,0.0462,12.6686,12.6611,12.5835,1.0000,0,0,1,1,,4720,4720,20.0949,straight
0.1734,0.1000,sensor_lost,,-2.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.5502,0.5250,0.5250,1.0000,0,0,0,0,stale,4720,4720,121.9144,straight
0.2003,0.0259,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,25.8653,straight
0.2447,0.0455,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,45.5072,straight
0.2645,0.0200,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,19.9799,straight
0.2845,0.0200,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.0303,straight
0.3046,0.0201,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.0606,straight
0.3247,0.0201,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.1021,straight
0.3450,0.0202,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.1856,straight
0.3654,0.0203,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.2595,straight
0.3855,0.0201,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.1030,straight
0.4055,0.0200,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.0375,straight
0.4276,0.0220,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,22.0105,straight
0.4477,0.0201,stopping,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,4720,4720,20.1233,straight
