# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0009,0.0200,run,42.0000,-42.0000,0.0001,0.0000,0.0000,-0.0001,0.0720,1.6000,1.6433,1.4127,1.0000,0,0,1,2,,5943,5943,20.0000,right,0,11.3000
0.0198,0.0190,run,42.0000,-42.0000,0.0002,0.0000,0.0000,-0.0002,0.2580,4.5551,4.4817,4.1126,1.0000,0,0,1,2,,5943,5943,18.9616,right,0,11.3000
0.0430,0.0233,run,42.0000,-42.0000,0.0007,0.0000,0.0000,-0.0007,0.7451,10.3440,10.1242,9.0736,1.0000,0,0,1,2,,5943,5943,23.2594,right,0,11.3000
0.0629,0.0199,run,42.0000,-42.0000,0.0015,0.0000,0.0000,-0.0015,1.3946,16.8730,16.6713,14.2854,1.0000,0,0,1,2,,5943,5943,19.8807,right,0,11.3000
0.0830,0.0201,run,42.0000,-42.0000,0.0025,0.0000,0.0000,-0.0025,2.3294,25.0976,24.7141,20.8223,1.0000,0,0,1,2,,5943,5943,20.1155,right,0,11.3000
0.1031,0.0201,run,42.0000,-42.0000,0.0037,0.0000,0.0000,-0.0037,3.5720,34.9186,34.2410,28.4521,1.0000,0,0,1,2,,5943,5943,20.0766,right,0,11.3000
0.1230,0.0199,run,42.0000,-42.0000,0.0052,0.0000,0.0000,-0.0052,5.1404,46.2693,45.1559,37.1017,1.0000,0,0,1,2,,5943,5943,19.9494,right,0,11.3000
0.1431,0.0201,run,42.0000,-42.0000,0.0069,0.0000,0.0000,-0.0069,7.0835,59.3193,57.5720,46.8997,1.0000,0,0,1,2,,5943,5943,20.0968,right,0,11.3000
0.1633,0.0202,run,42.0000,-42.0000,0.0088,0.0000,0.0000,-0.0088,9.4206,74.0453,71.4659,57.7836,1.0000,0,0,1,2,,5943,5943,20.1713,right,0,11.3000
0.1833,0.0201,run,42.0000,-42.0000,0.0110,0.0000,0.0000,-0.0110,12.1457,90.3018,86.6957,69.6167,1.0000,0,0,1,2,,5943,5943,20.0624,right,0,11.3000
0.2033,0.0200,run,42.0000,-42.0000,0.0135,0.0000,0.0000,-0.0135,15.2843,108.1562,103.2862,82.4576,1.0000,0,0,1,2,,5943,5943,20.0499,right,0,11.3000
0.2237,0.0202,run,43.0000,-43.0000,0.0165,0.0000,0.0134,-0.0299,19.5145,127.7922,131.4032,85.1522,1.0000,0,0,1,2,,5943,5943,20.2150,right,0,11.3000
0.2559,0.0323,run,43.0000,-43.0000,0.0195,0.0000,0.0081,-0.0276,26.8657,160.0487,154.5663,111.7997,1.0000,112,87,1,2,,823,1847,32.2565,right,0,11.3000
0.2760,0.0200,run,43.0000,-43.0000,0.0244,0.0000,0.0058,-0.0302,31.6310,180.0889,171.8488,125.0669,1.0000,112,87,1,2,,823,1847,20.0402,right,0,11.3000
0.2961,0.0201,run,43.0000,-43.0000,0.0275,0.0000,0.0041,-0.0316,36.5994,200.2149,188.0830,139.1479,1.0000,112,87,1,2,,823,1847,20.1260,right,0,11.3000
0.3162,0.0201,run,43.0000,-43.0000,0.0306,0.0000,0.0030,-0.0335,41.7391,220.3552,204.5401,152.6921,1.0000,112,87,1,2,,823,1847,20.1404,right,0,11.3000
0.3362,0.0200,run,44.0000,-44.0000,0.0344,0.0000,0.0155,-0.0500,48.1602,240.3188,230.8063,153.5109,1.0000,112,87,1,2,,823,1847,19.9636,right,0,11.3000
0.3563,0.0202,run,44.0000,-44.0000,0.0375,0.0000,0.0111,-0.0486,54.4256,260.4813,243.6599,168.4514,1.0000,112,87,1,2,,823,1847,20.1625,right,0,11.3000
0.3763,0.0200,run,44.0000,-44.0000,0.0407,0.0000,0.0079,-0.0486,60.5123,280.5033,257.5811,182.4010,1.0000,112,87,1,2,,823,1847,20.0220,right,0,11.3000
0.3992,0.0229,run,44.0000,-44.0000,0.0438,0.0000,0.0054,-0.0492,67.3761,303.3695,274.0824,197.9045,1.0000,112,87,1,2,,823,1847,22.8662,right,0,11.3000
0.4171,0.0180,run,45.0000,-45.0000,0.0485,0.0000,0.0178,-0.0663,74.2344,321.3968,298.4225,195.9022,1.0000,112,87,1,2,,823,1847,18.0272,right,0,11.3000
0.4373,0.0201,run,45.0000,-45.0000,0.0513,0.0000,0.0127,-0.0640,81.3668,341.5140,309.6830,210.6115,1.0000,112,87,1,2,,823,1847,20.1173,right,0,11.3000
0.4693,0.0320,run,45.0000,-45.0000,0.0546,0.0000,0.0077,-0.0623,91.9774,373.4729,329.6871,233.3041,1.0000,306,210,1,2,,1847,1847,31.9589,right,0,11.3000
0.4895,0.0202,run,46.0000,-46.0000,0.0610,0.0000,0.0189,-0.0799,100.4156,393.6273,355.0204,231.4031,1.0000,306,210,1,2,,1847,1847,20.1544,right,0,11.3000
0.5096,0.0201,run,46.0000,-46.0000,0.0643,0.0000,0.0135,-0.0778,108.0797,413.7125,365.7931,245.4725,1.0000,306,210,1,2,,1847,1847,20.0852,right,0,11.3000
