# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0062,0.0200,running,1,1.1883,1.9533,0.0000,0.0000,13411209,13648143,9.7292,16.0000,0,0,0.0000,-0.0000,-0.0001,0.0050,,0,20.0000
0.0430,0.0377,running,1,1.1883,1.9533,0.0001,0.0001,13411335,13648324,28.0188,46.1507,3,7,0.0001,0.0000,0.0033,0.0145,,0,37.6883
0.0640,0.0201,running,1,1.1883,1.9533,0.0001,0.0002,13411490,13648554,37.7472,62.2244,3,7,0.0002,0.0000,0.0079,0.0195,,0,20.0922
0.0838,0.0204,running,1,1.1883,1.9533,0.0003,0.0005,13411856,13649020,47.3882,78.5239,3,7,0.0004,0.0000,0.0141,0.0247,,0,20.3743
0.1032,0.0199,running,1,1.1883,1.9533,0.0006,0.0008,13412334,13649710,56.8619,94.4153,3,7,0.0007,0.0000,0.0272,0.0297,,0,19.8642
0.1235,0.0202,running,1,1.1883,1.9533,0.0009,0.0013,13412944,13650663,66.6101,110.6046,3,7,0.0011,0.0000,0.0483,0.0347,,0,20.2366
0.1455,0.0213,running,1,1.1883,1.9533,0.0013,0.0020,13413729,13651867,76.8043,127.6492,3,7,0.0016,0.0000,0.0741,0.0401,,0,21.3058
0.1658,0.0201,running,1,1.1883,1.9533,0.0018,0.0026,13414625,13653200,86.3151,143.7487,3,7,0.0022,0.0000,0.1010,0.0452,,0,20.1243
0.1857,0.0199,running,1,1.1883,1.9533,0.0023,0.0034,13415664,13654727,95.6412,159.6813,3,7,0.0029,0.0000,0.1311,0.0502,,0,19.9157
0.2056,0.0202,running,1,1.1883,1.9533,0.0029,0.0044,13416794,13656466,105.2104,175.8055,3,7,0.0036,0.0000,0.1686,0.0552,,0,20.1553
0.2261,0.0202,running,1,1.1883,1.9533,0.0036,0.0054,13418033,13658449,114.9173,191.9401,3,7,0.0045,0.0000,0.2144,0.0603,,0,20.1682
0.2638,0.0385,running,1,1.1883,1.9533,0.0050,0.0077,13420693,13662757,133.5281,222.7462,112,187,0.0063,0.0000,0.3160,0.0700,,0,38.5077
0.2838,0.0201,running,1,1.1883,1.9533,0.0058,0.0089,13422212,13665119,143.0273,238.8101,112,187,0.0073,0.0000,0.3679,0.0750,,0,20.0798
0.3034,0.0199,running,1,1.1883,1.9533,0.0066,0.0102,13423877,13667639,152.2507,254.6940,112,187,0.0084,0.0000,0.4206,0.0800,,0,19.8549
0.3240,0.0203,running,1,1.1883,1.9533,0.0076,0.0117,13425689,13670475,161.8185,270.8961,112,187,0.0096,0.0000,0.4836,0.0851,,0,20.2526
0.3443,0.0202,running,1,1.1883,1.9533,0.0086,0.0133,13427630,13673535,171.4008,287.0821,112,187,0.0109,0.0001,0.5526,0.0902,,0,20.2325
0.3699,0.0238,running,1,1.1883,1.9533,0.0099,0.0155,13430045,13677728,183.4194,306.0931,112,187,0.0127,0.0001,0.6621,0.0962,,0,23.7638
0.3898,0.0201,running,1,1.1883,1.9533,0.0110,0.0174,13432162,13681305,193.3781,322.1390,112,187,0.0142,0.0001,0.7520,0.1012,,0,20.0573
0.4087,0.0199,running,1,1.1883,1.9533,0.0121,0.0192,13434399,13684879,202.8742,338.0918,112,187,0.0157,0.0001,0.8344,0.1062,,0,19.9411
0.4290,0.0202,running,1,1.1883,1.9533,0.0134,0.0213,13436856,13688868,212.6152,354.2693,112,187,0.0174,0.0001,0.9288,0.1113,,0,20.2219
0.4623,0.0341,running,1,1.1883,1.9533,0.0156,0.0250,13441016,13695828,229.4812,381.5863,205,349,0.0203,0.0002,1.1013,0.1199,,0,34.1462
0.4835,0.0201,running,1,1.1883,1.9533,0.0170,0.0274,13443673,13700424,239.7320,397.6742,205,349,0.0222,0.0002,1.2207,0.1249,,0,20.1099
0.5025,0.0200,running,1,1.1883,1.9533,0.0185,0.0296,13446510,13704750,248.7830,413.6762,205,349,0.0241,0.0003,1.3124,0.1300,,0,20.0026
0.5228,0.0203,running,1,1.1883,1.9533,0.0200,0.0322,13449432,13709580,258.7021,429.8910,205,349,0.0261,0.0003,1.4300,0.1351,,0,20.2684
0.5427,0.0200,running,1,1.1883,1.9533,0.0216,0.0348,13452453,13714610,268.5419,445.8511,205,349,0.0282,0.0004,1.5537,0.1401,,0,19.9502
0.5625,0.0201,running,1,1.1883,1.9533,0.0232,0.0375,13455603,13719763,278.2861,461.9510,205,349,0.0304,0.0004,1.6771,0.1451,,0,20.1249
0.5857,0.0222,running,1,1.1883,1.9533,0.0252,0.0407,13459251,13725896,289.3441,479.6723,205,349,0.0329,0.0005,1.8302,0.1507,,0,22.1516
0.6059,0.0200,running,1,1.1883,1.9533,0.0269,0.0437,13462657,13731607,299.3285,495.7096,205,349,0.0353,0.0006,1.9722,0.1557,,0,20.0466
0.6261,0.0203,running,1,1.1883,1.9533,0.0288,0.0468,13466161,13737475,309.4235,511.9424,205,349,0.0378,0.0007,2.1178,0.1608,,0,20.2911
0.6459,0.0200,running,1,1.1883,1.9533,0.0307,0.0499,13469781,13743444,319.1727,527.9056,205,349,0.0403,0.0008,2.2625,0.1658,,0,19.9540
0.6790,0.0333,running,1,1.1883,1.9533,0.0340,0.0555,13476179,13754076,335.6315,554.5757,314,521,0.0447,0.0010,2.5233,0.1742,,0,33.3376
0.7012,0.0218,running,1,1.1883,1.9533,0.0362,0.0592,13480369,13761155,346.6427,572.0365,314,521,0.0477,0.0011,2.7013,0.1797,,0,21.8260
0.7203,0.0186,running,1,1.1883,1.9533,0.0383,0.0625,13484421,13767435,354.9151,586.9026,314,521,0.0504,0.0012,2.8385,0.1844,,0,18.5825
0.7390,0.0200,running,1,1.1883,1.9533,0.0404,0.0658,13488366,13773849,364.4961,602.8867,314,521,0.0531,0.0014,2.9906,0.1894,,0,19.9801
0.7590,0.0202,running,1,1.1883,1.9533,0.0427,0.0695,13492679,13780963,374.3589,619.0172,314,521,0.0561,0.0015,3.1632,0.1945,,0,20.1631
0.8180,0.0581,running,1,1.1883,1.9533,0.0495,0.0810,13505735,13802770,403.3146,665.4593,314,521,0.0652,0.0021,3.7023,0.2091,,0,58.0526
0.8400,0.0229,running,1,1.1883,1.9533,0.0522,0.0853,13510993,13811032,413.6730,683.7556,314,521,0.0687,0.0023,3.8873,0.2148,,0,22.8703
0.8590,0.0184,running,1,1.1883,1.9533,0.0546,0.0891,13515514,13818327,422.3684,698.5034,314,521,0.0718,0.0025,4.0582,0.2194,,0,18.4348
0.8952,0.0352,running,1,1.1883,1.9533,0.0592,0.0964,13524218,13832308,438.8617,726.7018,417,670,0.0777,0.0030,4.3833,0.2283,,0,35.2480
0.9138,0.0201,running,1,1.1883,1.9533,0.0619,0.1008,13529342,13840697,448.5727,742.7762,417,670,0.0813,0.0032,4.5844,0.2334,,0,20.0930
0.9340,0.0201,running,1,1.1883,1.9533,0.0647,0.1054,13534727,13849450,458.1703,758.8810,417,670,0.0849,0.0035,4.7919,0.2384,,0,20.1311
0.9540,0.0201,running,1,1.1883,1.9533,0.0675,0.1100,13540190,13858319,467.7335,774.9701,417,670,0.0887,0.0039,5.0017,0.2435,,0,20.1113
0.9740,0.0200,running,1,1.1883,1.9533,0.0705,0.1148,13545767,13867421,477.3529,790.9994,417,670,0.0925,0.0042,5.2188,0.2485,,0,20.0366
0.9945,0.0201,running,1,1.1883,1.9533,0.0734,0.1198,13551447,13876894,478.0174,791.6367,417,670,0.0965,0.0046,5.4525,0.2487,,0,20.0508
1.0162,0.0214,running,1,1.1883,1.9533,0.0767,0.1251,13557617,13886994,477.9323,791.6367,417,670,0.1007,0.0050,5.6946,0.2487,,0,21.3523
1.0364,0.0200,running,1,1.1883,1.9533,0.0797,0.1300,13563353,13896499,478.0873,791.6367,417,670,0.1047,0.0054,5.9268,0.2487,,0,19.9814
1.0563,0.0200,running,1,1.1883,1.9533,0.0827,0.1350,13569067,13906003,478.3136,791.6367,417,670,0.1086,0.0058,6.1602,0.2487,,0,20.0466
1.0763,0.0200,running,1,1.1883,1.9533,0.0856,0.1400,13574774,13915532,478.6139,791.6367,417,670,0.1126,0.0062,6.3957,0.2487,,0,20.0278
1.1012,0.0256,running,1,1.1883,1.9533,0.0895,0.1465,13582115,13927847,479.1172,791.6367,475,790,0.1177,0.0068,6.7021,0.2487,,0,25.5533
1.1194,0.0181,running,1,1.1883,1.9533,0.0922,0.1509,13587267,13936356,479.1991,791.6367,475,790,0.1213,0.0072,6.9089,0.2487,,0,18.0825
1.1393,0.0201,running,1,1.1883,1.9533,0.0952,0.1559,13592987,13945941,479.5697,791.6367,475,790,0.1252,0.0077,7.1470,0.2487,,0,20.0975
1.1596,0.0202,running,1,1.1883,1.9533,0.0982,0.1610,13598777,13955556,479.7677,791.6367,475,790,0.1292,0.0082,7.3826,0.2487,,0,20.1511
1.1795,0.0200,running,1,1.1883,1.9533,0.1012,0.1659,13604484,13964993,479.8815,791.6367,475,790,0.1332,0.0088,7.6124,0.2487,,0,20.0227
1.2012,0.0217,running,1,1.1883,1.9533,0.1045,0.1713,13610707,13975247,479.9320,791.6367,475,790,0.1374,0.0093,7.8607,0.2487,,0,21.7264
1.2235,0.0199,running,1,1.1883,1.9533,0.1074,0.1762,13616368,13984637,480.1038,791.6367,475,790,0.1413,0.0099,8.0904,0.2487,,0,19.9049
1.2410,0.0199,running,1,1.1883,1.9533,0.1104,0.1812,13622106,13994155,480.2784,791.6367,475,790,0.1453,0.0105,8.3232,0.2487,,0,19.9036
1.2613,0.0203,running,1,1.1883,1.9533,0.1135,0.1862,13627917,14003773,480.4126,791.6367,475,790,0.1493,0.0111,8.5578,0.2487,,0,20.3048
1.2813,0.0201,running,1,1.1883,1.9533,0.1165,0.1912,13633647,14013225,480.4801,791.6367,475,790,0.1532,0.0117,8.7870,0.2487,,0,20.0616
