# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,-13.0000,13.0000,-0.0000,-0.0000,0.0000,0.0000,0.0223,1.6000,1.5420,1.6134,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0199,0.0192,run,-13.0000,13.0000,-0.0001,-0.0000,0.0000,0.0001,0.0810,4.6010,4.4629,4.5772,1.0000,0,0,1,1,,5943,5943,19.1592,straight,0,11.3000
0.0401,0.0202,run,-13.0000,13.0000,-0.0002,-0.0000,0.0000,0.0002,0.2010,9.3872,9.0219,9.3504,1.0000,0,0,1,1,,5943,5943,20.1683,straight,0,11.3000
0.0733,0.0333,run,-13.0000,13.0000,-0.0004,-0.0000,0.0000,0.0004,0.6176,21.7290,20.7763,21.4464,1.0000,7,8,1,1,,5943,5943,33.3076,straight,0,11.3000
0.0938,0.0203,run,-13.0000,13.0000,-0.0010,-0.0000,0.0000,0.0010,0.9634,30.8819,29.1428,30.6941,1.0000,7,8,1,1,,5943,5943,20.2674,straight,0,11.3000
0.1138,0.0201,run,-13.0000,13.0000,-0.0014,-0.0000,0.0000,0.0014,1.4061,41.5609,39.0524,41.2571,1.0000,7,8,1,1,,5943,5943,20.0764,straight,0,11.3000
0.1339,0.0201,run,-13.0000,13.0000,-0.0019,-0.0000,0.0000,0.0019,1.9589,53.8892,50.4467,53.4139,1.0000,7,8,1,1,,5943,5943,20.1300,straight,0,11.3000
0.1539,0.0200,run,-13.0000,13.0000,-0.0025,-0.0000,0.0000,0.0025,2.6227,67.7406,63.1942,67.0416,1.0000,7,8,1,1,,5943,5943,20.0035,straight,0,11.3000
0.1740,0.0201,run,-13.0000,13.0000,-0.0031,-0.0000,0.0000,0.0031,3.4133,83.3125,77.4810,82.3173,1.0000,7,8,1,1,,5943,5943,20.1441,straight,0,11.3000
0.1941,0.0201,run,-13.0000,13.0000,-0.0038,-0.0000,0.0000,0.0038,4.3274,100.4385,93.1371,99.0851,1.0000,7,8,1,1,,5943,5943,20.0702,straight,0,11.3000
