# profile=agv-01 blind run: 1 segment(s) at 1592 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.0056,0.0200,running,1,2.0000,2.0000,0.0000,-0.0000,9591560,9828341,16.0000,16.0167,0,0,-0.0000,0.0000,-0.0003,0.0050,70,1,20.0000
0.0439,0.0374,running,1,2.0000,2.0000,0.0001,0.0001,9591783,9828547,45.8932,45.9665,4,12,0.0001,-0.0000,-0.0014,0.0144,71,1,37.3665
0.0683,0.0247,running,1,2.0000,2.0000,0.0003,0.0003,9592114,9828882,65.6656,65.7256,4,12,0.0003,-0.0000,-0.0011,0.0206,69,1,24.7155
0.0883,0.0200,running,1,2.0000,2.0000,0.0006,0.0005,9592646,9829350,81.6635,81.9369,4,12,0.0005,-0.0000,-0.0051,0.0257,71,1,19.9974
0.1084,0.0200,running,1,2.0000,2.0000,0.0009,0.0009,9593359,9830070,97.6557,97.9057,4,12,0.0009,-0.0000,-0.0046,0.0307,71,1,19.9902
0.1284,0.0202,running,1,2.0000,2.0000,0.0015,0.0014,9594343,9831038,113.8215,114.1248,4,12,0.0014,-0.0000,-0.0056,0.0358,71,1,20.2072
0.1494,0.0200,running,1,2.0000,2.0000,0.0021,0.0020,9595551,9832253,129.8458,130.1258,4,12,0.0021,-0.0000,-0.0052,0.0408,70,1,20.0304
0.1710,0.0217,running,1,2.0000,2.0000,0.0029,0.0029,9597109,9833821,147.2067,147.4534,4,12,0.0029,-0.0000,-0.0046,0.0462,69,1,21.7011
0.1903,0.0202,running,1,2.0000,2.0000,0.0038,0.0037,9598748,9835475,163.3761,163.5728,4,12,0.0037,-0.0000,-0.0036,0.0513,69,1,20.2117
0.2117,0.0201,running,1,2.0000,2.0000,0.0048,0.0047,9600675,9837343,179.4368,179.8302,4,12,0.0047,-0.0000,-0.0073,0.0564,70,1,20.0759
0.2490,0.0389,running,1,2.0000,2.0000,0.0068,0.0068,9604603,9841321,210.5549,210.7815,168,173,0.0068,-0.0000,-0.0042,0.0661,70,1,38.8976
0.2680,0.0189,running,1,2.0000,2.0000,0.0079,0.0079,9606706,9843445,225.7050,225.8617,168,173,0.0079,-0.0000,-0.0029,0.0709,69,1,18.9376
0.2858,0.0184,running,1,2.0000,2.0000,0.0091,0.0090,9608959,9845596,240.4034,240.9001,168,173,0.0091,-0.0000,-0.0092,0.0755,70,1,18.3730
0.3072,0.0201,running,1,2.0000,2.0000,0.0105,0.0105,9611589,9848323,256.4866,256.6600,168,173,0.0105,-0.0000,-0.0032,0.0806,71,1,20.1040
0.3271,0.0201,running,1,2.0000,2.0000,0.0120,0.0120,9614476,9851216,272.5634,272.7167,168,173,0.0120,-0.0000,-0.0028,0.0856,69,1,20.0959
0.3461,0.0201,running,1,2.0000,2.0000,0.0137,0.0136,9617629,9854300,288.6798,289.0631,168,173,0.0136,-0.0000,-0.0071,0.0907,69,1,20.1455
0.3701,0.0221,running,1,2.0000,2.0000,0.0156,0.0157,9621328,9858301,306.3402,305.7168,168,173,0.0156,-0.0000,0.0115,0.0962,69,1,22.0755
