# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0234,0.0226,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.6412,straight,0,11.3000
0.0433,0.0200,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0216,straight,0,11.3000
0.0635,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0951,straight,0,11.3000
0.0835,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0820,straight,0,11.3000
0.1037,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1262,straight,0,11.3000
0.1237,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0672,straight,0,11.3000
0.1438,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0644,straight,0,11.3000
0.1639,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0874,straight,0,11.3000
0.1840,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1280,straight,0,11.3000
0.2041,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1090,straight,0,11.3000
0.2262,0.0221,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,22.1147,straight,0,11.3000
0.2463,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0961,straight,0,11.3000
0.2665,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1383,straight,0,11.3000
0.2865,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0648,straight,0,11.3000
0.3067,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1243,straight,0,11.3000
0.3267,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0506,straight,0,11.3000
0.3468,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0869,straight,0,11.3000
0.3669,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0991,straight,0,11.3000
0.3870,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1192,straight,0,11.3000
0.4071,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0704,straight,0,11.3000
0.4339,0.0267,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,26.7355,straight,0,11.3000
0.4540,0.0202,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1657,straight,0,11.3000
0.4741,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0608,straight,0,11.3000
0.4941,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0762,straight,0,11.3000
0.5143,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.1258,straight,0,11.3000
0.5343,0.0201,stopping,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,1,1,,5943,5943,20.0593,straight,0,11.3000
