# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0005,0.0200,run,7.0000,-7.0000,0.0001,0.0000,0.0000,-0.0001,0.0120,1.6000,1.6305,1.5455,1.0000,0,0,1,1,,5943,5943,20.0000,left,1,25.0000
0.0200,0.0193,run,7.0000,-7.0000,0.0001,0.0000,0.0000,-0.0001,0.0442,4.6448,4.6687,4.5326,1.0000,0,0,1,1,,5943,5943,19.3464,left,1,25.0000
0.0525,0.0325,run,7.0000,-7.0000,0.0003,0.0000,0.0000,-0.0003,0.1912,13.9838,13.9901,13.5950,1.0000,3,4,1,1,,5943,5943,32.4974,left,1,25.0000
0.0766,0.0242,run,7.0000,-7.0000,0.0008,0.0000,0.0000,-0.0008,0.3643,23.2832,23.5135,22.3242,1.0000,3,4,1,1,,5943,5943,24.2049,left,1,25.0000
0.0990,0.0222,run,7.0000,-7.0000,0.0013,0.0000,0.0000,-0.0013,0.5843,33.7845,34.1902,32.2100,1.0000,3,4,1,1,,5943,5943,22.2014,left,1,25.0000
0.1169,0.0179,run,7.0000,-7.0000,0.0019,0.0000,0.0000,-0.0019,0.8058,43.5586,44.1895,41.3162,1.0000,3,4,1,1,,5943,5943,17.9419,left,1,25.0000
0.1370,0.0200,run,7.0000,-7.0000,0.0024,0.0000,0.0000,-0.0024,1.1111,56.0554,56.7966,53.0919,1.0000,3,4,1,1,,5943,5943,20.0020,left,1,25.0000
0.1572,0.0203,run,7.0000,-7.0000,0.0031,0.0000,0.0000,-0.0031,1.4848,70.3774,71.2764,66.5089,1.0000,3,4,1,1,,5943,5943,20.2882,left,1,25.0000
0.1771,0.0200,run,7.0000,-7.0000,0.0039,0.0000,0.0000,-0.0039,1.9182,86.0903,87.1649,81.1793,1.0000,3,4,1,1,,5943,5943,19.9935,left,1,25.0000
0.1970,0.0200,run,7.0000,-7.0000,0.0047,0.0000,0.0000,-0.0047,2.4190,103.3829,104.6249,97.3029,1.0000,3,4,1,1,,5943,5943,19.9731,left,1,25.0000
