# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch
0.0007,0.0200,run,-14.0000,14.0000,-0.0000,-0.0000,0.0000,0.0000,0.0240,1.6000,1.5376,1.6144,1.0000,0,0,1,1,,5943,5943,20.0000,straight
0.0199,0.0192,run,-14.0000,14.0000,-0.0001,-0.0000,0.0000,0.0001,0.0872,4.5993,4.4506,4.5736,1.0000,0,0,1,1,,5943,5943,19.1516,straight
0.0401,0.0202,run,-14.0000,14.0000,-0.0002,-0.0000,0.0000,0.0002,0.2163,9.3800,8.9869,9.3405,1.0000,0,0,1,1,,5943,5943,20.1531,straight
0.0601,0.0201,run,-14.0000,14.0000,-0.0005,-0.0000,0.0000,0.0005,0.4226,15.7605,14.9773,15.6985,1.0000,0,0,1,1,,5943,5943,20.0909,straight
0.0802,0.0201,run,-14.0000,14.0000,-0.0008,-0.0000,0.0000,0.0008,0.7196,23.7538,22.4283,23.6400,1.0000,0,0,1,1,,5943,5943,20.0872,straight
0.1004,0.0201,run,-13.0000,13.0000,-0.0011,-0.0000,0.0134,-0.0123,1.2120,33.3847,41.6925,22.6529,1.0000,0,0,1,1,,5943,5943,20.1295,straight
0.1317,0.0314,run,-14.0000,14.0000,-0.0017,-0.0000,-0.0033,0.0050,2.1710,52.3243,46.3049,54.0018,1.0000,29,23,1,1,,823,1847,31.3622,straight
0.1516,0.0200,run,-14.0000,14.0000,-0.0026,-0.0000,-0.0024,0.0050,2.8956,66.0048,59.2656,66.9528,1.0000,29,23,1,1,,823,1847,20.0033,straight
0.1719,0.0202,run,-14.0000,14.0000,-0.0033,-0.0000,-0.0017,0.0050,3.7505,81.4580,73.8654,81.5497,1.0000,29,23,1,1,,823,1847,20.2072,straight
0.1922,0.0202,run,-14.0000,14.0000,-0.0040,-0.0000,-0.0012,0.0053,4.7344,98.5299,89.7347,97.8565,1.0000,29,23,1,1,,823,1847,20.1914,straight
