# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0007,0.0200,run,-4.0000,4.0000,-0.0000,-0.0000,0.0000,0.0000,0.0069,1.6000,1.5822,1.6041,1.0000,0,0,1,1,,5943,5943,20.0000,right,0,11.3000
0.0234,0.0228,run,-5.0000,5.0000,-0.0000,-0.0000,-0.0032,0.0033,0.0443,5.4931,2.9238,7.9739,1.0000,0,0,1,1,,5943,5943,22.7608,right,0,11.3000
0.0436,0.0202,run,-4.0000,4.0000,-0.0001,-0.0000,0.0013,-0.0012,0.0875,10.5657,11.4438,9.5126,1.0000,0,0,1,1,,5943,5943,20.1561,right,0,11.3000
0.0639,0.0202,run,-5.0000,5.0000,-0.0002,-0.0000,-0.0036,0.0037,0.1861,17.2929,14.2077,20.0059,1.0000,0,0,1,1,,5943,5943,20.2275,right,0,11.3000
0.0839,0.0200,run,-5.0000,5.0000,-0.0003,-0.0000,-0.0025,0.0028,0.3150,25.5481,23.0288,27.4375,1.0000,0,0,1,1,,5943,5943,20.0074,right,0,11.3000
0.1039,0.0201,run,-5.0000,5.0000,-0.0005,-0.0000,-0.0018,0.0023,0.4786,35.4400,33.2071,36.7157,1.0000,0,0,1,1,,5943,5943,20.0694,right,0,11.3000
0.1240,0.0201,run,-4.0000,4.0000,-0.0005,-0.0000,0.0074,-0.0069,0.7111,46.9451,51.5638,40.9042,1.0000,0,0,1,1,,5943,5943,20.0725,right,0,11.3000
0.1443,0.0203,run,-5.0000,5.0000,-0.0008,-0.0000,-0.0054,0.0063,1.0288,60.1975,54.3142,64.0232,1.0000,0,0,1,1,,5943,5943,20.2573,right,0,11.3000
0.1643,0.0200,run,-4.0000,4.0000,-0.0009,-0.0000,0.0090,-0.0081,1.3948,74.9047,79.7877,67.2322,1.0000,0,0,1,1,,5943,5943,20.0285,right,0,11.3000
0.1843,0.0200,run,-4.0000,4.0000,-0.0011,-0.0000,0.0064,-0.0053,1.7532,91.2084,93.5875,85.3230,1.0000,0,0,1,1,,5943,5943,20.0194,right,0,11.3000
0.2045,0.0202,run,-5.0000,5.0000,-0.0016,-0.0000,-0.0088,0.0104,2.3688,109.3039,98.8560,115.0142,1.0000,0,0,1,1,,5943,5943,20.2128,right,0,11.3000
0.2381,0.0335,run,-4.0000,4.0000,-0.0016,-0.0000,0.0060,-0.0044,3.1592,142.8529,143.1101,136.2773,1.0000,98,108,1,1,,1847,1847,33.5490,right,0,11.3000
0.2582,0.0201,run,-4.0000,4.0000,-0.0020,-0.0000,0.0043,-0.0022,3.6052,162.9250,161.0451,157.5944,1.0000,98,108,1,1,,1847,1847,20.0721,right,0,11.3000
0.2784,0.0202,run,-4.0000,4.0000,-0.0023,-0.0000,0.0030,-0.0007,4.0362,183.0892,179.6111,178.4948,1.0000,98,108,1,1,,1847,1847,20.1642,right,0,11.3000
0.2983,0.0200,run,-4.0000,4.0000,-0.0026,-0.0000,0.0022,0.0004,4.4545,203.0412,198.2538,198.9196,1.0000,98,108,1,1,,1847,1847,19.9520,right,0,11.3000
0.3184,0.0201,run,-4.0000,4.0000,-0.0029,-0.0000,0.0015,0.0013,4.8751,223.1626,217.2540,219.3212,1.0000,98,108,1,1,,1847,1847,20.1215,right,0,11.3000
0.3384,0.0200,run,-4.0000,4.0000,-0.0032,-0.0000,0.0011,0.0021,5.2982,243.2044,236.3093,239.5032,1.0000,98,108,1,1,,1847,1847,20.0418,right,0,11.3000
0.3585,0.0201,run,-4.0000,4.0000,-0.0035,-0.0000,0.0008,0.0027,5.7305,263.2969,255.5044,259.6283,1.0000,98,108,1,1,,1847,1847,20.0925,right,0,11.3000
0.3786,0.0201,run,-4.0000,4.0000,-0.0037,-0.0000,0.0006,0.0032,6.1733,283.3793,274.7488,279.6633,1.0000,98,108,1,1,,1847,1847,20.0824,right,0,11.3000
0.3986,0.0201,run,-4.0000,4.0000,-0.0040,-0.0000,0.0004,0.0036,6.6279,303.4459,294.0157,299.6204,1.0000,98,108,1,1,,1847,1847,20.0666,right,0,11.3000
0.4189,0.0202,run,-5.0000,5.0000,-0.0054,-0.0000,-0.0131,0.0185,8.6409,323.6513,300.7087,329.3122,1.0000,98,108,1,1,,1847,1847,20.2054,right,0,11.3000
0.4549,0.0360,run,-5.0000,5.0000,-0.0057,-0.0000,-0.0076,0.0134,11.0206,359.6551,338.2984,358.9706,1.0000,301,322,1,1,,1847,1847,36.0038,right,0,11.3000
0.4750,0.0201,run,-5.0000,5.0000,-0.0064,-0.0000,-0.0054,0.0118,12.0733,379.7575,358.5435,376.8249,1.0000,301,322,1,1,,1847,1847,20.1023,right,0,11.3000
0.4950,0.0200,run,-5.0000,5.0000,-0.0067,-0.0000,-0.0039,0.0106,12.9339,399.8036,378.6558,395.0836,1.0000,301,322,1,1,,1847,1847,20.0461,right,0,11.3000
0.5152,0.0201,run,-5.0000,5.0000,-0.0071,-0.0000,-0.0028,0.0099,13.6714,419.9517,398.6528,413.9077,1.0000,301,322,1,1,,1847,1847,20.1481,right,0,11.3000
0.5352,0.0200,run,-5.0000,5.0000,-0.0075,-0.0000,-0.0020,0.0094,14.3238,439.9855,418.3693,432.9541,1.0000,301,322,1,1,,1847,1847,20.0338,right,0,11.3000
0.5553,0.0201,run,-5.0000,5.0000,-0.0078,-0.0000,-0.0014,0.0092,14.9295,460.0887,438.0295,452.2888,1.0000,301,322,1,1,,1847,1847,20.1032,right,0,11.3000
0.5754,0.0201,run,-4.0000,4.0000,-0.0065,-0.0000,0.0124,-0.0059,16.5567,480.1428,468.1345,459.0379,1.0000,301,322,1,1,,1847,1847,20.0541,right,0,11.3000
0.5956,0.0202,run,-5.0000,5.0000,-0.0085,-0.0000,-0.0045,0.0131,17.5282,500.3323,472.6930,492.9152,1.0000,301,322,1,1,,1847,1847,20.1895,right,0,11.3000
0.6156,0.0201,run,-5.0000,5.0000,-0.0089,-0.0000,-0.0032,0.0121,18.2956,520.3963,492.7201,511.4813,1.0000,301,322,1,1,,1847,1847,20.0640,right,0,11.3000
0.6355,0.0200,run,-5.0000,5.0000,-0.0092,-0.0000,-0.0023,0.0116,18.9331,540.3662,512.4937,530.3723,1.0000,301,322,1,1,,1847,1847,19.9699,right,0,11.3000
0.6661,0.0305,run,-5.0000,5.0000,-0.0096,-0.0000,-0.0014,0.0110,19.7683,570.9107,542.6094,559.6754,1.0000,499,530,1,1,,823,1847,30.5445,right,0,11.3000
