# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0009,0.0200,run,16.0000,-16.0000,0.0001,0.0000,0.0000,-0.0001,0.0274,1.6000,1.6165,1.5286,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0234,0.0225,run,16.0000,-16.0000,0.0001,0.0000,0.0000,-0.0001,0.1263,5.4374,5.3814,5.2409,1.0000,0,0,1,1,,5943,5943,22.5478,straight,0,11.3000
0.0435,0.0201,run,16.0000,-16.0000,0.0003,0.0000,0.0000,-0.0003,0.2884,10.4708,10.4214,9.9436,1.0000,0,0,1,1,,5943,5943,20.0894,straight,0,11.3000
0.0636,0.0201,run,16.0000,-16.0000,0.0006,0.0000,0.0000,-0.0006,0.5418,17.1234,17.0416,16.1215,1.0000,0,0,1,1,,5943,5943,20.1012,straight,0,11.3000
0.0838,0.0202,run,16.0000,-16.0000,0.0010,0.0000,0.0000,-0.0010,0.9031,25.4295,25.2787,23.7741,1.0000,0,0,1,1,,5943,5943,20.1769,straight,0,11.3000
0.1037,0.0200,run,16.0000,-16.0000,0.0014,0.0000,0.0000,-0.0014,1.3782,35.2560,34.9951,32.7606,1.0000,0,0,1,1,,5943,5943,19.9884,straight,0,11.3000
0.1238,0.0201,run,16.0000,-16.0000,0.0020,0.0000,0.0000,-0.0020,1.9853,46.7517,46.3153,43.2174,1.0000,0,0,1,1,,5943,5943,20.0971,straight,0,11.3000
0.1439,0.0201,run,16.0000,-16.0000,0.0027,0.0000,0.0000,-0.0027,2.7303,59.8507,59.1745,55.0665,1.0000,0,0,1,1,,5943,5943,20.0806,straight,0,11.3000
0.1640,0.0201,run,16.0000,-16.0000,0.0034,0.0000,0.0000,-0.0034,3.6229,74.5844,73.5910,68.3320,1.0000,0,0,1,1,,5943,5943,20.1072,straight,0,11.3000
0.1841,0.0201,run,16.0000,-16.0000,0.0042,0.0000,0.0000,-0.0042,4.6681,90.9225,89.5312,82.9776,1.0000,0,0,1,1,,5943,5943,20.0930,straight,0,11.3000
0.2044,0.0202,run,16.0000,-16.0000,0.0052,0.0000,0.0000,-0.0052,5.8829,109.0239,107.1357,99.1464,1.0000,0,0,1,1,,5943,5943,20.2452,straight,0,11.3000
0.2362,0.0319,run,16.0000,-16.0000,0.0062,0.0000,0.0000,-0.0062,8.1951,140.8795,137.4742,127.8944,1.0000,99,98,1,1,,823,1847,31.8556,straight,0,11.3000
0.2561,0.0200,run,16.0000,-16.0000,0.0080,0.0000,0.0000,-0.0080,9.7814,160.8684,157.2764,144.8975,1.0000,99,98,1,1,,823,1847,19.9889,straight,0,11.3000
0.2763,0.0201,run,16.0000,-16.0000,0.0091,0.0000,0.0000,-0.0091,11.4981,181.0177,176.5873,162.4520,1.0000,99,98,1,1,,823,1847,20.1493,straight,0,11.3000
0.2965,0.0202,run,16.0000,-16.0000,0.0103,0.0000,0.0000,-0.0103,13.3159,201.1692,195.8062,179.9004,1.0000,99,98,1,1,,823,1847,20.1514,straight,0,11.3000
0.3165,0.0200,run,16.0000,-16.0000,0.0114,0.0000,0.0000,-0.0114,15.2096,221.2155,214.8441,197.1677,1.0000,99,98,1,1,,823,1847,20.0463,straight,0,11.3000
0.3366,0.0201,run,16.0000,-16.0000,0.0126,0.0000,0.0000,-0.0126,17.1780,241.2757,233.8167,214.3787,1.0000,99,98,1,1,,823,1847,20.0602,straight,0,11.3000
0.3566,0.0201,run,16.0000,-16.0000,0.0137,0.0000,0.0000,-0.0137,19.2095,261.3379,252.7287,231.5281,1.0000,99,98,1,1,,823,1847,20.0621,straight,0,11.3000
0.3767,0.0201,run,15.0000,-15.0000,0.0139,0.0000,-0.0134,-0.0005,22.0732,281.4154,259.7309,258.9535,1.0000,99,98,1,1,,823,1847,20.0775,straight,0,11.3000
0.3969,0.0201,run,15.0000,-15.0000,0.0150,0.0000,-0.0096,-0.0054,24.6003,301.5313,281.1234,272.7387,1.0000,99,98,1,1,,823,1847,20.1159,straight,0,11.3000
0.4169,0.0201,run,15.0000,-15.0000,0.0161,0.0000,-0.0068,-0.0092,26.8903,321.6331,301.8853,287.6004,1.0000,99,98,1,1,,823,1847,20.1018,straight,0,11.3000
0.4533,0.0363,run,15.0000,-15.0000,0.0171,0.0000,-0.0040,-0.0132,30.6554,357.9619,337.4977,317.1154,1.0000,288,286,1,1,,823,1847,36.3288,straight,0,11.3000
