# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,-11.0000,11.0000,-0.0000,-0.0000,0.0000,0.0000,0.0189,1.6000,1.5509,1.6113,1.0000,0,0,1,1,,4720,4720,20.0000,right,0,11.3000
0.0199,0.0191,run,-11.0000,11.0000,-0.0001,-0.0000,0.0000,0.0001,0.0683,4.5914,4.4747,4.5714,1.0000,0,0,1,1,,4720,4720,19.1178,right,0,11.3000
0.0399,0.0201,run,-11.0000,11.0000,-0.0002,-0.0000,0.0000,0.0002,0.1691,9.3489,9.0411,9.3184,1.0000,0,0,1,1,,4720,4720,20.0886,right,0,11.3000
0.0603,0.0203,run,-11.0000,11.0000,-0.0004,-0.0000,0.0000,0.0004,0.3337,15.8183,15.2022,15.7669,1.0000,0,0,1,1,,4720,4720,20.3337,right,0,11.3000
0.0823,0.0220,run,-11.0000,11.0000,-0.0006,-0.0000,0.0000,0.0006,0.5979,24.7373,23.6617,24.6173,1.0000,0,0,1,1,,4720,4720,21.9666,right,0,11.3000
0.1024,0.0202,run,-11.0000,11.0000,-0.0010,-0.0000,0.0000,0.0010,0.9232,34.5854,32.9151,34.4095,1.0000,0,0,1,1,,4720,4720,20.2250,right,0,11.3000
0.1225,0.0201,run,-11.0000,11.0000,-0.0014,-0.0000,0.0000,0.0014,1.3341,45.9634,43.5847,45.6740,1.0000,0,0,1,1,,4720,4720,20.0609,right,0,11.3000
0.1425,0.0200,run,-11.0000,11.0000,-0.0018,-0.0000,0.0000,0.0018,1.8383,58.9202,55.6936,58.4702,1.0000,0,0,1,1,,4720,4720,20.0184,right,0,11.3000
0.1628,0.0202,run,-11.0000,11.0000,-0.0023,-0.0000,0.0000,0.0023,2.4497,73.6514,69.4220,72.9813,1.0000,0,0,1,1,,4720,4720,20.2305,right,0,11.3000
0.1829,0.0201,run,-11.0000,11.0000,-0.0029,-0.0000,0.0000,0.0029,3.1613,89.8807,84.4947,88.9440,1.0000,0,0,1,1,,4720,4720,20.0743,right,0,11.3000
