time,profile,counts_per_wheel_rev,log_dir,segment,kind,spec,speed_motor_rpm,target_left,target_right,final_left,final_right,error_left,error_right,encoder_left_m,encoder_right_m,encoder_distance_m,encoder_heading_deg,encoder_dx_m,encoder_dy_m,commanded_distance_m,commanded_heading_deg,commanded_dx_m,commanded_dy_m,duration_s,tape_at_start,e_mm_start,e_mm_end,measured_distance_m,measured_heading_deg,notes
2026-09-15 15:45:05,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0055-blind_20260915_154457,1,straight,distance_m=1.0,636.6198,1909859,1909859,1909001,1909123,-858,-736,0.9996,0.9996,0.9996,0.0075,0.9996,0.0000,1.0000,0.0000,1.0000,0.0000,7.5455,0,,70,,,
2026-09-15 15:46:41,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0056-blind_20260915_154634,1,straight,distance_m=2.0,1591.5494,3819719,3819719,3819664,3819776,-55,57,2.0000,2.0000,2.0000,0.0069,2.0000,0.0001,2.0000,0.0000,2.0000,0.0000,6.4637,1,70,,,,
2026-09-15 15:48:44,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0057-blind_20260915_154834,1,arc,radius_m=1.0;angle_deg=90.0,636.6198,2269500,3730500,2268874,3730371,-626,-129,1.1880,1.9532,1.5706,90.0306,1.0003,0.9995,1.5708,90.0000,1.0000,1.0000,9.4851,0,,,,,
2026-09-15 15:49:19,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0058-blind_20260915_154910,1,arc,radius_m=1.0;angle_deg=90.0,636.6198,2269500,3730500,2268787,3730353,-713,-147,1.1879,1.9532,1.5706,90.0349,0.9994,1.0000,1.5708,90.0000,1.0000,1.0000,9.2872,0,,92,,,
