# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,9.0000,-9.0000,0.0000,0.0000,0.0000,-0.0000,0.0154,1.6000,1.6093,1.5599,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0240,0.0231,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0303,1.6000,1.6092,1.5301,1.0000,0,0,1,1,,5943,5943,23.0568,straight,0,11.3000
0.0439,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0415,1.6000,1.5980,1.5190,1.0000,0,0,1,1,,5943,5943,20.0318,straight,0,11.3000
0.0640,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0510,1.5999,1.5885,1.5094,1.0000,0,0,1,1,,5943,5943,20.0944,straight,0,11.3000
0.0841,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0592,1.5999,1.5803,1.5012,1.0000,0,0,1,1,,5943,5943,20.0819,straight,0,11.3000
0.1041,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0662,1.5999,1.5733,1.4942,1.0000,0,0,1,1,,5943,5943,20.0488,straight,0,11.3000
0.1244,0.0202,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0722,1.5999,1.5672,1.4881,1.0000,0,0,1,1,,5943,5943,20.2054,straight,0,11.3000
0.1444,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0773,1.5999,1.5621,1.4830,1.0000,0,0,1,1,,5943,5943,20.0471,straight,0,11.3000
0.1644,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0817,1.5998,1.5577,1.4786,1.0000,0,0,1,1,,5943,5943,20.0756,straight,0,11.3000
0.1846,0.0202,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0855,1.5998,1.5539,1.4748,1.0000,0,0,1,1,,5943,5943,20.1543,straight,0,11.3000
0.2047,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0887,1.5998,1.5506,1.4715,1.0000,0,0,1,1,,5943,5943,20.0891,straight,0,11.3000
0.2277,0.0230,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0918,1.5998,1.5475,1.4684,1.0000,0,0,1,1,,5943,5943,22.9540,straight,0,11.3000
0.2476,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0941,1.5998,1.5452,1.4661,1.0000,0,0,1,1,,5943,5943,19.9726,straight,0,11.3000
0.2676,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0961,1.5997,1.5432,1.4641,1.0000,0,0,1,1,,5943,5943,20.0635,straight,0,11.3000
0.2878,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0978,1.5997,1.5414,1.4624,1.0000,0,0,1,1,,5943,5943,20.1156,straight,0,11.3000
0.3078,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.0993,1.5997,1.5400,1.4609,1.0000,0,0,1,1,,5943,5943,20.0588,straight,0,11.3000
0.3279,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1005,1.5997,1.5387,1.4596,1.0000,0,0,1,1,,5943,5943,20.1088,straight,0,11.3000
0.3480,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1016,1.5997,1.5376,1.4585,1.0000,0,0,1,1,,5943,5943,20.0823,straight,0,11.3000
0.3681,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1025,1.5996,1.5367,1.4576,1.0000,0,0,1,1,,5943,5943,20.0884,straight,0,11.3000
0.3882,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1033,1.5996,1.5359,1.4568,1.0000,0,0,1,1,,5943,5943,20.1339,straight,0,11.3000
0.4083,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1040,1.5996,1.5352,1.4561,1.0000,0,0,1,1,,5943,5943,20.0730,straight,0,11.3000
0.4345,0.0262,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1047,1.5996,1.5344,1.4554,1.0000,0,0,1,1,,5943,5943,26.2272,straight,0,11.3000
0.4545,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1051,1.5995,1.5339,1.4549,1.0000,0,0,1,1,,5943,5943,20.0007,straight,0,11.3000
0.4747,0.0202,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1056,1.5995,1.5335,1.4544,1.0000,0,0,1,1,,5943,5943,20.1507,straight,0,11.3000
0.4948,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1059,1.5995,1.5331,1.4541,1.0000,0,0,1,1,,5943,5943,20.1383,straight,0,11.3000
0.5149,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1062,1.5995,1.5328,1.4538,1.0000,0,0,1,1,,5943,5943,20.1447,straight,0,11.3000
0.5350,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1065,1.5995,1.5325,1.4535,1.0000,0,0,1,1,,5943,5943,20.0836,straight,0,11.3000
0.5551,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1067,1.5994,1.5323,1.4532,1.0000,0,0,1,1,,5943,5943,20.0401,straight,0,11.3000
0.5751,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1069,1.5994,1.5321,1.4530,1.0000,0,0,1,1,,5943,5943,20.0549,straight,0,11.3000
0.5952,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1070,1.5994,1.5319,1.4529,1.0000,0,0,1,1,,5943,5943,20.1207,straight,0,11.3000
0.6153,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1071,1.5994,1.5318,1.4527,1.0000,0,0,1,1,,5943,5943,20.1104,straight,0,11.3000
0.6381,0.0226,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1073,1.5994,1.5316,1.4526,1.0000,0,0,1,1,,5943,5943,22.5537,straight,0,11.3000
0.6579,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1074,1.5993,1.5315,1.4524,1.0000,0,0,1,1,,5943,5943,20.0575,straight,0,11.3000
0.6780,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1075,1.5993,1.5314,1.4523,1.0000,0,0,1,1,,5943,5943,20.0840,straight,0,11.3000
0.6983,0.0202,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1075,1.5993,1.5313,1.4522,1.0000,0,0,1,1,,5943,5943,20.2408,straight,0,11.3000
0.7182,0.0199,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1076,1.5993,1.5312,1.4522,1.0000,0,0,1,1,,5943,5943,19.9441,straight,0,11.3000
0.7384,0.0202,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1076,1.5993,1.5311,1.4521,1.0000,0,0,1,1,,5943,5943,20.1698,straight,0,11.3000
0.7585,0.0200,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1077,1.5992,1.5311,1.4520,1.0000,0,0,1,1,,5943,5943,20.0408,straight,0,11.3000
0.7786,0.0201,stopping,9.0000,-9.0000,0.0001,0.0000,0.0000,-0.0001,0.1077,1.5992,1.5310,1.4520,1.0000,0,0,1,1,,5943,5943,20.1498,straight,0,11.3000
