# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0014,0.0200,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0034,1.6000,1.5911,1.6021,1.0000,0,0,1,1,,4720,4720,20.0000,right,0,11.3000
0.0217,0.0201,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0133,4.8205,4.7984,4.8160,1.0000,0,0,1,1,,4720,4720,20.0853,right,0,11.3000
0.0564,0.0244,run,-2.0000,2.0000,-0.0000,-0.0000,0.0000,0.0000,0.0392,11.1161,11.0504,11.1034,1.0000,0,0,1,1,,4720,4720,24.4053,right,0,11.3000
0.0939,0.0479,run,-2.0000,2.0000,-0.0001,-0.0000,0.0000,0.0001,0.1678,32.6526,32.4238,32.5459,1.0000,0,0,1,1,,4720,4720,47.9038,right,0,11.3000
0.1954,0.1000,run,-2.0000,2.0000,-0.0002,-0.0000,0.0000,0.0002,0.8934,117.6104,116.5377,116.8963,1.0000,0,0,1,1,,4720,4720,101.2063,right,0,11.3000
0.2206,0.0256,run,-2.0000,2.0000,-0.0008,-0.0000,0.0000,0.0008,1.1108,141.9822,140.2255,141.5173,1.0000,0,0,1,1,,4720,4720,25.6011,right,0,11.3000
0.2430,0.0224,run,-2.0000,2.0000,-0.0010,-0.0000,0.0000,0.0010,1.3244,164.4262,162.3221,163.8815,1.0000,0,0,1,1,,4720,4720,22.4440,right,0,11.3000
0.3293,0.0862,run,-2.0000,2.0000,-0.0012,-0.0000,0.0000,0.0012,2.3425,250.6408,247.3953,249.2013,1.0000,0,0,1,1,,4720,4720,86.2146,right,0,11.3000
0.3853,0.0561,run,-2.0000,2.0000,-0.0018,-0.0000,0.0000,0.0018,3.0622,306.7563,302.3176,305.0706,1.0000,0,0,1,1,,4720,4720,56.1155,right,0,11.3000
0.4055,0.0202,run,-2.0000,2.0000,-0.0022,-0.0000,0.0000,0.0022,3.3275,326.9447,321.9325,325.3018,1.0000,0,0,1,1,,4720,4720,20.1883,right,0,11.3000
0.4242,0.0188,run,-2.0000,2.0000,-0.0023,-0.0000,0.0000,0.0023,3.5791,345.7358,340.3611,343.9521,1.0000,0,0,1,1,,4720,4720,18.7911,right,0,11.3000
0.4442,0.0200,run,-2.0000,2.0000,-0.0025,-0.0000,0.0000,0.0025,3.8520,365.7723,360.0215,363.8189,1.0000,0,0,1,1,,4720,4720,20.0365,right,0,11.3000
0.4643,0.0201,run,-2.0000,2.0000,-0.0026,-0.0000,0.0000,0.0026,4.1291,385.8247,379.6869,383.7044,1.0000,0,0,1,1,,4720,4720,20.0525,right,0,11.3000
0.4843,0.0201,run,-2.0000,2.0000,-0.0027,-0.0000,0.0000,0.0027,4.4098,405.8880,399.3593,403.5971,1.0000,0,0,1,1,,4720,4720,20.0632,right,0,11.3000
0.5045,0.0201,run,-2.0000,2.0000,-0.0029,-0.0000,0.0000,0.0029,4.6940,425.9979,419.0748,423.5329,1.0000,0,0,1,1,,4720,4720,20.1099,right,0,11.3000
0.5250,0.0203,run,-2.0000,2.0000,-0.0030,-0.0000,0.0000,0.0030,4.9839,446.3283,439.0049,443.6839,1.0000,0,0,1,1,,4720,4720,20.3304,right,0,11.3000
0.5534,0.0284,run,-2.0000,2.0000,-0.0032,-0.0000,0.0000,0.0032,5.3923,474.6883,466.8449,471.7471,1.0000,0,0,1,1,,4720,4720,28.3600,right,0,11.3000
0.5734,0.0200,run,-2.0000,2.0000,-0.0034,-0.0000,0.0000,0.0034,5.6821,494.6934,486.4044,491.6182,1.0000,0,0,1,1,,4720,4720,20.0051,right,0,11.3000
0.5933,0.0200,run,-2.0000,2.0000,-0.0035,-0.0000,0.0000,0.0035,5.9734,514.7009,506.0108,511.4443,1.0000,0,0,1,1,,4720,4720,20.0076,right,0,11.3000
0.6135,0.0202,run,-2.0000,2.0000,-0.0037,-0.0000,0.0000,0.0037,6.2684,534.8751,525.7801,531.4333,1.0000,0,0,1,1,,4720,4720,20.1741,right,0,11.3000
0.6338,0.0202,run,-2.0000,2.0000,-0.0038,-0.0000,0.0000,0.0038,6.5649,555.0793,545.5769,551.4518,1.0000,0,0,1,1,,4720,4720,20.2042,right,0,11.3000
0.6540,0.0202,run,-2.0000,2.0000,-0.0039,-0.0000,0.0000,0.0039,6.8621,575.2609,565.3504,571.4472,1.0000,0,0,1,1,,4720,4720,20.1816,right,0,11.3000
0.6740,0.0200,run,-2.0000,2.0000,-0.0041,-0.0000,0.0000,0.0041,7.1575,595.2728,584.9560,591.2745,1.0000,0,0,1,1,,4720,4720,20.0119,right,0,11.3000
0.6939,0.0200,run,-2.0000,2.0000,-0.0042,-0.0000,0.0000,0.0042,7.4537,615.2907,604.5679,611.1061,1.0000,0,0,1,1,,4720,4720,20.0180,right,0,11.3000
0.7141,0.0201,run,-2.0000,2.0000,-0.0044,-0.0000,0.0000,0.0044,7.7518,635.3935,624.2626,631.0208,1.0000,0,0,1,1,,4720,4720,20.1027,right,0,11.3000
0.7342,0.0202,run,-2.0000,2.0000,-0.0045,-0.0000,0.0000,0.0045,8.0511,655.5469,644.0064,650.9853,1.0000,0,0,1,1,,4720,4720,20.1535,right,0,11.3000
0.7622,0.0280,run,-2.0000,2.0000,-0.0047,-0.0000,0.0000,0.0047,8.4673,683.5187,671.4513,678.6515,1.0000,0,0,1,1,,4720,4720,27.9717,right,0,11.3000
0.7822,0.0201,run,-2.0000,2.0000,-0.0049,-0.0000,0.0000,0.0049,8.7661,703.5792,691.0593,698.5668,1.0000,0,0,1,1,,4720,4720,20.0605,right,0,11.3000
0.8025,0.0202,run,-2.0000,2.0000,-0.0050,-0.0000,0.0000,0.0050,9.0672,723.7751,710.8439,718.5717,1.0000,0,0,1,1,,4720,4720,20.1959,right,0,11.3000
0.8226,0.0201,run,-2.0000,2.0000,-0.0051,-0.0000,0.0000,0.0051,9.3672,743.8748,730.5327,738.4824,1.0000,0,0,1,1,,4720,4720,20.0997,right,0,11.3000
0.8427,0.0201,run,-2.0000,2.0000,-0.0053,-0.0000,0.0000,0.0053,9.6680,764.0119,750.2588,758.4292,1.0000,0,0,1,1,,4720,4720,20.1372,right,0,11.3000
0.8629,0.0201,run,-2.0000,2.0000,-0.0054,-0.0000,0.0000,0.0054,9.9676,784.0643,769.9008,778.2925,1.0000,0,0,1,1,,4720,4720,20.0524,right,0,11.3000
0.8828,0.0200,run,-2.0000,2.0000,-0.0056,-0.0000,0.0000,0.0056,10.2671,804.0942,789.5211,798.1330,1.0000,0,0,1,1,,4720,4720,20.0299,right,0,11.3000
0.9027,0.0200,run,-2.0000,2.0000,-0.0057,-0.0000,0.0000,0.0057,10.5667,824.1197,809.1371,817.9689,1.0000,0,0,1,1,,4720,4720,20.0255,right,0,11.3000
0.9230,0.0202,run,-2.0000,2.0000,-0.0059,-0.0000,0.0000,0.0059,10.8693,844.3394,828.9443,837.9961,1.0000,0,0,1,1,,4720,4720,20.2198,right,0,11.3000
0.9432,0.0201,run,-2.0000,2.0000,-0.0060,-0.0000,0.0000,0.0060,11.1707,864.4721,848.6645,857.9384,1.0000,0,0,1,1,,4720,4720,20.1327,right,0,11.3000
0.9721,0.0289,run,-2.0000,2.0000,-0.0061,-0.0000,0.0000,0.0061,11.6029,893.3339,876.9835,886.4785,1.0000,0,0,1,1,,4720,4720,28.8618,right,0,11.3000
0.9920,0.0200,run,-2.0000,2.0000,-0.0063,-0.0000,0.0000,0.0063,11.9021,913.3068,896.4987,906.3107,1.0000,0,0,1,1,,4720,4720,19.9729,right,0,11.3000
1.0121,0.0201,run,-2.0000,2.0000,-0.0065,-0.0000,0.0000,0.0065,12.2038,933.4459,916.2264,926.2578,1.0000,0,0,1,1,,4720,4720,20.1391,right,0,11.3000
1.0323,0.0201,run,-2.0000,2.0000,-0.0066,-0.0000,0.0000,0.0066,12.5057,953.5895,935.9576,946.2102,1.0000,0,0,1,1,,4720,4720,20.1436,right,0,11.3000
