# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch
0.0007,0.0200,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.0137,1.6000,1.5643,1.6083,1.0000,0,0,1,1,,5943,5943,20.0000,straight
0.0200,0.0194,run,-8.0000,8.0000,-0.0000,-0.0000,0.0000,0.0000,0.0506,4.6513,4.5656,4.6359,1.0000,0,0,1,1,,5943,5943,19.3740,straight
0.0403,0.0203,run,-8.0000,8.0000,-0.0001,-0.0000,0.0000,0.0001,0.1255,9.4857,9.2580,9.4624,1.0000,0,0,1,1,,5943,5943,20.2651,straight
0.0602,0.0199,run,-8.0000,8.0000,-0.0003,-0.0000,0.0000,0.0003,0.2431,15.8366,15.3851,15.8019,1.0000,0,0,1,1,,5943,5943,19.9492,straight
0.0802,0.0200,run,-8.0000,8.0000,-0.0004,-0.0000,0.0000,0.0004,0.4128,23.8225,23.0617,23.7575,1.0000,0,0,1,1,,5943,5943,20.0393,straight
0.1003,0.0200,run,-8.0000,8.0000,-0.0007,-0.0000,0.0000,0.0007,0.6407,33.4186,32.2546,33.3012,1.0000,0,0,1,1,,5943,5943,20.0465,straight
0.1205,0.0202,run,-8.0000,8.0000,-0.0009,-0.0000,0.0000,0.0009,0.9355,44.7388,43.0691,44.5373,1.0000,0,0,1,1,,5943,5943,20.2286,straight
0.1406,0.0201,run,-8.0000,8.0000,-0.0013,-0.0000,0.0000,0.0013,1.2972,57.6029,55.3230,57.2885,1.0000,0,0,1,1,,5943,5943,20.0999,straight
0.1607,0.0201,run,-8.0000,8.0000,-0.0016,-0.0000,0.0000,0.0016,1.7314,72.0764,69.0797,71.6104,1.0000,0,0,1,1,,5943,5943,20.0916,straight
0.1922,0.0314,run,-8.0000,8.0000,-0.0020,-0.0000,0.0000,0.0020,2.5997,98.6383,94.4553,97.6220,1.0000,63,70,1,1,,823,1847,31.3982,straight
0.2122,0.0201,run,-8.0000,8.0000,-0.0028,-0.0000,0.0000,0.0028,3.2357,117.2477,111.8452,116.1788,1.0000,63,70,1,1,,823,1847,20.0894,straight
0.2325,0.0202,run,-8.0000,8.0000,-0.0033,-0.0000,0.0000,0.0033,3.9587,137.4739,130.9396,136.0908,1.0000,63,70,1,1,,823,1847,20.2263,straight
0.2524,0.0200,run,-8.0000,8.0000,-0.0039,-0.0000,0.0000,0.0039,4.7420,157.4507,149.6888,155.7286,1.0000,63,70,1,1,,823,1847,19.9768,straight
0.2724,0.0200,run,-8.0000,8.0000,-0.0045,-0.0000,0.0000,0.0045,5.5876,177.4954,168.4490,175.3666,1.0000,63,70,1,1,,823,1847,20.0447,straight
0.2925,0.0201,run,-8.0000,8.0000,-0.0050,-0.0000,0.0000,0.0050,6.4860,197.5763,187.1913,194.9895,1.0000,63,70,1,1,,823,1847,20.0810,straight
0.3126,0.0201,run,-8.0000,8.0000,-0.0056,-0.0000,0.0000,0.0056,7.4300,217.6921,205.9219,214.6023,1.0000,63,70,1,1,,823,1847,20.1157,straight
0.3327,0.0201,run,-8.0000,8.0000,-0.0062,-0.0000,0.0000,0.0062,8.4092,237.7578,224.5665,234.1306,1.0000,63,70,1,1,,823,1847,20.0657,straight
0.3528,0.0201,run,-8.0000,8.0000,-0.0068,-0.0000,0.0000,0.0068,9.4235,257.8778,243.2315,253.6772,1.0000,63,70,1,1,,823,1847,20.1200,straight
0.3729,0.0201,run,-8.0000,8.0000,-0.0073,-0.0000,0.0000,0.0073,10.4644,277.9775,261.8482,273.1780,1.0000,63,70,1,1,,823,1847,20.0996,straight
0.4044,0.0315,run,-8.0000,8.0000,-0.0079,-0.0000,0.0000,0.0079,12.1475,309.4425,291.1886,303.4014,1.0000,251,270,1,1,,823,1847,31.4650,straight
0.4245,0.0201,run,-8.0000,8.0000,-0.0088,-0.0000,0.0000,0.0088,13.2413,329.5403,309.5014,323.0966,1.0000,251,270,1,1,,823,1847,20.0979,straight
0.4445,0.0201,run,-8.0000,8.0000,-0.0094,-0.0000,0.0000,0.0094,14.3494,349.6047,328.0163,342.4944,1.0000,251,270,1,1,,823,1847,20.0644,straight
0.4646,0.0201,run,-8.0000,8.0000,-0.0099,-0.0000,0.0000,0.0099,15.4712,369.6706,346.5196,361.8792,1.0000,251,270,1,1,,823,1847,20.0659,straight
0.4847,0.0201,run,-8.0000,8.0000,-0.0105,-0.0000,0.0000,0.0105,16.6058,389.7539,365.0274,381.2687,1.0000,251,270,1,1,,823,1847,20.0833,straight
0.5048,0.0201,run,-8.0000,8.0000,-0.0111,-0.0000,0.0000,0.0111,17.7522,409.8668,383.5528,400.6764,1.0000,251,270,1,1,,823,1847,20.1129,straight
0.5250,0.0202,run,-8.0000,8.0000,-0.0116,-0.0000,0.0000,0.0116,18.9104,430.0335,402.1195,420.1267,1.0000,251,270,1,1,,823,1847,20.1667,straight
0.5450,0.0200,run,-8.0000,8.0000,-0.0122,-0.0000,0.0000,0.0122,20.0659,450.0263,420.5137,439.4070,1.0000,251,270,1,1,,823,1847,19.9928,straight
0.5651,0.0201,run,-8.0000,8.0000,-0.0128,-0.0000,0.0000,0.0128,21.2358,470.1569,439.0353,458.8070,1.0000,251,270,1,1,,823,1847,20.1307,straight
0.5852,0.0201,run,-8.0000,8.0000,-0.0134,-0.0000,0.0000,0.0134,22.4088,490.2480,457.5112,478.1672,1.0000,251,270,1,1,,823,1847,20.0910,straight
0.6179,0.0328,run,-8.0000,8.0000,-0.0139,-0.0000,0.0000,0.0139,24.3364,523.0688,487.9630,509.5018,1.0000,445,477,1,1,,823,1847,32.8208,straight
0.6382,0.0202,run,-8.0000,8.0000,-0.0149,-0.0000,0.0000,0.0149,25.5253,543.2498,506.2341,529.2148,1.0000,445,477,1,1,,823,1847,20.1810,straight
0.6583,0.0201,run,-8.0000,8.0000,-0.0154,-0.0000,0.0000,0.0154,26.7115,563.3309,524.6857,548.5531,1.0000,445,477,1,1,,823,1847,20.0811,straight
0.6783,0.0201,run,-8.0000,8.0000,-0.0160,-0.0000,0.0000,0.0160,27.9002,583.4089,543.1339,567.8835,1.0000,445,477,1,1,,823,1847,20.0780,straight
0.6983,0.0200,run,-8.0000,8.0000,-0.0166,-0.0000,0.0000,0.0166,29.0886,603.4444,561.5399,587.1717,1.0000,445,477,1,1,,823,1847,20.0355,straight
0.7184,0.0201,run,-8.0000,8.0000,-0.0171,-0.0000,0.0000,0.0171,30.2822,623.5337,579.9955,606.5074,1.0000,445,477,1,1,,823,1847,20.0893,straight
0.7386,0.0201,run,-8.0000,8.0000,-0.0177,-0.0000,0.0000,0.0177,31.4782,643.6336,598.4581,625.8527,1.0000,445,477,1,1,,823,1847,20.0999,straight
0.7587,0.0201,run,-8.0000,8.0000,-0.0183,-0.0000,0.0000,0.0183,32.6780,663.7747,616.9579,645.2355,1.0000,445,477,1,1,,823,1847,20.1411,straight
0.7788,0.0201,run,-7.0000,7.0000,-0.0165,-0.0000,0.0134,0.0031,35.7618,683.8436,645.6999,650.4638,1.0000,445,477,1,1,,823,1847,20.0690,straight
0.7988,0.0200,run,-7.0000,7.0000,-0.0170,-0.0000,0.0096,0.0074,37.8563,703.8806,660.2879,671.7606,1.0000,445,477,1,1,,823,1847,20.0370,straight
0.8306,0.0317,run,-7.0000,7.0000,-0.0175,-0.0000,0.0059,0.0116,39.8140,735.6148,686.8031,704.7986,1.0000,653,671,1,1,,823,1847,31.7342,straight
0.8508,0.0201,run,-7.0000,7.0000,-0.0183,-0.0000,0.0042,0.0141,40.6965,755.6764,704.0746,725.8852,1.0000,653,671,1,1,,823,1847,20.0616,straight
0.8708,0.0201,run,-7.0000,7.0000,-0.0188,-0.0000,0.0030,0.0158,41.3645,775.8243,722.2400,746.6797,1.0000,653,671,1,1,,823,1847,20.1479,straight
0.8907,0.0200,run,-7.0000,7.0000,-0.0193,-0.0000,0.0021,0.0172,41.9067,795.8246,740.6522,767.1837,1.0000,653,671,1,1,,823,1847,20.0003,straight
0.9109,0.0201,run,-7.0000,7.0000,-0.0198,-0.0000,0.0015,0.0183,42.3950,815.9423,759.4246,787.6699,1.0000,653,671,1,1,,823,1847,20.1176,straight
0.9310,0.0202,run,-6.0000,6.0000,-0.0174,-0.0000,0.0145,0.0029,45.1815,836.0926,788.6696,793.1525,1.0000,653,671,1,1,,823,1847,20.1503,straight
0.9513,0.0202,run,-6.0000,6.0000,-0.0178,-0.0000,0.0103,0.0075,46.7633,856.3265,803.7626,815.3637,1.0000,653,671,1,1,,823,1847,20.2339,straight
0.9714,0.0201,run,-6.0000,6.0000,-0.0182,-0.0000,0.0073,0.0109,47.5576,876.4703,820.4888,837.3367,1.0000,653,671,1,1,,823,1847,20.1438,straight
0.9913,0.0200,run,-6.0000,6.0000,-0.0187,-0.0000,0.0053,0.0134,47.8676,896.4586,838.2117,858.9703,1.0000,653,671,1,1,,823,1847,19.9883,straight
1.0114,0.0201,run,-6.0000,6.0000,-0.0191,-0.0000,0.0037,0.0153,47.8998,916.5476,856.7754,880.5204,1.0000,653,671,1,1,,823,1847,20.0891,straight
1.0424,0.0308,run,-6.0000,6.0000,-0.0195,-0.0000,0.0023,0.0172,47.7181,947.3367,886.3110,912.9262,1.0000,845,873,1,1,,823,1847,30.7891,straight
1.0624,0.0200,run,-6.0000,6.0000,-0.0202,-0.0000,0.0017,0.0185,47.5760,967.3844,905.4805,934.1364,1.0000,845,873,1,1,,823,1847,20.0477,straight
1.0823,0.0200,run,-6.0000,6.0000,-0.0206,-0.0000,0.0012,0.0194,47.4594,987.3768,924.8936,954.9412,1.0000,845,873,1,1,,823,1847,19.9924,straight
1.1025,0.0201,run,-6.0000,6.0000,-0.0210,-0.0000,0.0008,0.0202,47.3979,1007.5132,944.4996,975.7310,1.0000,845,873,1,1,,823,1847,20.1365,straight
1.1225,0.0201,run,-6.0000,6.0000,-0.0215,-0.0000,0.0006,0.0209,47.4090,1027.6306,964.0872,996.3560,1.0000,845,873,1,1,,823,1847,20.1174,straight
1.1424,0.0199,run,-6.0000,6.0000,-0.0219,-0.0000,0.0004,0.0215,47.4985,1047.5539,983.4571,1016.6537,1.0000,845,873,1,1,,823,1847,19.9233,straight
1.1628,0.0203,run,-6.0000,6.0000,-0.0223,-0.0000,0.0003,0.0220,47.6729,1067.8438,1003.1485,1037.1934,1.0000,845,873,1,1,,823,1847,20.2899,straight
1.1829,0.0200,run,-6.0000,6.0000,-0.0227,-0.0000,0.0002,0.0225,47.9241,1087.8878,1022.5392,1057.3880,1.0000,845,873,1,1,,823,1847,20.0440,straight
1.2029,0.0201,run,-6.0000,6.0000,-0.0232,-0.0000,0.0002,0.0230,48.2508,1107.9728,1041.9190,1077.5250,1.0000,845,873,1,1,,823,1847,20.0851,straight
1.2231,0.0201,run,-6.0000,6.0000,-0.0236,-0.0000,0.0001,0.0235,48.6475,1128.0884,1061.2725,1097.6094,1.0000,845,873,1,1,,823,1847,20.1156,straight
1.2552,0.0321,run,-6.0000,6.0000,-0.0240,-0.0000,0.0001,0.0240,49.4326,1160.2090,1092.2429,1129.3098,1.0000,1054,1096,1,1,,823,1847,32.1206,straight
1.2752,0.0200,run,-6.0000,6.0000,-0.0247,-0.0000,0.0000,0.0247,49.9743,1180.2164,1111.1645,1149.3197,1.0000,1054,1096,1,1,,823,1847,20.0074,straight
1.2954,0.0202,run,-6.0000,6.0000,-0.0251,-0.0000,0.0000,0.0251,50.5651,1200.0000,1130.0170,1168.8529,1.0000,1054,1096,1,1,,823,1847,20.1549,straight
1.3154,0.0201,run,-6.0000,6.0000,-0.0256,-0.0000,0.0000,0.0255,51.1818,1218.0739,1147.1406,1186.6436,1.0000,1054,1096,1,1,,823,1847,20.0516,straight
1.3356,0.0202,run,-6.0000,6.0000,-0.0259,-0.0000,0.0000,0.0259,51.8185,1234.6433,1162.7701,1202.8795,1.0000,1054,1096,1,1,,823,1847,20.1916,straight
1.3556,0.0200,run,-6.0000,6.0000,-0.0263,-0.0000,0.0000,0.0263,52.4540,1249.4864,1176.7009,1217.3641,1.0000,1054,1096,1,1,,823,1847,20.0470,straight
1.3757,0.0201,run,-6.0000,6.0000,-0.0266,-0.0000,0.0000,0.0266,53.0851,1262.7709,1189.1069,1230.2647,1.0000,1054,1096,1,1,,823,1847,20.1313,straight
1.3971,0.0214,run,-6.0000,6.0000,-0.0269,-0.0000,0.0000,0.0269,53.7369,1275.0565,1200.5198,1242.1195,1.0000,1054,1096,1,1,,823,1847,21.3914,straight
1.4170,0.0199,run,-6.0000,6.0000,-0.0272,-0.0000,0.0000,0.0272,54.3195,1284.9025,1209.5794,1251.5867,1.0000,1054,1096,1,1,,823,1847,19.9022,straight
1.4371,0.0200,run,-6.0000,6.0000,-0.0274,-0.0000,0.0000,0.0274,54.8753,1293.2116,1217.1695,1259.5032,1.0000,1054,1096,1,1,,823,1847,20.0441,straight
1.4691,0.0320,run,-5.0000,5.0000,-0.0230,-0.0000,0.0115,0.0115,59.8755,1302.3822,1233.6191,1251.3944,1.0000,1219,1262,1,1,,1847,1847,32.0082,straight
1.4891,0.0200,run,-5.0000,5.0000,-0.0231,-0.0000,0.0082,0.0149,61.3707,1306.5184,1233.5963,1256.6992,1.0000,1219,1262,1,1,,1847,1847,20.0476,straight
1.5092,0.0201,run,-5.0000,5.0000,-0.0232,-0.0000,0.0058,0.0174,61.7952,1309.0495,1233.8310,1260.6778,1.0000,1219,1262,1,1,,1847,1847,20.1041,straight
1.5294,0.0202,run,-5.0000,5.0000,-0.0232,-0.0000,0.0042,0.0191,61.5358,1309.9620,1233.6709,1263.1816,1.0000,1219,1262,1,1,,1847,1847,20.1598,straight
1.5494,0.0200,run,-4.0000,4.0000,-0.0186,-0.0000,0.0164,0.0022,64.4753,1309.2649,1243.0827,1246.4966,1.0000,1219,1262,1,1,,1847,1847,20.0208,straight
1.5696,0.0201,run,-4.0000,4.0000,-0.0186,-0.0000,0.0117,0.0069,65.2225,1306.9402,1236.3766,1247.0589,1.0000,1219,1262,1,1,,1847,1847,20.1446,straight
1.5896,0.0201,run,-4.0000,4.0000,-0.0186,-0.0000,0.0083,0.0102,64.5844,1303.0156,1230.5273,1246.3350,1.0000,1219,1262,1,1,,1847,1847,20.0605,straight
1.6098,0.0202,run,-4.0000,4.0000,-0.0185,-0.0000,0.0059,0.0126,63.1034,1297.4364,1224.6169,1244.0491,1.0000,1219,1262,1,1,,1847,1847,20.1863,straight
1.6298,0.0200,run,-4.0000,4.0000,-0.0184,-0.0000,0.0042,0.0142,61.1748,1290.2917,1218.1472,1240.0866,1.0000,1219,1262,1,1,,1847,1847,20.0389,straight
1.6500,0.0201,run,-3.0000,3.0000,-0.0137,-0.0000,0.0164,-0.0027,62.5613,1281.4970,1221.0145,1216.8568,1.0000,1219,1262,1,1,,1847,1847,20.1235,straight
1.6810,0.0311,run,-3.0000,3.0000,-0.0136,-0.0000,0.0101,0.0035,60.7982,1264.0552,1200.5378,1205.9762,1.0000,1221,1218,1,1,,1847,1847,31.0725,straight
1.7011,0.0200,run,-2.0000,2.0000,-0.0090,-0.0000,0.0207,-0.0117,62.1601,1251.1989,1198.0725,1180.0051,1.0000,1221,1218,1,1,,1847,1847,20.0412,straight
1.7213,0.0202,run,-2.0000,2.0000,-0.0089,-0.0000,0.0147,-0.0058,61.1039,1236.6031,1180.0055,1170.9931,1.0000,1221,1218,1,1,,1847,1847,20.2069,straight
1.7413,0.0200,run,-2.0000,2.0000,-0.0088,-0.0000,0.0105,-0.0017,58.6405,1220.5350,1163.2273,1160.5618,1.0000,1221,1218,1,1,,1847,1847,20.0246,straight
1.7614,0.0201,run,-2.0000,2.0000,-0.0087,-0.0000,0.0075,0.0012,55.3960,1202.7990,1146.4953,1148.3106,1.0000,1221,1218,1,1,,1847,1847,20.0911,straight
1.7815,0.0201,run,-2.0000,2.0000,-0.0085,-0.0000,0.0053,0.0032,51.8634,1200.0000,1145.6637,1150.6094,1.0000,1221,1218,1,1,,1847,1847,20.1148,straight
1.8015,0.0201,run,-1.0000,1.0000,-0.0043,-0.0000,0.0172,-0.0130,51.6275,1200.0000,1158.3973,1138.3476,1.0000,1221,1218,1,1,,1847,1847,20.0995,straight
1.8214,0.0199,run,-1.0000,1.0000,-0.0043,-0.0000,0.0123,-0.0081,49.7530,1200.0000,1156.4749,1144.0190,1.0000,1221,1218,1,1,,1847,1847,19.9354,straight
1.8418,0.0203,run,-1.0000,1.0000,-0.0043,-0.0000,0.0088,-0.0045,46.8963,1200.0000,1156.5859,1149.6214,1.0000,1221,1218,1,1,,1847,1847,20.2561,straight
1.8619,0.0201,run,-0.0000,0.0000,-0.0000,-0.0000,0.0197,-0.0197,46.9235,1200.0000,1168.2922,1137.8608,1.0000,1221,1218,1,1,,1847,1847,20.0560,straight
1.8939,0.0320,run,-0.0000,0.0000,-0.0000,-0.0000,0.0120,-0.0120,43.0872,1200.0000,1166.1893,1147.6362,1.0000,1163,1137,1,1,,1847,1847,32.0119,straight
1.9142,0.0203,run,-0.0000,0.0000,-0.0000,-0.0000,0.0085,-0.0085,39.8133,1200.0000,1166.7877,1153.5857,1.0000,1163,1137,1,1,,1847,1847,20.2660,straight
1.9341,0.0200,run,1.0000,-1.0000,0.0043,-0.0000,0.0195,-0.0238,42.0876,1200.0000,1176.3127,1139.5121,1.0000,1163,1137,1,1,,1847,1847,19.9846,straight
