# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,3.0000,-3.0000,0.0000,0.0000,0.0000,-0.0000,0.0051,1.6000,1.6031,1.5866,1.0000,0,0,1,1,,5943,5943,20.0000,straight,0,11.3000
0.0234,0.0226,run,3.0000,-3.0000,0.0000,0.0000,0.0000,-0.0000,0.0238,5.4631,5.4525,5.4261,1.0000,0,0,1,1,,5943,5943,22.6463,straight,0,11.3000
0.0434,0.0201,run,3.0000,-3.0000,0.0001,0.0000,0.0000,-0.0001,0.0542,10.4921,10.4828,10.3928,1.0000,0,0,1,1,,5943,5943,20.0521,straight,0,11.3000
0.0637,0.0202,run,3.0000,-3.0000,0.0001,0.0000,0.0000,-0.0001,0.1022,17.1921,17.1763,17.0035,1.0000,0,0,1,1,,5943,5943,20.2044,straight,0,11.3000
0.0838,0.0202,run,3.0000,-3.0000,0.0002,0.0000,0.0000,-0.0002,0.1701,25.5094,25.4810,25.1978,1.0000,0,0,1,1,,5943,5943,20.1729,straight,0,11.3000
0.1039,0.0200,run,3.0000,-3.0000,0.0003,0.0000,0.0000,-0.0003,0.2597,35.3831,35.3336,34.9133,1.0000,0,0,1,1,,5943,5943,20.0482,straight,0,11.3000
0.1238,0.0200,run,3.0000,-3.0000,0.0004,0.0000,0.0000,-0.0004,0.3733,46.8459,46.7641,46.1811,1.0000,0,0,1,1,,5943,5943,20.0197,straight,0,11.3000
0.1439,0.0201,run,3.0000,-3.0000,0.0005,0.0000,0.0000,-0.0005,0.5134,59.9798,59.8523,59.0805,1.0000,0,0,1,1,,5943,5943,20.1125,straight,0,11.3000
0.1642,0.0203,run,3.0000,-3.0000,0.0006,0.0000,0.0000,-0.0006,0.6828,74.8731,74.6844,73.6962,1.0000,0,0,1,1,,5943,5943,20.2858,straight,0,11.3000
0.1844,0.0200,run,3.0000,-3.0000,0.0008,0.0000,0.0000,-0.0008,0.8787,91.1957,90.9338,89.7002,1.0000,0,0,1,1,,5943,5943,20.0439,straight,0,11.3000
0.2045,0.0201,run,3.0000,-3.0000,0.0010,0.0000,0.0000,-0.0010,1.1050,109.1711,108.8174,107.3149,1.0000,0,0,1,1,,5943,5943,20.0908,straight,0,11.3000
0.2366,0.0322,run,3.0000,-3.0000,0.0012,0.0000,0.0000,-0.0012,1.5441,141.3708,140.7259,138.9273,1.0000,98,105,1,1,,823,1847,32.1997,straight,0,11.3000
0.2565,0.0199,run,3.0000,-3.0000,0.0015,0.0000,0.0000,-0.0015,1.8406,161.2697,160.5937,158.2645,1.0000,98,105,1,1,,823,1847,19.8990,straight,0,11.3000
0.2765,0.0200,run,3.0000,-3.0000,0.0017,0.0000,0.0000,-0.0017,2.1606,181.2852,180.4531,177.7961,1.0000,98,105,1,1,,823,1847,20.0155,straight,0,11.3000
0.2966,0.0201,run,3.0000,-3.0000,0.0019,0.0000,0.0000,-0.0019,2.5004,201.3658,200.3588,197.3721,1.0000,98,105,1,1,,823,1847,20.0806,straight,0,11.3000
