# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
0.6491,0.0201,running,1,1.0000,1.0000,0.0195,0.0194,7719795,7956324,199.1614,199.6180,147,147,0.0195,-0.0000,-0.0084,0.0626,,0,20.0760
0.6695,0.0202,running,1,1.0000,1.0000,0.0207,0.0207,7722162,7958720,205.2219,205.5819,147,147,0.0207,-0.0000,-0.0067,0.0645,,0,20.2017
0.6919,0.0217,running,1,1.0000,1.0000,0.0221,0.0221,7724819,7961467,211.7198,211.7798,147,147,0.0221,-0.0000,-0.0011,0.0665,,0,21.6599
0.7241,0.0323,running,1,1.0000,1.0000,0.0243,0.0243,7728993,7965547,221.4030,221.7764,212,212,0.0243,-0.0000,-0.0069,0.0696,,0,32.2774
0.7451,0.0201,running,1,1.0000,1.0000,0.0257,0.0257,7731730,7968278,227.4227,227.8160,212,212,0.0257,-0.0000,-0.0073,0.0714,,0,20.0655
0.7641,0.0202,running,1,1.0000,1.0000,0.0271,0.0270,7734287,7970840,233.4779,233.8546,212,212,0.0271,-0.0000,-0.0070,0.0733,,0,20.1840
0.7841,0.0203,running,1,1.0000,1.0000,0.0285,0.0285,7737064,7973600,239.5547,239.9880,212,212,0.0285,-0.0000,-0.0080,0.0753,,0,20.2559
0.8049,0.0208,running,1,1.0000,1.0000,0.0301,0.0300,7739998,7976554,245.7959,246.1626,212,212,0.0300,-0.0000,-0.0068,0.0772,,0,20.8040
0.8256,0.0208,running,1,1.0000,1.0000,0.0317,0.0316,7743055,7979575,252.0314,252.5181,212,212,0.0316,-0.0000,-0.0090,0.0792,,0,20.7851
0.8819,0.0557,running,1,1.0000,1.0000,0.0361,0.0361,7751429,7988075,268.7271,268.7938,212,212,0.0361,-0.0000,-0.0012,0.0844,,0,55.6522
0.9016,0.0199,running,1,1.0000,1.0000,0.0377,0.0377,7754474,7991158,274.6997,274.6397,212,212,0.0377,-0.0000,0.0011,0.0863,,0,19.9085
0.9416,0.0392,running,1,1.0000,1.0000,0.0410,0.0410,7760901,7997514,286.4661,286.6427,273,273,0.0410,-0.0000,-0.0033,0.0900,,0,39.2213
0.9623,0.0201,running,1,1.0000,1.0000,0.0428,0.0427,7764309,8000834,292.4891,292.9591,273,273,0.0428,-0.0000,-0.0087,0.0919,,0,20.0766
0.9811,0.0201,running,1,1.0000,1.0000,0.0446,0.0445,7767779,8004305,298.5169,298.9836,273,273,0.0446,-0.0000,-0.0086,0.0938,,0,20.0929
1.0011,0.0200,running,1,1.0000,1.0000,0.0465,0.0464,7771345,8007864,304.5287,305.0187,273,273,0.0465,-0.0000,-0.0091,0.0957,,0,20.0394
1.0237,0.0202,running,1,1.0000,1.0000,0.0484,0.0485,7775027,8011769,310.5901,310.3368,273,273,0.0484,-0.0000,0.0047,0.0976,,0,20.2045
1.0445,0.0240,running,1,1.0000,1.0000,0.0507,0.0507,7779462,8015977,317.7989,318.3022,273,273,0.0507,-0.0000,-0.0093,0.0998,,0,24.0293
1.0646,0.0200,running,1,1.0000,1.0000,0.0527,0.0526,7783242,8019728,323.7947,324.3947,273,273,0.0527,-0.0000,-0.0111,0.1017,,0,19.9859
1.0849,0.0201,running,1,1.0000,1.0000,0.0548,0.0547,7787155,8023633,329.8303,330.4569,273,273,0.0547,-0.0000,-0.0116,0.1036,,0,20.1187
1.1052,0.0202,running,1,1.0000,1.0000,0.0568,0.0567,7791123,8027577,335.9013,336.6080,273,273,0.0568,-0.0000,-0.0131,0.1055,,0,20.2368
1.1376,0.0324,running,1,1.0000,1.0000,0.0602,0.0601,7797602,8034069,345.6121,346.2754,332,336,0.0602,-0.0000,-0.0123,0.1086,,0,32.3693
1.1584,0.0200,running,1,1.0000,1.0000,0.0625,0.0624,7801899,8038376,351.6152,352.2452,332,336,0.0624,-0.0000,-0.0116,0.1105,,0,20.0104
1.1776,0.0202,running,1,1.0000,1.0000,0.0646,0.0645,7805924,8042419,357.6661,358.2361,332,336,0.0645,-0.0000,-0.0105,0.1124,,0,20.1695
1.1977,0.0201,running,1,1.0000,1.0000,0.0668,0.0667,7810201,8046680,363.7035,364.3268,332,336,0.0668,-0.0000,-0.0115,0.1143,,0,20.1248
1.2221,0.0201,running,1,1.0000,1.0000,0.0691,0.0691,7814551,8051203,369.7356,369.7823,332,336,0.0691,-0.0000,-0.0009,0.1162,,0,20.1070
1.2399,0.0200,running,1,1.0000,1.0000,0.0714,0.0714,7818976,8055627,375.7263,375.7763,332,336,0.0714,-0.0000,-0.0009,0.1180,,0,19.9688
1.2616,0.0232,running,1,1.0000,1.0000,0.0742,0.0741,7824195,8060780,382.6997,382.9697,332,336,0.0741,-0.0000,-0.0050,0.1202,,0,23.2448
1.2818,0.0201,running,1,1.0000,1.0000,0.0766,0.0765,7828803,8065362,388.7331,389.0898,332,336,0.0765,-0.0000,-0.0066,0.1221,,0,20.1115
1.3018,0.0201,running,1,1.0000,1.0000,0.0790,0.0789,7833421,8069985,394.7492,395.0892,332,336,0.0790,-0.0000,-0.0063,0.1240,,0,20.0534
1.3221,0.0201,running,1,1.0000,1.0000,0.0815,0.0814,7838188,8074741,400.7921,401.1687,332,336,0.0815,-0.0000,-0.0070,0.1259,,0,20.1429
1.3541,0.0326,running,1,1.0000,1.0000,0.0856,0.0855,7846042,8082452,410.5721,411.4254,399,401,0.0855,-0.0000,-0.0158,0.1290,,0,32.6001
1.3751,0.0202,running,1,1.0000,1.0000,0.0883,0.0881,7851162,8087571,416.6323,417.4890,399,401,0.0882,-0.0000,-0.0158,0.1309,,0,20.2009
1.3941,0.0201,running,1,1.0000,1.0000,0.0907,0.0906,7855865,8092287,422.6493,423.4627,399,401,0.0907,-0.0000,-0.0150,0.1328,,0,20.0567
1.4143,0.0201,running,1,1.0000,1.0000,0.0934,0.0933,7860929,8097380,428.6894,429.4061,399,401,0.0933,-0.0000,-0.0132,0.1347,,0,20.1335
1.4341,0.0199,running,1,1.0000,1.0000,0.0961,0.0959,7866031,8102410,434.6698,435.6265,399,401,0.0960,-0.0000,-0.0177,0.1366,,0,19.9347
1.4546,0.0202,running,1,1.0000,1.0000,0.0989,0.0987,7871374,8107745,440.7358,441.7191,399,401,0.0988,-0.0000,-0.0182,0.1385,,0,20.2200
1.4818,0.0266,running,1,1.0000,1.0000,0.1025,0.1025,7878353,8114942,448.7220,448.9787,399,401,0.1025,-0.0000,-0.0047,0.1410,,0,26.6208
1.5016,0.0199,running,1,1.0000,1.0000,0.1053,0.1052,7883642,8120221,454.7043,454.9943,399,401,0.1053,-0.0000,-0.0054,0.1428,,0,19.9408
1.5219,0.0201,running,1,1.0000,1.0000,0.1082,0.1081,7889161,8125724,460.7261,461.0695,399,401,0.1082,-0.0000,-0.0063,0.1447,,0,20.0729
