# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,6.0000,-6.0000,0.0000,0.0000,0.0000,-0.0000,0.0103,1.6000,1.6262,1.5533,1.0000,0,0,1,1,,5943,5943,20.0000,left,1,25.0000
0.0235,0.0226,run,6.0000,-6.0000,0.0001,0.0000,0.0000,-0.0001,0.0475,5.4455,5.4564,5.3398,1.0000,0,0,1,1,,5943,5943,22.5789,left,1,25.0000
0.0434,0.0200,run,6.0000,-6.0000,0.0003,0.0000,0.0000,-0.0003,0.1079,10.4532,10.5438,10.1468,1.0000,0,0,1,1,,5943,5943,20.0041,left,1,25.0000
0.0637,0.0201,run,6.0000,-6.0000,0.0005,0.0000,0.0000,-0.0005,0.2028,17.1022,17.2804,16.5184,1.0000,0,0,1,1,,5943,5943,20.1032,left,1,25.0000
0.0835,0.0201,run,6.0000,-6.0000,0.0008,0.0000,0.0000,-0.0008,0.3371,25.3432,25.6295,24.3827,1.0000,0,0,1,1,,5943,5943,20.0531,left,1,25.0000
0.1035,0.0200,run,6.0000,-6.0000,0.0012,0.0000,0.0000,-0.0012,0.5152,35.1750,35.5835,33.7360,1.0000,0,0,1,1,,5943,5943,20.0222,left,1,25.0000
0.1238,0.0203,run,5.0000,-5.0000,0.0014,0.0000,-0.0463,0.0449,0.8113,46.7622,11.2261,80.6758,1.0000,0,0,1,1,,5943,5943,20.2550,left,1,25.0000
0.1440,0.0201,run,5.0000,-5.0000,0.0018,0.0000,-0.0330,0.0312,1.1234,59.8783,34.6459,82.8640,1.0000,0,0,1,1,,5943,5943,20.1021,left,1,25.0000
0.1640,0.0201,run,6.0000,-6.0000,0.0028,0.0000,0.0447,-0.0476,1.6234,74.6079,109.7649,36.2041,1.0000,0,0,1,1,,5943,5943,20.0985,left,1,25.0000
0.1840,0.0200,run,6.0000,-6.0000,0.0035,0.0000,0.0319,-0.0355,2.1313,90.8699,116.1690,61.3083,1.0000,0,0,1,1,,5943,5943,20.0052,left,1,25.0000
0.2040,0.0200,run,6.0000,-6.0000,0.0043,0.0000,0.0228,-0.0271,2.6596,108.7609,127.0555,85.1470,1.0000,0,0,1,1,,5943,5943,20.0341,left,1,25.0000
0.2352,0.0311,run,6.0000,-6.0000,0.0051,0.0000,0.0141,-0.0192,3.5600,139.8802,151.1587,121.4817,1.0000,123,83,1,1,,1847,1847,31.1193,left,1,25.0000
0.2552,0.0200,run,6.0000,-6.0000,0.0066,0.0000,0.0100,-0.0166,4.1667,159.9246,168.6189,142.8970,1.0000,123,83,1,1,,1847,1847,20.0443,left,1,25.0000
0.2751,0.0200,run,5.0000,-5.0000,0.0063,0.0000,-0.0643,0.0580,5.1549,179.9293,129.9305,219.6183,1.0000,123,83,1,1,,1847,1847,20.0047,left,1,25.0000
0.2955,0.0202,run,5.0000,-5.0000,0.0071,0.0000,-0.0457,0.0387,5.9894,200.1581,164.2486,224.0889,1.0000,123,83,1,1,,1847,1847,20.2288,left,1,25.0000
0.3155,0.0201,run,5.0000,-5.0000,0.0079,0.0000,-0.0326,0.0248,6.7006,220.2199,194.3461,232.6926,1.0000,123,83,1,1,,1847,1847,20.0618,left,1,25.0000
0.3359,0.0202,run,5.0000,-5.0000,0.0086,0.0000,-0.0233,0.0146,7.3354,240.3920,221.7522,244.3611,1.0000,123,83,1,1,,1847,1847,20.1721,left,1,25.0000
0.3556,0.0200,run,5.0000,-5.0000,0.0094,0.0000,-0.0166,0.0072,7.9143,260.3957,246.9314,258.0314,1.0000,123,83,1,1,,1847,1847,20.0037,left,1,25.0000
0.3758,0.0201,run,5.0000,-5.0000,0.0102,0.0000,-0.0118,0.0016,8.4680,280.5392,270.8196,273.3229,1.0000,123,83,1,1,,1847,1847,20.1435,left,1,25.0000
0.3959,0.0201,run,5.0000,-5.0000,0.0110,0.0000,-0.0085,-0.0026,9.0066,300.6172,293.5955,289.6256,1.0000,123,83,1,1,,1847,1847,20.0780,left,1,25.0000
0.4159,0.0201,run,5.0000,-5.0000,0.0118,0.0000,-0.0060,-0.0058,9.5426,320.6686,315.5919,306.6602,1.0000,123,83,1,1,,1847,1847,20.0515,left,1,25.0000
0.4510,0.0351,run,5.0000,-5.0000,0.0126,0.0000,-0.0035,-0.0090,10.5097,355.7822,352.2721,338.2729,1.0000,300,305,1,1,,823,1847,35.1135,left,1,25.0000
0.4711,0.0201,run,5.0000,-5.0000,0.0140,0.0000,-0.0025,-0.0114,11.0743,375.8513,373.6281,355.9258,1.0000,300,305,1,1,,823,1847,20.0691,left,1,25.0000
0.4914,0.0203,run,5.0000,-5.0000,0.0148,0.0000,-0.0018,-0.0130,11.6588,396.1061,394.4719,374.4227,1.0000,300,305,1,1,,823,1847,20.2548,left,1,25.0000
0.5114,0.0200,run,5.0000,-5.0000,0.0156,0.0000,-0.0013,-0.0143,12.2507,416.0946,414.8812,392.8065,1.0000,300,305,1,1,,823,1847,19.9885,left,1,25.0000
0.5314,0.0200,run,5.0000,-5.0000,0.0163,0.0000,-0.0009,-0.0154,12.8597,436.1409,435.2103,411.3522,1.0000,300,305,1,1,,823,1847,20.0464,left,1,25.0000
0.5515,0.0201,run,4.0000,-4.0000,0.0137,0.0000,-0.0720,0.0583,14.7449,456.2342,396.4053,486.5734,1.0000,300,305,1,1,,823,1847,20.0933,left,1,25.0000
0.5717,0.0202,run,4.0000,-4.0000,0.0143,0.0000,-0.0513,0.0370,15.9983,476.4024,431.8128,488.9953,1.0000,300,305,1,1,,823,1847,20.1681,left,1,25.0000
