# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0003,0.0200,run,-11.0000,11.0000,-0.0000,-0.0000,0.0000,0.0000,0.0189,1.6000,1.5509,1.6113,1.0000,0,0,1,1,,4720,4720,20.0000,right,0,11.3000
0.0215,0.0204,run,-11.0000,11.0000,-0.0001,-0.0000,0.0000,0.0001,0.0750,4.9059,4.7826,4.8793,1.0000,0,0,1,1,,4720,4720,20.4383,right,0,11.3000
0.0607,0.0387,run,-11.0000,11.0000,-0.0002,-0.0000,0.0000,0.0002,0.4022,17.1670,16.6166,16.9129,1.0000,0,0,1,1,,4720,4720,38.7221,right,0,11.3000
0.1091,0.0493,run,-11.0000,11.0000,-0.0007,-0.0000,0.0000,0.0007,1.3054,42.4830,40.6591,41.6961,1.0000,0,0,1,1,,4720,4720,49.2770,right,0,11.3000
0.1556,0.0464,run,-11.0000,11.0000,-0.0017,-0.0000,0.0000,0.0017,2.6649,74.9262,70.9781,73.5445,1.0000,0,0,1,1,,4720,4720,46.3926,right,0,11.3000
0.1754,0.0202,run,-11.0000,11.0000,-0.0029,-0.0000,0.0000,0.0029,3.3587,90.6807,85.0589,89.5851,1.0000,0,0,1,1,,4720,4720,20.1954,right,0,11.3000
0.2294,0.0404,run,-11.0000,11.0000,-0.0035,-0.0000,0.0000,0.0035,5.1887,128.7465,120.8189,126.2969,1.0000,0,0,1,1,,4720,4720,40.4191,right,0,11.3000
0.2696,0.0444,run,-11.0000,11.0000,-0.0050,-0.0000,0.0000,0.0050,7.6459,173.1579,161.6232,169.4007,1.0000,0,0,1,1,,4720,4720,44.4114,right,0,11.3000
0.3047,0.0445,run,-11.0000,11.0000,-0.0068,-0.0000,0.0000,0.0068,10.4331,217.6278,201.9644,212.4249,1.0000,0,0,1,1,,4720,4720,44.4699,right,0,11.3000
0.3328,0.0279,run,-11.0000,11.0000,-0.0085,-0.0000,0.0000,0.0085,12.2835,245.4904,226.6334,239.7803,1.0000,0,0,1,1,,4720,4720,27.8626,right,0,11.3000
0.4713,0.1000,run,-11.0000,11.0000,-0.0096,-0.0000,0.0000,0.0096,19.6560,345.4904,318.4194,333.2494,1.0000,0,0,1,1,,4720,4720,138.7254,right,0,11.3000
0.5030,0.0309,run,-11.0000,11.0000,-0.0135,-0.0000,0.0000,0.0135,21.9923,376.4250,343.9972,364.8682,1.0000,0,0,1,1,,4720,4720,30.9346,right,0,11.3000
0.5220,0.0198,run,-11.0000,11.0000,-0.0147,-0.0000,0.0000,0.0147,23.5102,396.2641,361.3840,384.1238,1.0000,0,0,1,1,,4720,4720,19.8391,right,0,11.3000
0.5413,0.0193,run,-11.0000,11.0000,-0.0155,-0.0000,0.0000,0.0155,25.0021,415.5535,378.5823,402.5205,1.0000,0,0,1,1,,4720,4720,19.2894,right,0,11.3000
0.5628,0.0215,run,-11.0000,11.0000,-0.0162,-0.0000,0.0000,0.0162,26.6844,437.0869,397.8507,422.9542,1.0000,0,0,1,1,,4720,4720,21.5334,right,0,11.3000
0.5828,0.0200,run,-11.0000,11.0000,-0.0171,-0.0000,0.0000,0.0171,28.2615,457.1118,415.6482,442.0525,1.0000,0,0,1,1,,4720,4720,20.0249,right,0,11.3000
