# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
0.5675,0.0201,run,-9.0000,9.0000,-0.0145,-0.0000,-0.0003,0.0147,25.1124,472.5724,436.0549,458.8652,1.0000,382,411,1,1,,823,1847,20.0591,straight,0
0.5876,0.0201,run,-9.0000,9.0000,-0.0151,-0.0000,-0.0002,0.0153,26.3099,492.6787,454.5316,478.2060,1.0000,382,411,1,1,,823,1847,20.1063,straight,0
0.6077,0.0201,run,-9.0000,9.0000,-0.0157,-0.0000,-0.0001,0.0159,27.5241,512.8040,472.9913,497.5685,1.0000,382,411,1,1,,823,1847,20.1252,straight,0
0.6277,0.0200,run,-9.0000,9.0000,-0.0164,-0.0000,-0.0001,0.0165,28.7457,532.8040,491.3046,516.8120,1.0000,382,411,1,1,,823,1847,20.0000,straight,0
0.6485,0.0205,run,-9.0000,9.0000,-0.0170,-0.0000,-0.0001,0.0171,30.0111,553.2773,510.0417,536.4907,1.0000,382,411,1,1,,823,1847,20.4733,straight,0
0.6680,0.0198,run,-10.0000,10.0000,-0.0196,-0.0000,-0.0135,0.0332,34.0418,573.1088,513.4216,564.7124,1.0000,382,411,1,1,,823,1847,19.8316,straight,0
0.6882,0.0201,run,-10.0000,10.0000,-0.0203,-0.0000,-0.0096,0.0300,37.1788,593.2216,532.8513,579.2341,1.0000,382,411,1,1,,823,1847,20.1127,straight,0
0.7083,0.0201,run,-10.0000,10.0000,-0.0211,-0.0000,-0.0069,0.0279,39.6510,613.3236,552.0666,595.2787,1.0000,382,411,1,1,,823,1847,20.1021,straight,0
0.7283,0.0201,run,-10.0000,10.0000,-0.0218,-0.0000,-0.0049,0.0267,41.6645,633.3974,571.0978,612.3678,1.0000,382,411,1,1,,823,1847,20.0737,straight,0
0.7558,0.0275,run,-10.0000,10.0000,-0.0225,-0.0000,-0.0032,0.0257,43.9122,660.8490,597.0952,636.7783,1.0000,558,614,1,1,,823,1847,27.4516,straight,0
0.7758,0.0200,run,-10.0000,10.0000,-0.0235,-0.0000,-0.0023,0.0257,45.3724,680.8462,615.5781,655.3694,1.0000,558,614,1,1,,823,1847,19.9972,straight,0
0.7958,0.0200,run,-10.0000,10.0000,-0.0242,-0.0000,-0.0016,0.0258,46.7253,700.8916,634.2222,674.1105,1.0000,558,614,1,1,,823,1847,20.0454,straight,0
0.8158,0.0201,run,-10.0000,10.0000,-0.0249,-0.0000,-0.0012,0.0260,48.0141,720.9424,652.7912,693.0654,1.0000,558,614,1,1,,823,1847,20.0508,straight,0
0.8358,0.0200,run,-10.0000,10.0000,-0.0256,-0.0000,-0.0008,0.0264,49.2693,740.9717,671.2697,712.1352,1.0000,558,614,1,1,,823,1847,20.0293,straight,0
0.8562,0.0203,run,-10.0000,10.0000,-0.0263,-0.0000,-0.0006,0.0269,50.5273,761.2249,689.8983,731.4969,1.0000,558,614,1,1,,823,1847,20.2531,straight,0
0.8764,0.0203,run,-10.0000,10.0000,-0.0270,-0.0000,-0.0004,0.0274,51.7900,781.5036,708.4889,750.9383,1.0000,558,614,1,1,,823,1847,20.2787,straight,0
0.8963,0.0199,run,-10.0000,10.0000,-0.0277,-0.0000,-0.0003,0.0280,53.0384,801.3695,726.6412,770.0210,1.0000,558,614,1,1,,823,1847,19.8659,straight,0
0.9163,0.0200,run,-10.0000,10.0000,-0.0284,-0.0000,-0.0002,0.0287,54.3148,821.4181,744.9338,789.2726,1.0000,558,614,1,1,,823,1847,20.0485,straight,0
0.9364,0.0201,run,-10.0000,10.0000,-0.0292,-0.0000,-0.0002,0.0293,55.6140,841.5220,763.2352,808.5807,1.0000,558,614,1,1,,823,1847,20.1039,straight,0
0.9627,0.0262,run,-11.0000,11.0000,-0.0329,-0.0000,-0.0124,0.0453,62.3424,867.7703,770.3972,840.4588,1.0000,757,805,1,1,,823,1847,26.2484,straight,0
0.9828,0.0201,run,-11.0000,11.0000,-0.0339,-0.0000,-0.0089,0.0428,66.1570,887.8532,788.6272,854.7653,1.0000,757,805,1,1,,823,1847,20.0829,straight,0
1.0028,0.0201,run,-11.0000,11.0000,-0.0347,-0.0000,-0.0063,0.0410,69.0503,907.9082,807.1456,870.5702,1.0000,757,805,1,1,,823,1847,20.0549,straight,0
1.0230,0.0202,run,-11.0000,11.0000,-0.0355,-0.0000,-0.0045,0.0400,71.3342,928.0912,825.8465,887.6674,1.0000,757,805,1,1,,823,1847,20.1830,straight,0
1.0431,0.0201,run,-11.0000,11.0000,-0.0362,-0.0000,-0.0032,0.0395,73.1943,948.1757,844.4607,905.5022,1.0000,757,805,1,1,,823,1847,20.0845,straight,0
1.0630,0.0200,run,-11.0000,11.0000,-0.0370,-0.0000,-0.0023,0.0393,74.7799,968.1411,862.9437,923.7786,1.0000,757,805,1,1,,823,1847,19.9653,straight,0
1.0834,0.0203,run,-11.0000,11.0000,-0.0378,-0.0000,-0.0016,0.0394,76.2232,988.4090,881.6781,942.6935,1.0000,757,805,1,1,,823,1847,20.2679,straight,0
1.1034,0.0201,run,-11.0000,11.0000,-0.0386,-0.0000,-0.0012,0.0398,77.5607,1008.5020,900.1841,961.6985,1.0000,757,805,1,1,,823,1847,20.0930,straight,0
1.1234,0.0200,run,-11.0000,11.0000,-0.0394,-0.0000,-0.0008,0.0402,78.8481,1028.5284,918.5742,980.7863,1.0000,757,805,1,1,,823,1847,20.0264,straight,0
1.1435,0.0201,run,-11.0000,11.0000,-0.0402,-0.0000,-0.0006,0.0408,80.1258,1048.6254,936.9734,1000.0259,1.0000,757,805,1,1,,823,1847,20.0970,straight,0
1.1704,0.0269,run,-10.0000,10.0000,-0.0372,-0.0000,0.0118,0.0254,84.8744,1075.5233,971.0109,1010.2867,1.0000,924,998,1,1,,823,1847,26.8979,straight,0
1.1905,0.0201,run,-10.0000,10.0000,-0.0382,-0.0000,0.0084,0.0297,87.1327,1095.6051,985.4722,1031.4726,1.0000,924,998,1,1,,823,1847,20.0819,straight,0
1.2105,0.0201,run,-10.0000,10.0000,-0.0389,-0.0000,0.0060,0.0329,88.5582,1115.6558,1001.6762,1052.5191,1.0000,924,998,1,1,,823,1847,20.0507,straight,0
1.2306,0.0201,run,-10.0000,10.0000,-0.0396,-0.0000,0.0043,0.0353,89.4710,1135.7489,1018.9692,1073.5865,1.0000,924,998,1,1,,823,1847,20.0931,straight,0
1.2536,0.0227,run,-10.0000,10.0000,-0.0403,-0.0000,0.0030,0.0374,90.1457,1158.4111,1039.3676,1097.1632,1.0000,924,998,1,1,,823,1847,22.6622,straight,0
1.2710,0.0177,run,-10.0000,10.0000,-0.0411,-0.0000,0.0022,0.0389,90.5560,1176.1287,1055.4538,1115.6916,1.0000,924,998,1,1,,823,1847,17.7176,straight,0
1.2911,0.0201,run,-10.0000,10.0000,-0.0418,-0.0000,0.0016,0.0402,90.9689,1196.2185,1074.1598,1136.3394,1.0000,924,998,1,1,,823,1847,20.0898,straight,0
