# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
7.6985,0.0200,run,-21.0000,21.0000,-0.0596,-0.0000,0.0259,0.0337,198.5567,800.0000,575.3727,627.5138,1.0000,521,599,1,2,,1847,1847,20.0338,left,1
7.7262,0.0277,run,-20.0000,20.0000,-0.0568,-0.0000,0.0288,0.0280,192.4532,800.0000,585.8929,629.2007,1.0000,578,624,1,2,,1847,1847,27.6514,left,1
7.7461,0.0199,run,-19.0000,19.0000,-0.0540,-0.0000,0.0340,0.0199,189.0198,800.0000,595.5770,626.3835,1.0000,578,624,1,2,,1847,1847,19.9126,left,1
7.7662,0.0201,run,-19.0000,19.0000,-0.0540,-0.0000,0.0243,0.0297,183.8247,800.0000,593.2285,639.1221,1.0000,578,624,1,2,,1847,1847,20.0722,left,1
7.7863,0.0201,run,-18.0000,18.0000,-0.0511,-0.0000,0.0307,0.0204,179.9857,800.0000,604.2516,635.7771,1.0000,578,624,1,2,,1847,1847,20.0906,left,1
7.8063,0.0201,run,-18.0000,18.0000,-0.0511,-0.0000,0.0219,0.0292,174.6923,800.0000,602.7387,647.8767,1.0000,578,624,1,2,,1847,1847,20.0516,left,1
7.8264,0.0201,run,-17.0000,17.0000,-0.0483,-0.0000,0.0291,0.0192,170.9147,800.0000,614.2168,643.9538,1.0000,578,624,1,2,,1847,1847,20.1057,left,1
7.8465,0.0201,run,-16.0000,16.0000,-0.0454,-0.0000,0.0341,0.0113,167.9775,800.0000,623.2716,640.7734,1.0000,578,624,1,2,,1847,1847,20.1178,left,1
7.8666,0.0201,run,-16.0000,16.0000,-0.0454,-0.0000,0.0244,0.0211,163.2371,800.0000,620.4561,653.0697,1.0000,578,624,1,2,,1847,1847,20.0522,left,1
7.8867,0.0201,run,-16.0000,16.0000,-0.0454,-0.0000,0.0174,0.0281,157.5635,800.0000,620.7244,664.1486,1.0000,578,624,1,2,,1847,1847,20.1157,left,1
7.9068,0.0201,run,-15.0000,15.0000,-0.0426,-0.0000,0.0258,0.0168,153.7697,800.0000,633.2266,659.2340,1.0000,578,624,1,2,,1847,1847,20.1281,left,1
7.9330,0.0262,run,-15.0000,15.0000,-0.0426,-0.0000,0.0169,0.0257,147.1883,800.0000,632.9544,672.6690,1.0000,627,659,1,2,,1847,1847,26.1720,left,1
7.9531,0.0201,run,-14.0000,14.0000,-0.0398,-0.0000,0.0255,0.0143,143.9611,800.0000,645.0014,667.0764,1.0000,627,659,1,2,,1847,1847,20.0811,left,1
7.9732,0.0201,run,-14.0000,14.0000,-0.0398,-0.0000,0.0182,0.0216,139.5301,800.0000,643.7863,677.1535,1.0000,627,659,1,2,,1847,1847,20.0635,left,1
7.9934,0.0202,run,-14.0000,14.0000,-0.0398,-0.0000,0.0129,0.0268,134.4958,800.0000,644.7649,686.2435,1.0000,627,659,1,2,,1847,1847,20.2487,left,1
8.0133,0.0199,run,-13.0000,13.0000,-0.0369,-0.0000,0.0227,0.0142,131.6133,800.0000,657.3936,679.3798,1.0000,627,659,1,2,,1847,1847,19.9046,left,1
8.0334,0.0201,run,-13.0000,13.0000,-0.0369,-0.0000,0.0162,0.0207,127.6251,800.0000,656.3420,688.4078,1.0000,627,659,1,2,,1847,1847,20.1198,left,1
8.0535,0.0201,run,-13.0000,13.0000,-0.0369,-0.0000,0.0116,0.0254,123.1522,800.0000,657.2252,696.4704,1.0000,627,659,1,2,,1847,1847,20.0885,left,1
8.0735,0.0200,run,-13.0000,13.0000,-0.0369,-0.0000,0.0082,0.0287,118.5727,800.0000,659.2478,703.6068,1.0000,627,659,1,2,,1847,1847,20.0450,left,1
8.0971,0.0232,run,-13.0000,13.0000,-0.0369,-0.0000,0.0056,0.0313,113.4592,800.0000,662.3410,710.7406,1.0000,627,659,1,2,,1847,1847,23.1823,left,1
8.1139,0.0171,run,-13.0000,13.0000,-0.0369,-0.0000,0.0042,0.0327,109.8747,800.0000,664.8156,715.4350,1.0000,627,659,1,2,,1847,1847,17.0863,left,1
8.1339,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0164,0.0177,108.1991,800.0000,678.1327,705.4692,1.0000,666,709,1,2,,1847,1847,20.0789,left,1
8.1540,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0117,0.0224,105.6897,800.0000,677.0067,711.6138,1.0000,666,709,1,2,,1847,1847,20.0689,left,1
8.1741,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0083,0.0257,102.7613,800.0000,677.3339,717.1434,1.0000,666,709,1,2,,1847,1847,20.1463,left,1
8.1942,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0060,0.0281,99.7146,800.0000,678.5311,722.0398,1.0000,666,709,1,2,,1847,1847,20.0759,left,1
8.2143,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0042,0.0298,96.7114,800.0000,680.2137,726.3635,1.0000,666,709,1,2,,1847,1847,20.0960,left,1
8.2344,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0030,0.0310,93.8654,800.0000,682.1190,730.1502,1.0000,666,709,1,2,,1847,1847,20.0571,left,1
8.2546,0.0203,run,-12.0000,12.0000,-0.0341,-0.0000,0.0022,0.0319,91.2032,800.0000,684.1048,733.4889,1.0000,666,709,1,2,,1847,1847,20.2696,left,1
8.2747,0.0201,run,-12.0000,12.0000,-0.0341,-0.0000,0.0015,0.0325,88.8043,800.0000,686.0258,736.3656,1.0000,666,709,1,2,,1847,1847,20.0637,left,1
8.2949,0.0202,run,-13.0000,13.0000,-0.0369,-0.0000,-0.0123,0.0492,90.0736,800.0000,671.8546,747.9982,1.0000,666,709,1,2,,1847,1847,20.1615,left,1
8.3150,0.0201,run,-13.0000,13.0000,-0.0369,-0.0000,-0.0088,0.0457,90.3497,800.0000,674.3087,744.9919,1.0000,666,709,1,2,,1847,1847,20.1215,left,1
8.3352,0.0202,run,-13.0000,13.0000,-0.0369,-0.0000,-0.0063,0.0432,90.0083,800.0000,676.5989,743.3844,1.0000,666,743,1,2,,1847,1847,20.1517,left,1
8.3551,0.0200,run,-13.0000,13.0000,-0.0369,-0.0000,-0.0045,0.0414,89.3116,800.0000,678.6764,742.7005,1.0000,666,743,1,2,,1847,1847,19.9825,left,1
8.3751,0.0200,run,-13.0000,13.0000,-0.0369,-0.0000,-0.0032,0.0401,88.4221,800.0000,680.5535,742.6024,1.0000,666,743,1,2,,1847,1847,20.0165,left,1
8.3952,0.0201,run,-14.0000,14.0000,-0.0398,-0.0000,-0.0157,0.0554,91.3795,800.0000,665.7371,751.5038,1.0000,666,743,1,2,,1847,1847,20.1144,left,1
8.4154,0.0201,run,-14.0000,14.0000,-0.0398,-0.0000,-0.0112,0.0509,92.8828,800.0000,667.7178,746.5167,1.0000,666,743,1,2,,1847,1847,20.1489,left,1
8.4354,0.0200,run,-14.0000,14.0000,-0.0398,-0.0000,-0.0080,0.0477,93.4337,800.0000,669.6414,743.4913,1.0000,666,743,1,2,,1847,1847,20.0499,left,1
8.4555,0.0201,run,-15.0000,15.0000,-0.0426,-0.0000,-0.0191,0.0617,97.3136,800.0000,654.9617,750.4110,1.0000,666,743,1,2,,1847,1847,20.0987,left,1
8.4756,0.0201,run,-15.0000,15.0000,-0.0426,-0.0000,-0.0136,0.0562,99.3834,800.0000,657.1284,744.1049,1.0000,666,743,1,2,,1847,1847,20.1015,left,1
8.4957,0.0201,run,-15.0000,15.0000,-0.0426,-0.0000,-0.0097,0.0523,100.2617,800.0000,659.2709,740.2057,1.0000,666,743,1,2,,1847,1847,20.0947,left,1
8.5159,0.0201,run,-15.0000,15.0000,-0.0426,-0.0000,-0.0069,0.0495,100.3758,800.0000,661.3144,737.9340,1.0000,666,743,1,2,,1847,1847,20.1304,left,1
8.5446,0.0287,run,-16.0000,16.0000,-0.0454,-0.0000,-0.0163,0.0618,104.5682,800.0000,647.6488,743.2148,1.0000,653,744,1,2,,1847,1847,28.7493,left,1
8.5648,0.0201,run,-16.0000,16.0000,-0.0454,-0.0000,-0.0116,0.0571,106.0073,800.0000,649.8373,738.1481,1.0000,653,744,1,2,,1847,1847,20.1357,left,1
8.5848,0.0201,run,-16.0000,16.0000,-0.0454,-0.0000,-0.0083,0.0538,106.4735,800.0000,651.9502,735.1027,1.0000,653,744,1,2,,1847,1847,20.0597,left,1
8.6049,0.0201,run,-17.0000,17.0000,-0.0483,-0.0000,-0.0193,0.0676,110.2562,800.0000,637.4363,742.0512,1.0000,653,744,1,2,,1847,1847,20.0732,left,1
8.6250,0.0201,run,-17.0000,17.0000,-0.0483,-0.0000,-0.0138,0.0621,112.2312,800.0000,639.7540,735.7835,1.0000,653,744,1,2,,1847,1847,20.1149,left,1
8.6451,0.0201,run,-17.0000,17.0000,-0.0483,-0.0000,-0.0098,0.0581,113.0161,800.0000,642.0280,731.9399,1.0000,653,744,1,2,,1847,1847,20.0928,left,1
8.6654,0.0202,run,-18.0000,18.0000,-0.0511,-0.0000,-0.0204,0.0715,116.9829,800.0000,627.6961,738.3381,1.0000,653,744,1,2,,1847,1847,20.1942,left,1
8.6853,0.0200,run,-18.0000,18.0000,-0.0511,-0.0000,-0.0146,0.0657,119.0208,800.0000,630.1640,731.7943,1.0000,653,744,1,2,,1847,1847,19.9829,left,1
8.7054,0.0201,run,-18.0000,18.0000,-0.0511,-0.0000,-0.0104,0.0615,119.8198,800.0000,632.6016,727.7588,1.0000,653,744,1,2,,1847,1847,20.1338,left,1
8.7255,0.0201,run,-19.0000,19.0000,-0.0540,-0.0000,-0.0208,0.0748,123.7494,800.0000,618.4027,734.0984,1.0000,653,744,1,2,,1847,1847,20.0777,left,1
8.7523,0.0265,run,-19.0000,19.0000,-0.0540,-0.0000,-0.0136,0.0676,125.9156,800.0000,621.8199,726.3489,1.0000,618,730,1,2,,1847,1847,26.5200,left,1
8.7720,0.0200,run,-20.0000,20.0000,-0.0568,-0.0000,-0.0231,0.0799,130.3518,800.0000,607.8167,731.4798,1.0000,618,730,1,2,,1847,1847,20.0348,left,1
8.7921,0.0201,run,-20.0000,20.0000,-0.0568,-0.0000,-0.0165,0.0733,132.6446,800.0000,610.6542,724.0565,1.0000,618,730,1,2,,1847,1847,20.0929,left,1
8.8126,0.0203,run,-21.0000,21.0000,-0.0596,-0.0000,-0.0251,0.0848,137.4810,800.0000,596.9652,728.0729,1.0000,618,730,1,2,,1847,1847,20.3003,left,1
8.8323,0.0199,run,-22.0000,22.0000,-0.0625,-0.0000,-0.0314,0.0939,143.8381,800.0000,583.5538,728.7700,1.0000,618,730,1,2,,1847,1847,19.9424,left,1
8.8525,0.0201,run,-22.0000,22.0000,-0.0625,-0.0000,-0.0224,0.0849,147.2663,800.0000,587.0900,718.3774,1.0000,618,730,1,2,,1847,1847,20.1097,left,1
8.8725,0.0201,run,-22.0000,22.0000,-0.0625,-0.0000,-0.0160,0.0785,148.7315,800.0000,590.5867,711.9503,1.0000,618,730,1,2,,1847,1847,20.0824,left,1
8.8926,0.0201,run,-23.0000,23.0000,-0.0653,-0.0000,-0.0248,0.0901,152.8661,800.0000,577.4148,716.8530,1.0000,618,730,1,2,,1847,1847,20.0606,left,1
8.9126,0.0201,run,-23.0000,23.0000,-0.0653,-0.0000,-0.0177,0.0830,154.7844,800.0000,580.9910,709.4401,1.0000,618,730,1,2,,1847,1847,20.0531,left,1
8.9329,0.0202,run,-24.0000,24.0000,-0.0682,-0.0000,-0.0260,0.0942,159.2118,800.0000,567.9578,713.6186,1.0000,618,730,1,2,,1847,1847,20.2211,left,1
8.9600,0.0271,run,-24.0000,24.0000,-0.0682,-0.0000,-0.0169,0.0850,161.3658,800.0000,572.8753,704.3930,1.0000,573,712,1,2,,1847,1847,27.1197,left,1
8.9800,0.0200,run,-25.0000,25.0000,-0.0710,-0.0000,-0.0255,0.0965,165.5490,800.0000,559.8366,709.0654,1.0000,573,712,1,2,,1847,1847,20.0110,left,1
9.0001,0.0201,run,-25.0000,25.0000,-0.0710,-0.0000,-0.0182,0.0892,167.4770,800.0000,563.5615,701.4845,1.0000,573,712,1,2,,1847,1847,20.1263,left,1
9.0203,0.0201,run,-26.0000,26.0000,-0.0738,-0.0000,-0.0263,0.1002,171.8678,800.0000,550.6363,705.6281,1.0000,573,712,1,2,,1847,1847,20.1263,left,1
9.0405,0.0202,run,-26.0000,26.0000,-0.0738,-0.0000,-0.0188,0.0926,173.8956,800.0000,554.4654,697.7435,1.0000,573,712,1,2,,1847,1847,20.1623,left,1
9.0605,0.0200,run,-27.0000,27.0000,-0.0767,-0.0000,-0.0268,0.1035,178.3186,800.0000,541.6191,701.7436,1.0000,573,712,1,2,,1847,1847,20.0358,left,1
9.0806,0.0201,run,-27.0000,27.0000,-0.0767,-0.0000,-0.0191,0.0958,180.3578,800.0000,545.5261,693.7584,1.0000,573,712,1,2,,1847,1847,20.0820,left,1
9.1006,0.0201,run,-28.0000,28.0000,-0.0795,-0.0000,-0.0271,0.1066,184.7762,800.0000,532.7719,697.6757,1.0000,573,712,1,2,,1847,1847,20.0598,left,1
9.1207,0.0201,run,-28.0000,28.0000,-0.0795,-0.0000,-0.0193,0.0988,186.7904,800.0000,536.7587,689.6605,1.0000,573,712,1,2,,1847,1847,20.0800,left,1
9.1407,0.0201,run,-29.0000,29.0000,-0.0824,-0.0000,-0.0272,0.1096,191.1754,800.0000,524.0755,693.5737,1.0000,573,712,1,2,,1847,1847,20.0534,left,1
9.1680,0.0273,run,-29.0000,29.0000,-0.0824,-0.0000,-0.0176,0.1000,193.1970,800.0000,529.4805,684.1255,1.0000,526,695,1,2,,1847,1847,27.2684,left,1
9.1880,0.0200,run,-30.0000,30.0000,-0.0852,-0.0000,-0.0260,0.1112,197.2428,800.0000,516.7520,688.7623,1.0000,526,695,1,2,,1847,1847,20.0356,left,1
9.2082,0.0202,run,-30.0000,30.0000,-0.0852,-0.0000,-0.0185,0.1037,199.0139,800.0000,520.7563,681.2159,1.0000,526,695,1,2,,1847,1847,20.1538,left,1
9.2284,0.0201,run,-31.0000,31.0000,-0.0880,-0.0000,-0.0266,0.1146,203.2458,800.0000,508.0769,685.4315,1.0000,526,695,1,2,,1847,1847,20.1442,left,1
9.2484,0.0200,run,-31.0000,31.0000,-0.0880,-0.0000,-0.0190,0.1070,205.1150,800.0000,512.0958,677.6742,1.0000,526,695,1,2,,1847,1847,20.0398,left,1
9.2684,0.0201,run,-31.0000,31.0000,-0.0880,-0.0000,-0.0136,0.1016,205.4753,800.0000,515.9414,673.1081,1.0000,526,695,1,2,,1847,1847,20.0567,left,1
9.2887,0.0202,run,-32.0000,32.0000,-0.0909,-0.0000,-0.0230,0.1139,208.8352,800.0000,503.0560,679.2736,1.0000,526,695,1,2,,1847,1847,20.2453,left,1
9.3087,0.0201,run,-32.0000,32.0000,-0.0909,-0.0000,-0.0164,0.1073,210.1805,800.0000,506.8125,672.8266,1.0000,526,695,1,2,,1847,1847,20.0667,left,1
9.3287,0.0200,run,-32.0000,32.0000,-0.0909,-0.0000,-0.0117,0.1026,210.2582,800.0000,510.3708,669.1127,1.0000,526,695,1,2,,1847,1847,20.0314,left,1
9.3491,0.0203,run,-33.0000,33.0000,-0.0937,-0.0000,-0.0217,0.1154,213.4962,800.0000,497.2052,675.8023,1.0000,526,695,1,2,,1847,1847,20.2620,left,1
9.3765,0.0274,run,-33.0000,33.0000,-0.0937,-0.0000,-0.0140,0.1078,214.7801,800.0000,501.8641,668.5758,1.0000,495,679,1,2,,1847,1847,27.3504,left,1
9.3968,0.0203,run,-34.0000,34.0000,-0.0966,-0.0000,-0.0234,0.1199,218.6149,800.0000,488.6295,674.1408,1.0000,495,679,1,2,,1847,1847,20.3092,left,1
9.4166,0.0198,run,-34.0000,34.0000,-0.0966,-0.0000,-0.0167,0.1133,220.3275,800.0000,492.0512,667.2938,1.0000,495,679,1,2,,1847,1847,19.8499,left,1
9.4366,0.0200,run,-34.0000,34.0000,-0.0966,-0.0000,-0.0119,0.1085,220.7172,800.0000,495.3588,663.2068,1.0000,495,679,1,2,,1847,1847,20.0169,left,1
9.4567,0.0201,run,-35.0000,35.0000,-0.0994,-0.0000,-0.0219,0.1213,224.2007,800.0000,481.9592,669.6394,1.0000,495,679,1,2,,1847,1847,20.1188,left,1
9.4768,0.0201,run,-35.0000,35.0000,-0.0994,-0.0000,-0.0156,0.1150,225.7432,800.0000,485.2835,663.2300,1.0000,495,679,1,2,,1847,1847,20.1310,left,1
9.4969,0.0201,run,-36.0000,36.0000,-0.1022,-0.0000,-0.0246,0.1268,229.9663,800.0000,471.9550,668.1124,1.0000,495,679,1,2,,1847,1847,20.0902,left,1
9.5171,0.0201,run,-36.0000,36.0000,-0.1022,-0.0000,-0.0175,0.1198,231.9731,800.0000,475.3958,660.6579,1.0000,495,679,1,2,,1847,1847,20.1032,left,1
9.5369,0.0200,run,-36.0000,36.0000,-0.1022,-0.0000,-0.0125,0.1148,232.5437,800.0000,478.6947,656.2178,1.0000,495,679,1,2,,1847,1847,19.9877,left,1
9.5573,0.0203,run,-37.0000,37.0000,-0.1051,-0.0000,-0.0223,0.1274,236.1593,800.0000,465.3313,662.3501,1.0000,495,679,1,2,,1847,1847,20.2851,left,1
9.5848,0.0276,run,-37.0000,37.0000,-0.1051,-0.0000,-0.0144,0.1194,237.7944,800.0000,469.8273,654.5838,1.0000,468,664,1,2,,1847,1847,27.6186,left,1
9.6050,0.0201,run,-37.0000,37.0000,-0.1051,-0.0000,-0.0102,0.1153,237.8714,800.0000,472.9340,651.3232,1.0000,468,664,1,2,,1847,1847,20.1091,left,1
9.6252,0.0202,run,-38.0000,38.0000,-0.1079,-0.0000,-0.0207,0.1286,241.2001,800.0000,459.3180,658.2817,1.0000,468,664,1,2,,1847,1847,20.1516,left,1
9.6455,0.0203,run,-38.0000,38.0000,-0.1079,-0.0000,-0.0147,0.1226,242.6887,800.0000,462.4543,652.1683,1.0000,468,664,1,2,,1847,1847,20.3174,left,1
9.6655,0.0199,run,-38.0000,38.0000,-0.1079,-0.0000,-0.0105,0.1184,242.9877,800.0000,465.3996,648.6250,1.0000,468,664,1,2,,1847,1847,19.9349,left,1
9.6855,0.0201,run,-39.0000,39.0000,-0.1108,-0.0000,-0.0209,0.1317,246.4832,800.0000,451.6603,655.3733,1.0000,468,664,1,2,,1847,1847,20.0644,left,1
9.7056,0.0201,run,-39.0000,39.0000,-0.1108,-0.0000,-0.0149,0.1257,248.1095,800.0000,454.6784,649.1026,1.0000,468,664,1,2,,1847,1847,20.1228,left,1
9.7257,0.0201,run,-39.0000,39.0000,-0.1108,-0.0000,-0.0106,0.1214,248.5213,800.0000,457.5768,645.3807,1.0000,468,664,1,2,,1847,1847,20.1104,left,1
9.7459,0.0202,run,-40.0000,40.0000,-0.1136,-0.0000,-0.0210,0.1346,252.1103,800.0000,443.7903,651.9891,1.0000,468,664,1,2,,1847,1847,20.1500,left,1
9.7661,0.0201,run,-40.0000,40.0000,-0.1136,-0.0000,-0.0150,0.1286,253.7997,800.0000,446.7570,645.6436,1.0000,468,664,1,2,,1847,1847,20.1136,left,1
9.7926,0.0265,run,-40.0000,40.0000,-0.1136,-0.0000,-0.0098,0.1234,254.1253,800.0000,450.4455,641.3038,1.0000,448,648,1,2,,1847,1847,26.5475,left,1
9.8127,0.0201,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0204,0.1368,257.6263,800.0000,436.5453,648.2022,1.0000,448,648,1,2,,1847,1847,20.1075,left,1
9.8327,0.0201,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0145,0.1310,259.2851,800.0000,439.3998,642.0300,1.0000,448,648,1,2,,1847,1847,20.0600,left,1
9.8529,0.0201,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0104,0.1268,259.7535,800.0000,442.1610,638.3319,1.0000,448,648,1,2,,1847,1847,20.1357,left,1
9.8729,0.0201,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0074,0.1238,259.4750,800.0000,444.7357,636.3143,1.0000,448,648,1,2,,1847,1847,20.0571,left,1
9.8930,0.0201,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0053,0.1217,258.7517,800.0000,447.0983,635.3983,1.0000,448,648,1,2,,1847,1847,20.0677,left,1
9.9131,0.0202,run,-41.0000,41.0000,-0.1164,-0.0000,-0.0038,0.1202,257.7816,800.0000,449.2417,635.1950,1.0000,448,648,1,2,,1847,1847,20.1536,left,1
9.9331,0.0200,run,-42.0000,42.0000,-0.1193,-0.0000,-0.0161,0.1354,260.6330,800.0000,434.6468,644.0872,1.0000,448,648,1,2,,1847,1847,20.0467,left,1
9.9534,0.0202,run,-42.0000,42.0000,-0.1193,-0.0000,-0.0115,0.1307,262.0271,800.0000,436.8402,639.1056,1.0000,448,648,1,2,,1847,1847,20.2216,left,1
9.9734,0.0200,run,-42.0000,42.0000,-0.1193,-0.0000,-0.0082,0.1275,262.4620,800.0000,438.9401,636.1360,1.0000,448,648,1,2,,1847,1847,20.0038,left,1
9.9935,0.0201,run,-42.0000,42.0000,-0.1193,-0.0000,-0.0058,0.1251,262.2983,800.0000,440.9209,634.4824,1.0000,438,637,1,2,,1847,1847,20.1087,left,1
10.0136,0.0201,run,-42.0000,42.0000,-0.1193,-0.0000,-0.0042,0.1234,261.7753,800.0000,442.7388,633.7105,1.0000,438,637,1,2,,1847,1847,20.0842,left,1
10.0337,0.0201,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0164,0.1385,264.9871,800.0000,427.8889,642.1369,1.0000,438,637,1,2,,1847,1847,20.1352,left,1
10.0538,0.0201,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0117,0.1338,266.6571,800.0000,429.8450,636.8409,1.0000,438,637,1,2,,1847,1847,20.0580,left,1
10.0739,0.0201,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0083,0.1305,267.3232,800.0000,431.7669,633.5867,1.0000,438,637,1,2,,1847,1847,20.0593,left,1
10.0940,0.0201,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0059,0.1281,267.3475,800.0000,433.5925,631.7126,1.0000,438,637,1,2,,1847,1847,20.1024,left,1
10.1141,0.0202,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0042,0.1264,266.9758,800.0000,435.2864,630.7619,1.0000,438,637,1,2,,1847,1847,20.1649,left,1
10.1342,0.0201,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0030,0.1251,266.3818,800.0000,436.8192,630.4172,1.0000,438,637,1,2,,1847,1847,20.0579,left,1
10.1560,0.0219,run,-43.0000,43.0000,-0.1221,-0.0000,-0.0021,0.1242,265.6077,800.0000,438.3052,630.4794,1.0000,438,637,1,2,,1847,1847,21.8628,left,1
10.1759,0.0198,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0150,0.1399,268.7683,800.0000,423.0004,639.4629,1.0000,438,637,1,2,,1847,1847,19.8447,left,1
10.2029,0.0270,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0097,0.1347,270.7402,800.0000,425.0853,633.4343,1.0000,424,635,1,2,,1847,1847,26.9770,left,1
10.2229,0.0200,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0069,0.1319,271.3603,800.0000,426.6159,630.6636,1.0000,424,635,1,2,,1847,1847,20.0317,left,1
10.2430,0.0201,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0050,0.1299,271.4378,800.0000,428.0767,629.0477,1.0000,424,635,1,2,,1847,1847,20.0839,left,1
10.2633,0.0203,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0035,0.1285,271.1742,800.0000,429.4471,628.2045,1.0000,424,635,1,2,,1847,1847,20.3230,left,1
10.2833,0.0200,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0025,0.1275,270.7220,800.0000,430.6779,627.8781,1.0000,424,635,1,2,,1847,1847,20.0207,left,1
10.3034,0.0200,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0018,0.1268,270.1701,800.0000,431.7859,627.8738,1.0000,424,635,1,2,,1847,1847,20.0302,left,1
10.3235,0.0201,run,-44.0000,44.0000,-0.1250,-0.0000,-0.0013,0.1262,269.5777,800.0000,432.7766,628.0681,1.0000,424,635,1,2,,1847,1847,20.1118,left,1
10.3436,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0143,0.1421,272.9199,800.0000,417.1539,637.0064,1.0000,424,635,1,2,,1847,1847,20.1277,left,1
10.3635,0.0200,run,-44.0000,44.0000,-0.1250,-0.0000,0.0032,0.1218,272.3762,800.0000,433.4457,621.8019,1.0000,424,635,1,2,,1847,1847,19.9831,left,1
10.3838,0.0202,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0111,0.1389,274.5877,800.0000,417.9668,632.8579,1.0000,424,635,1,2,,1847,1847,20.1957,left,1
10.4107,0.0269,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0072,0.1350,275.8581,800.0000,419.7010,628.5827,1.0000,418,629,1,2,,1847,1847,26.8837,left,1
10.4307,0.0200,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0052,0.1330,276.1976,800.0000,420.9601,626.6447,1.0000,418,629,1,2,,1847,1847,20.0325,left,1
10.4508,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0037,0.1315,276.1511,800.0000,422.1498,625.5480,1.0000,418,629,1,2,,1847,1847,20.0786,left,1
10.4708,0.0200,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0026,0.1304,275.8708,800.0000,423.2445,625.0138,1.0000,418,629,1,2,,1847,1847,20.0395,left,1
10.4910,0.0202,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0019,0.1297,275.4561,800.0000,424.2432,624.8445,1.0000,418,629,1,2,,1847,1847,20.1600,left,1
10.5110,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0013,0.1291,274.9794,800.0000,425.1350,624.9062,1.0000,418,629,1,2,,1847,1847,20.0886,left,1
10.5312,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0010,0.1288,274.4828,800.0000,425.9280,625.1064,1.0000,418,629,1,2,,1847,1847,20.1142,left,1
10.5512,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0007,0.1285,273.9958,800.0000,426.6261,625.3823,1.0000,418,629,1,2,,1847,1847,20.0748,left,1
10.5714,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0005,0.1283,273.5327,800.0000,427.2401,625.6945,1.0000,418,629,1,2,,1847,1847,20.1351,left,1
10.5915,0.0201,run,-45.0000,45.0000,-0.1278,-0.0000,-0.0003,0.1281,273.1054,800.0000,427.7748,626.0144,1.0000,418,629,1,2,,1847,1847,20.0790,left,1
10.6116,0.0201,run,-46.0000,46.0000,-0.1306,-0.0000,-0.0137,0.1443,276.6494,800.0000,411.7419,634.9594,1.0000,425,622,1,2,,1847,1847,20.1213,left,1
10.6316,0.0200,run,-46.0000,46.0000,-0.1306,-0.0000,-0.0097,0.1404,278.7806,800.0000,412.6296,629.8093,1.0000,425,622,1,2,,1847,1847,20.0170,left,1
10.6517,0.0201,run,-46.0000,46.0000,-0.1306,-0.0000,-0.0070,0.1376,279.9745,800.0000,413.6002,626.4509,1.0000,425,622,1,2,,1847,1847,20.1309,left,1
10.6718,0.0201,run,-46.0000,46.0000,-0.1306,-0.0000,-0.0050,0.1356,280.5393,800.0000,414.5774,624.3439,1.0000,425,622,1,2,,1847,1847,20.1096,left,1
