# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0007,0.0200,run,-59.0000,59.0000,-0.0002,0.0000,0.0000,0.0002,0.1011,1.6000,1.3368,1.6609,1.0000,0,0,1,1,,5943,5943,20.0000,right,0,11.3000
0.0225,0.0219,run,-60.0000,60.0000,-0.0003,0.0000,-0.0031,0.0035,0.4501,5.2581,2.1109,7.5051,1.0000,0,0,1,1,,5943,5943,21.8516,right,0,11.3000
0.0426,0.0201,run,-59.0000,59.0000,-0.0011,0.0000,0.0013,-0.0002,1.0376,10.2263,9.3698,9.0075,1.0000,0,0,1,1,,5943,5943,20.0612,right,0,11.3000
0.0628,0.0202,run,-60.0000,60.0000,-0.0022,0.0000,-0.0035,0.0057,1.9784,16.8430,10.4849,19.2443,1.0000,0,0,1,1,,5943,5943,20.1560,right,0,11.3000
0.0828,0.0201,run,-59.0000,59.0000,-0.0035,0.0000,0.0031,0.0005,3.3065,25.0531,21.3852,22.1080,1.0000,0,0,1,1,,5943,5943,20.0912,right,0,11.3000
0.1028,0.0200,run,-59.0000,59.0000,-0.0052,0.0000,0.0022,0.0031,5.0602,34.8403,27.4117,32.1486,1.0000,0,0,1,1,,5943,5943,20.0253,right,0,11.3000
0.1229,0.0201,run,-59.0000,59.0000,-0.0073,0.0000,0.0016,0.0057,7.2876,46.2547,34.5290,43.4052,1.0000,0,0,1,1,,5943,5943,20.0610,right,0,11.3000
0.1432,0.0203,run,-59.0000,59.0000,-0.0097,0.0000,0.0011,0.0086,10.0510,59.4188,42.7328,56.0029,1.0000,0,0,1,1,,5943,5943,20.2526,right,0,11.3000
0.1633,0.0201,run,-60.0000,60.0000,-0.0127,0.0000,-0.0119,0.0246,13.3852,74.0675,41.6514,79.7132,1.0000,0,0,1,1,,5943,5943,20.0601,right,0,11.3000
0.1834,0.0201,run,-59.0000,59.0000,-0.0155,0.0000,0.0049,0.0106,17.2988,90.3619,64.8441,81.2822,1.0000,0,0,1,1,,5943,5943,20.1008,right,0,11.3000
0.2034,0.0201,run,-60.0000,60.0000,-0.0192,0.0000,-0.0099,0.0292,21.7983,108.2382,63.8730,109.0068,1.0000,0,0,1,1,,5943,5943,20.0654,right,0,11.3000
0.2355,0.0320,run,-60.0000,60.0000,-0.0231,0.0000,-0.0061,0.0291,30.4937,140.2343,87.2252,132.2561,1.0000,66,103,1,1,,1847,1847,31.9962,right,0,11.3000
0.2555,0.0201,run,-60.0000,60.0000,-0.0299,0.0000,-0.0043,0.0342,36.4570,160.2932,97.3900,150.2824,1.0000,66,103,1,1,,1847,1847,20.0588,right,0,11.3000
0.2758,0.0203,run,-60.0000,60.0000,-0.0341,0.0000,-0.0031,0.0372,42.9312,180.5654,108.8474,166.4211,1.0000,66,103,1,1,,1847,1847,20.2722,right,0,11.3000
0.2956,0.0198,run,-60.0000,60.0000,-0.0385,0.0000,-0.0022,0.0407,49.6367,200.4103,119.3224,182.2247,1.0000,66,103,1,1,,1847,1847,19.8448,right,0,11.3000
0.3156,0.0201,run,-60.0000,60.0000,-0.0427,0.0000,-0.0016,0.0443,56.7410,220.4811,129.5070,197.9732,1.0000,66,103,1,1,,1847,1847,20.0709,right,0,11.3000
0.3358,0.0201,run,-61.0000,61.0000,-0.0477,0.0000,-0.0145,0.0623,64.1498,240.6263,128.3147,224.6383,1.0000,66,103,1,1,,1847,1847,20.1452,right,0,11.3000
0.3558,0.0200,run,-60.0000,60.0000,-0.0513,0.0000,0.0031,0.0482,71.7485,260.6480,151.6192,226.1798,1.0000,66,103,1,1,,1847,1847,20.0217,right,0,11.3000
0.3761,0.0202,run,-62.0000,62.0000,-0.0574,0.0000,-0.0246,0.0820,79.6302,280.8734,137.8449,264.6416,1.0000,66,103,1,1,,1847,1847,20.2254,right,0,11.3000
0.3961,0.0200,run,-60.0000,60.0000,-0.0598,0.0000,0.0093,0.0505,87.6005,300.8838,174.1924,252.3742,1.0000,66,103,1,1,,1847,1847,20.0103,right,0,11.3000
0.4161,0.0200,run,-61.0000,61.0000,-0.0652,0.0000,-0.0068,0.0719,95.7303,320.9224,169.5416,280.8426,1.0000,66,103,1,1,,1847,1847,20.0387,right,0,11.3000
0.4523,0.0362,run,-60.0000,60.0000,-0.0684,0.0000,0.0070,0.0614,110.7847,357.1134,198.8442,293.8133,1.0000,165,277,1,1,,1847,823,36.1910,right,0,11.3000
0.4723,0.0201,run,-61.0000,61.0000,-0.0773,0.0000,-0.0084,0.0858,119.2324,377.1865,191.6067,324.3016,1.0000,165,277,1,1,,1847,823,20.0731,right,0,11.3000
0.4924,0.0201,run,-61.0000,61.0000,-0.0817,0.0000,-0.0060,0.0877,127.7686,397.2706,201.6638,337.3401,1.0000,165,277,1,1,,1847,823,20.0840,right,0,11.3000
0.5126,0.0201,run,-61.0000,61.0000,-0.0860,0.0000,-0.0043,0.0903,136.4025,417.4143,211.1477,350.8759,1.0000,165,277,1,1,,1847,823,20.1438,right,0,11.3000
0.5326,0.0200,run,-61.0000,61.0000,-0.0904,0.0000,-0.0031,0.0935,145.0441,437.4330,220.1003,364.6775,1.0000,165,277,1,1,,1847,823,20.0187,right,0,11.3000
0.5526,0.0201,run,-62.0000,62.0000,-0.0963,0.0000,-0.0156,0.1119,153.7634,457.5098,217.2075,390.2853,1.0000,165,277,1,1,,1847,823,20.0768,right,0,11.3000
0.5728,0.0201,run,-62.0000,62.0000,-0.1007,0.0000,-0.0111,0.1118,162.5426,477.6201,228.5821,401.5729,1.0000,165,277,1,1,,1847,823,20.1103,right,0,11.3000
0.5928,0.0201,run,-62.0000,62.0000,-0.1051,0.0000,-0.0079,0.1131,171.3450,497.6949,238.8962,413.8034,1.0000,165,277,1,1,,1847,823,20.0748,right,0,11.3000
0.6129,0.0201,run,-62.0000,62.0000,-0.1095,0.0000,-0.0057,0.1152,180.1798,517.7678,248.4759,426.7002,1.0000,165,277,1,1,,1847,823,20.0730,right,0,11.3000
0.6330,0.0201,run,-63.0000,63.0000,-0.1158,0.0000,-0.0175,0.1332,189.0534,537.8644,245.7434,451.8787,1.0000,165,277,1,1,,1847,823,20.0966,right,0,11.3000
0.6645,0.0315,run,-62.0000,62.0000,-0.1184,0.0000,0.0008,0.1176,203.0058,569.3381,275.4037,457.2611,1.0000,246,450,1,1,,1847,1847,31.4737,right,0,11.3000
0.6846,0.0201,run,-63.0000,63.0000,-0.1273,0.0000,-0.0128,0.1401,211.9551,589.4822,269.1273,485.9269,1.0000,246,450,1,1,,1847,1847,20.1441,right,0,11.3000
0.7047,0.0201,run,-63.0000,63.0000,-0.1318,0.0000,-0.0091,0.1410,220.8960,609.5702,279.6297,497.7187,1.0000,246,450,1,1,,1847,1847,20.0880,right,0,11.3000
0.7250,0.0202,run,-64.0000,64.0000,-0.1385,0.0000,-0.0199,0.1584,229.9211,629.8151,277.3872,522.4008,1.0000,246,450,1,1,,1847,1847,20.2449,right,0,11.3000
0.7449,0.0199,run,-64.0000,64.0000,-0.1431,0.0000,-0.0142,0.1573,238.8181,649.7459,289.2472,532.6082,1.0000,246,450,1,1,,1847,1847,19.9308,right,0,11.3000
0.7650,0.0201,run,-64.0000,64.0000,-0.1476,0.0000,-0.0101,0.1578,247.8032,669.8507,300.0185,544.0764,1.0000,246,450,1,1,,1847,1847,20.1048,right,0,11.3000
0.7851,0.0201,run,-64.0000,64.0000,-0.1522,0.0000,-0.0072,0.1594,256.7854,689.9291,309.8290,556.4583,1.0000,246,450,1,1,,1847,1847,20.0784,right,0,11.3000
0.8052,0.0201,run,-65.0000,65.0000,-0.1592,0.0000,-0.0186,0.1778,265.7926,710.0463,306.7522,581.7552,1.0000,246,450,1,1,,1847,1847,20.1172,right,0,11.3000
0.8254,0.0202,run,-65.0000,65.0000,-0.1638,0.0000,-0.0132,0.1771,274.8351,730.2277,318.4300,592.3551,1.0000,246,450,1,1,,1847,1847,20.1814,right,0,11.3000
0.8454,0.0200,run,-65.0000,65.0000,-0.1685,0.0000,-0.0095,0.1780,283.7889,750.1989,328.7655,604.0544,1.0000,246,450,1,1,,1847,1847,19.9712,right,0,11.3000
0.8773,0.0319,run,-67.0000,67.0000,-0.1784,0.0000,-0.0287,0.2071,298.1208,782.1407,323.7944,644.2453,1.0000,326,601,1,1,,1847,1847,31.9418,right,0,11.3000
0.8973,0.0200,run,-67.0000,67.0000,-0.1860,0.0000,-0.0205,0.2065,307.1191,802.1869,335.3213,654.8143,1.0000,326,601,1,1,,1847,1847,20.0463,right,0,11.3000
0.9173,0.0200,run,-68.0000,68.0000,-0.1936,0.0000,-0.0281,0.2217,316.1147,822.2200,334.6206,677.5901,1.0000,326,601,1,1,,1847,1847,20.0331,right,0,11.3000
0.9375,0.0201,run,-69.0000,69.0000,-0.2014,0.0000,-0.0334,0.2348,325.1462,842.3270,335.5501,698.8114,1.0000,326,601,1,1,,1847,1847,20.1069,right,0,11.3000
0.9576,0.0202,run,-70.0000,70.0000,-0.2093,0.0000,-0.0372,0.2465,334.2023,862.4833,337.5901,718.9720,1.0000,326,601,1,1,,1847,1847,20.1564,right,0,11.3000
0.9779,0.0202,run,-67.0000,67.0000,-0.2051,0.0000,0.0137,0.1915,343.2694,882.6596,391.2881,687.4923,1.0000,326,601,1,1,,1847,1847,20.1763,right,0,11.3000
0.9978,0.0200,run,-65.0000,65.0000,-0.2037,0.0000,0.0366,0.1670,352.2530,902.6460,421.1847,679.6014,1.0000,326,601,1,1,,1847,1847,19.9864,right,0,11.3000
1.0178,0.0201,run,-63.0000,63.0000,-0.2019,0.0000,0.0530,0.1489,361.2676,922.6984,446.2607,676.6008,1.0000,326,601,1,1,,1847,1847,20.0523,right,0,11.3000
1.0380,0.0202,run,-63.0000,63.0000,-0.2064,0.0000,0.0378,0.1686,370.3330,942.8609,442.1124,702.9432,1.0000,326,601,1,1,,1847,1847,20.1625,right,0,11.3000
1.0580,0.0200,run,-63.0000,63.0000,-0.2109,0.0000,0.0270,0.1839,379.3316,962.8722,441.2899,725.7912,1.0000,326,601,1,1,,1847,1847,20.0113,right,0,11.3000
