# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.0055,0.0200,running,1,0.0500,0.0500,0.0000,0.0000,22333422,25339132,16.0000,16.0033,0,0,0.0000,-0.0000,-0.0001,0.0050,0.0000,20.0000
0.0193,0.0141,running,1,0.0500,0.0500,0.0000,0.0000,22333434,25339143,27.2995,27.3062,0,0,0.0000,-0.0000,-0.0001,0.0086,0.0000,14.1244
0.0401,0.0202,running,1,0.0500,0.0500,0.0001,0.0001,22333609,25339292,43.4435,43.5368,0,0,0.0001,-0.0000,-0.0017,0.0136,0.0000,20.1800
0.0622,0.0226,running,1,0.0500,0.0500,0.0003,0.0003,22334020,25339658,61.4907,61.7341,0,0,0.0003,-0.0000,-0.0045,0.0193,0.0000,22.5590
0.0826,0.0202,running,1,0.0500,0.0500,0.0006,0.0006,22334588,25340198,77.6413,77.9779,0,0,0.0006,-0.0000,-0.0062,0.0244,0.0000,20.1882
0.1025,0.0201,running,1,0.0500,0.0500,0.0010,0.0009,22335305,25340924,93.6956,94.0022,0,0,0.0010,-0.0000,-0.0057,0.0294,0.0000,20.0679
0.1345,0.0303,running,1,0.0500,0.0500,0.0018,0.0017,22336828,25342414,117.9638,118.3805,72,72,0.0018,-0.0000,-0.0077,0.0371,0.0000,30.3353
0.1527,0.0201,running,1,0.0500,0.0500,0.0024,0.0023,22337939,25343457,134.0761,134.7194,72,72,0.0023,-0.0000,-0.0119,0.0421,0.0000,20.1403
0.1734,0.0202,running,1,0.0500,0.0500,0.0031,0.0030,22339327,25344876,150.2721,150.8121,72,72,0.0031,-0.0000,-0.0100,0.0472,0.0000,20.2450
0.1936,0.0201,running,1,0.0500,0.0500,0.0039,0.0038,22340907,25346451,166.3394,166.8961,72,72,0.0039,-0.0000,-0.0103,0.0523,0.0000,20.0841
0.2135,0.0202,running,1,0.0500,0.0500,0.0048,0.0047,22342657,25348170,182.4674,183.1274,72,72,0.0048,-0.0000,-0.0122,0.0573,0.0000,20.1600
0.2336,0.0201,running,1,0.0500,0.0500,0.0059,0.0057,22344599,25350083,198.5603,199.3170,72,72,0.0058,-0.0000,-0.0140,0.0624,0.0000,20.1161
0.2535,0.0201,running,1,0.0500,0.0500,0.0070,0.0068,22346723,25352204,214.6308,215.3975,72,72,0.0069,-0.0000,-0.0142,0.0674,0.1831,20.0882
0.2738,0.0202,running,1,0.0500,0.0500,0.0082,0.0081,22349066,25354569,230.7600,231.4533,72,72,0.0081,-0.0000,-0.0128,0.0725,0.1831,20.1614
0.2938,0.0202,running,1,0.0500,0.0500,0.0095,0.0094,22351596,25357100,246.8842,247.5742,72,72,0.0095,-0.0000,-0.0128,0.0776,0.1831,20.1553
0.3141,0.0201,running,1,0.0500,0.0500,0.0109,0.0108,22354327,25359841,262.9848,263.6415,72,72,0.0109,-0.0000,-0.0121,0.0826,0.1831,20.1258
0.3462,0.0323,running,1,0.0500,0.0500,0.0134,0.0134,22359100,25364629,288.8337,289.4404,239,243,0.0134,-0.0000,-0.0112,0.0907,0.1831,32.3111
0.3665,0.0201,running,1,0.0500,0.0500,0.0151,0.0151,22362339,25367891,304.9402,305.4702,239,243,0.0151,-0.0000,-0.0098,0.0958,0.1831,20.1332
0.3864,0.0201,running,1,0.0500,0.0500,0.0169,0.0168,22365738,25371286,320.9957,321.5390,239,243,0.0169,-0.0000,-0.0100,0.1008,0.1831,20.0693
0.4067,0.0201,running,1,0.0500,0.0500,0.0188,0.0187,22369334,25374925,337.0539,337.4539,239,243,0.0188,-0.0000,-0.0074,0.1059,0.1831,20.0727
0.4267,0.0202,running,1,0.0500,0.0500,0.0208,0.0207,22373177,25378715,353.1997,353.7764,239,243,0.0208,-0.0000,-0.0107,0.1110,0.1831,20.1823
0.4467,0.0201,running,1,0.0500,0.0500,0.0229,0.0228,22377134,25382698,369.2881,369.7781,239,243,0.0229,-0.0000,-0.0091,0.1160,0.1831,20.1105
0.4670,0.0201,running,1,0.0500,0.0500,0.0251,0.0250,22381373,25386903,356.0486,356.6519,239,243,0.0251,-0.0000,-0.0111,0.1119,0.1831,20.1325
0.4870,0.0201,running,1,0.0500,0.0500,0.0273,0.0273,22385643,25391223,339.6821,340.1187,239,243,0.0273,-0.0000,-0.0081,0.1067,0.1831,20.1031
0.5083,0.0202,running,1,0.0500,0.0500,0.0296,0.0296,22389907,25395672,322.5108,322.3308,239,243,0.0296,-0.0000,0.0033,0.1013,0.1831,20.2097
0.5284,0.0201,running,1,0.0500,0.0500,0.0317,0.0317,22393987,25399729,305.1774,305.0741,239,243,0.0317,-0.0000,0.0019,0.0959,0.1831,20.1174
0.5627,0.0353,running,1,0.0500,0.0500,0.0352,0.0351,22400595,25406171,274.7943,275.2443,320,310,0.0351,-0.0000,-0.0083,0.0863,0.1831,35.2873
0.5828,0.0201,running,1,0.0500,0.0500,0.0370,0.0370,22404150,25409753,256.9667,257.3267,320,310,0.0370,-0.0000,-0.0067,0.0807,0.1831,20.1187
0.6084,0.0252,running,1,0.0500,0.0500,0.0391,0.0391,22408160,25413820,235.2415,235.4115,320,310,0.0391,-0.0000,-0.0031,0.0739,0.1221,25.1560
0.6304,0.0202,running,1,0.0500,0.0500,0.0407,0.0408,22411179,25416966,217.4578,217.2045,320,310,0.0407,-0.0000,0.0047,0.0683,0.1221,20.2445
0.6503,0.0203,running,1,0.0500,0.0500,0.0422,0.0422,22414052,25419818,199.0642,198.8809,320,310,0.0422,-0.0000,0.0034,0.0625,0.1221,20.3032
0.6703,0.0197,running,1,0.0500,0.0500,0.0435,0.0436,22416574,25422330,181.3870,181.2370,320,310,0.0436,-0.0000,0.0028,0.0570,0.1221,19.6959
0.6903,0.0203,running,1,0.0500,0.0500,0.0447,0.0448,22418855,25424631,163.7638,163.5471,320,310,0.0448,-0.0000,0.0040,0.0514,0.1221,20.3339
0.7098,0.0204,running,1,0.0500,0.0500,0.0458,0.0458,22420904,25426636,146.1320,146.0620,320,310,0.0458,-0.0000,0.0013,0.0459,0.1221,20.4237
0.7298,0.0198,running,1,0.0500,0.0500,0.0468,0.0468,22422735,25428468,128.3429,128.2696,320,310,0.0468,-0.0000,0.0014,0.0403,0.1221,19.8010
0.7603,0.0314,running,1,0.0500,0.0500,0.0481,0.0481,22425295,25430956,98.2102,98.3769,141,134,0.0481,-0.0000,-0.0031,0.0309,0.1221,31.4236
0.7803,0.0201,running,1,0.0500,0.0500,0.0489,0.0489,22426721,25432429,76.4367,76.4467,141,134,0.0489,-0.0000,-0.0002,0.0240,0.1221,20.1408
0.8025,0.0201,settling,1,0.0500,0.0500,0.0494,0.0495,22427813,25433593,0.0000,0.0000,141,134,0.0494,-0.0000,0.0043,0.0000,0.1221,20.1148
0.8247,0.0243,settling,1,0.0500,0.0500,0.0499,0.0500,22428791,25434529,0.0000,0.0000,141,134,0.0499,-0.0000,0.0017,0.0000,0.1221,24.2955
0.8455,0.0202,settling,1,0.0500,0.0500,0.0501,0.0502,22429181,25434952,0.0000,0.0000,141,134,0.0502,-0.0000,0.0037,0.0000,0.1221,20.1853
0.8650,0.0200,settling,1,0.0500,0.0500,0.0502,0.0502,22429235,25435011,0.0000,0.0000,141,134,0.0502,-0.0000,0.0040,0.0000,0.1221,20.0077
0.8850,0.0202,settling,1,0.0500,0.0500,0.0502,0.0502,22429249,25435024,0.0000,0.0000,141,134,0.0502,-0.0000,0.0039,0.0000,0.1221,20.1888
0.9052,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429239,25435020,0.0000,0.0000,141,134,0.0502,-0.0000,0.0043,0.0000,0.1221,20.0996
0.9252,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429236,25435013,0.0000,0.0000,141,134,0.0502,-0.0000,0.0041,0.0000,0.1221,20.0968
0.9460,0.0202,settling,1,0.0500,0.0500,0.0502,0.0502,22429231,25435013,0.0000,0.0000,141,134,0.0502,-0.0000,0.0044,0.0000,0.2441,20.2415
0.9675,0.0219,settling,1,0.0500,0.0500,0.0502,0.0502,22429233,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0041,0.0000,0.2441,21.8633
