# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.9875,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429231,25435014,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.2441,20.1213
1.0080,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429225,25435013,0.0000,0.0000,0,0,0.0502,-0.0000,0.0047,0.0000,0.2441,20.1432
1.0277,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429228,25435009,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.2441,20.1465
1.0480,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435012,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.2441,20.1228
1.0684,0.0202,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435012,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.2441,20.1718
1.0885,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435011,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.2441,20.0933
1.1085,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429228,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.2441,20.1289
1.1286,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429227,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.2441,20.0602
1.1496,0.0209,settling,1,0.0500,0.0500,0.0502,0.0502,22429229,25435013,0.0000,0.0000,0,0,0.0502,-0.0000,0.0045,0.0000,0.2441,20.9268
1.1716,0.0218,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435011,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.2441,21.8427
1.1915,0.0200,settling,1,0.0500,0.0500,0.0502,0.0502,22429229,25435013,0.0000,0.0000,0,0,0.0502,-0.0000,0.0045,0.0000,0.2441,19.9785
1.2113,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435008,0.0000,0.0000,0,0,0.0502,-0.0000,0.0041,0.0000,0.2441,20.0649
1.2313,0.0202,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435008,0.0000,0.0000,0,0,0.0502,-0.0000,0.0041,0.0000,0.2441,20.1674
1.2518,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435009,0.0000,0.0000,0,0,0.0502,-0.0000,0.0042,0.0000,0.2441,20.0996
1.2720,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435009,0.0000,0.0000,0,0,0.0502,-0.0000,0.0042,0.0000,0.0610,20.1449
1.2922,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429229,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.0610,20.1348
1.3121,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429229,25435008,0.0000,0.0000,0,0,0.0502,-0.0000,0.0042,0.0000,0.0610,20.0839
1.3323,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429225,25435008,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.0610,20.1498
1.3523,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429228,25435009,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.0610,20.0872
1.3767,0.0245,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435011,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.0610,24.5334
1.3943,0.0173,settling,1,0.0500,0.0500,0.0502,0.0502,22429227,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.0610,17.3269
1.4143,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429230,25435010,0.0000,0.0000,0,0,0.0502,-0.0000,0.0043,0.0000,0.0610,20.0691
1.4342,0.0201,settling,1,0.0500,0.0500,0.0502,0.0502,22429229,25435012,0.0000,0.0000,0,0,0.0502,-0.0000,0.0044,0.0000,0.0610,20.1250
1.4548,0.0201,done,1,0.0500,0.0500,0.0502,0.0502,22429230,25435009,0.0000,0.0000,0,0,0.0502,-0.0000,0.0042,0.0000,0.0610,20.1269
