# profile=agv-01 blind run: 1 segment(s) at 1592 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.0047,0.0200,running,1,0.5700,0.5700,0.0000,-0.0000,22524951,25530737,16.0000,16.0067,0,0,0.0000,0.0000,-0.0001,0.0050,0.0610,20.0000
0.0197,0.0150,running,1,0.5700,0.5700,0.0000,0.0000,22524971,25530751,27.9932,28.0198,0,0,0.0000,-0.0000,-0.0005,0.0088,0.0610,14.9915
0.0572,0.0373,running,1,0.5700,0.5700,0.0003,0.0003,22525447,25531222,57.8401,57.8835,12,16,0.0003,-0.0000,-0.0008,0.0182,0.0610,37.3087
0.0772,0.0201,running,1,0.5700,0.5700,0.0005,0.0004,22525837,25531587,73.9231,74.0498,12,16,0.0005,-0.0000,-0.0023,0.0232,0.0610,20.1038
0.0972,0.0201,running,1,0.5700,0.5700,0.0007,0.0007,22526370,25532128,89.9941,90.0941,12,16,0.0007,-0.0000,-0.0018,0.0283,0.0610,20.0887
0.1174,0.0201,running,1,0.5700,0.5700,0.0011,0.0011,22527115,25532843,106.0736,106.2736,12,16,0.0011,-0.0000,-0.0037,0.0333,0.0610,20.0995
0.1379,0.0201,running,1,0.5700,0.5700,0.0016,0.0016,22528045,25533766,122.1779,122.4013,12,16,0.0016,-0.0000,-0.0041,0.0384,-0.0610,20.1303
0.1577,0.0201,running,1,0.5700,0.5700,0.0022,0.0022,22529203,25534917,138.2698,138.5164,12,16,0.0022,-0.0000,-0.0046,0.0434,-0.0610,20.1148
0.1777,0.0200,running,1,0.5700,0.5700,0.0030,0.0029,22530595,25536276,154.2933,154.6500,12,16,0.0029,-0.0000,-0.0066,0.0485,-0.0610,20.0295
0.1977,0.0201,running,1,0.5700,0.5700,0.0038,0.0037,22532151,25537825,170.3804,170.7604,12,16,0.0037,-0.0000,-0.0070,0.0535,-0.0610,20.1088
0.2177,0.0201,running,1,0.5700,0.5700,0.0047,0.0046,22533879,25539547,186.4536,186.8536,12,16,0.0046,-0.0000,-0.0074,0.0586,-0.0610,20.0915
0.2380,0.0201,running,1,0.5700,0.5700,0.0057,0.0056,22535815,25541485,202.5243,202.9176,12,16,0.0057,-0.0000,-0.0073,0.0636,-0.0610,20.0884
