# profile=agv-01 blind run: 1 segment(s) at 1592 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.2707,0.0328,running,1,0.5700,0.5700,0.0076,0.0075,22539396,25545058,228.7317,229.1517,173,177,0.0075,-0.0000,-0.0078,0.0719,-0.0610,32.7593
0.2907,0.0201,running,1,0.5700,0.5700,0.0088,0.0088,22541835,25547494,244.8024,245.2324,173,177,0.0088,-0.0000,-0.0079,0.0769,-0.0610,20.0883
0.3107,0.0201,running,1,0.5700,0.5700,0.0102,0.0102,22544454,25550135,260.8606,261.2173,173,177,0.0102,-0.0000,-0.0066,0.0820,-0.0610,20.0728
0.3309,0.0201,running,1,0.5700,0.5700,0.0117,0.0116,22547312,25552986,276.9395,277.3195,173,177,0.0117,-0.0000,-0.0070,0.0870,-0.0610,20.0986
0.3509,0.0201,running,1,0.5700,0.5700,0.0133,0.0132,22550345,25555979,293.0002,293.5136,173,177,0.0133,-0.0000,-0.0095,0.0920,-0.0610,20.0760
0.3715,0.0201,running,1,0.5700,0.5700,0.0150,0.0149,22553574,25559276,309.1192,309.4058,173,177,0.0150,-0.0000,-0.0053,0.0971,-0.0610,20.1487
0.3914,0.0200,running,1,0.5700,0.5700,0.0168,0.0167,22556973,25562666,325.1479,325.4646,173,177,0.0167,-0.0000,-0.0059,0.1021,-0.0610,20.0359
0.4112,0.0201,running,1,0.5700,0.5700,0.0186,0.0186,22560561,25566209,341.2294,341.6960,173,177,0.0186,-0.0000,-0.0086,0.1072,-0.0610,20.1018
0.4314,0.0201,running,1,0.5700,0.5700,0.0207,0.0206,22564400,25570033,357.2962,357.8129,173,177,0.0206,-0.0000,-0.0095,0.1122,-0.0610,20.0835
0.4514,0.0201,running,1,0.5700,0.5700,0.0227,0.0226,22568393,25573994,373.3910,374.0144,173,177,0.0227,-0.0000,-0.0115,0.1173,-0.0610,20.1186
0.4845,0.0331,running,1,0.5700,0.5700,0.0264,0.0263,22575378,25580982,399.8515,400.4648,343,350,0.0264,-0.0000,-0.0113,0.1256,-0.1221,33.0755
0.5047,0.0201,running,1,0.5700,0.5700,0.0288,0.0287,22579917,25585527,415.9197,416.5130,343,350,0.0287,-0.0000,-0.0110,0.1307,-0.1221,20.0853
0.5247,0.0201,running,1,0.5700,0.5700,0.0312,0.0311,22584610,25590193,431.9953,432.6787,343,350,0.0312,-0.0000,-0.0126,0.1357,-0.1221,20.0945
0.5450,0.0201,running,1,0.5700,0.5700,0.0338,0.0337,22589494,25595136,448.0754,448.5621,343,350,0.0338,-0.0000,-0.0090,0.1408,-0.1221,20.1001
0.5652,0.0201,running,1,0.5700,0.5700,0.0365,0.0364,22594623,25600241,464.1370,464.7037,343,350,0.0364,-0.0000,-0.0105,0.1458,-0.1221,20.0770
0.5857,0.0209,running,1,0.5700,0.5700,0.0393,0.0392,22600091,25605628,480.8291,481.6658,343,350,0.0393,-0.0000,-0.0155,0.1511,-0.1221,20.8651
0.6059,0.0200,running,1,0.5700,0.5700,0.0422,0.0421,22605551,25611152,496.8529,497.4762,343,350,0.0422,-0.0000,-0.0115,0.1561,-0.1221,20.0297
0.6262,0.0201,running,1,0.5700,0.5700,0.0452,0.0451,22611278,25616873,512.9341,513.5774,343,350,0.0452,-0.0000,-0.0119,0.1611,-0.1221,20.1016
0.6462,0.0201,running,1,0.5700,0.5700,0.0483,0.0482,22617124,25622700,528.9934,529.7000,343,350,0.0482,-0.0000,-0.0131,0.1662,-0.1221,20.0741
0.6659,0.0201,running,1,0.5700,0.5700,0.0514,0.0513,22623164,25628653,545.0615,546.0582,343,350,0.0513,-0.0000,-0.0184,0.1712,-0.1221,20.0852
0.6987,0.0328,running,1,0.5700,0.5700,0.0568,0.0566,22633498,25638931,571.2700,572.4533,512,519,0.0567,-0.0000,-0.0219,0.1795,-0.1221,32.7606
0.7190,0.0201,running,1,0.5700,0.5700,0.0603,0.0601,22640107,25645579,587.3361,588.3894,512,519,0.0602,-0.0000,-0.0195,0.1845,-0.1221,20.0827
0.7390,0.0201,running,1,0.5700,0.5700,0.0638,0.0636,22646831,25652284,603.4089,604.5256,512,519,0.0637,-0.0000,-0.0206,0.1896,-0.1221,20.0910
0.7589,0.0201,running,1,0.5700,0.5700,0.0675,0.0673,22653790,25659193,619.4777,620.7611,512,519,0.0674,-0.0000,-0.0237,0.1946,-0.1221,20.0860
0.7792,0.0201,running,1,0.5700,0.5700,0.0712,0.0710,22661005,25666399,635.5422,636.8556,512,519,0.0711,-0.0000,-0.0243,0.1997,-0.1221,20.0806
0.7992,0.0201,running,1,0.5700,0.5700,0.0751,0.0749,22668312,25673719,651.6226,652.8926,512,519,0.0750,-0.0000,-0.0235,0.2047,-0.1221,20.1005
0.8198,0.0201,running,1,0.5700,0.5700,0.0791,0.0789,22675964,25681408,667.6971,668.8437,512,519,0.0790,-0.0000,-0.0212,0.2098,-0.3052,20.0931
0.8394,0.0201,running,1,0.5700,0.5700,0.0831,0.0829,22683648,25688990,683.7961,685.2827,512,519,0.0830,-0.0000,-0.0275,0.2148,-0.3052,20.1238
0.8595,0.0201,running,1,0.5700,0.5700,0.0872,0.0870,22691568,25696901,699.8566,701.3733,512,519,0.0871,-0.0000,-0.0280,0.2199,-0.3052,20.0757
0.8797,0.0201,running,1,0.5700,0.5700,0.0915,0.0913,22699780,25705048,715.9228,717.6562,512,519,0.0914,-0.0000,-0.0320,0.2249,-0.3052,20.0828
0.9120,0.0323,running,1,0.5700,0.5700,0.0986,0.0983,22713174,25718520,741.7853,743.2587,685,685,0.0984,-0.0000,-0.0272,0.2330,-0.3052,32.3281
0.9319,0.0201,running,1,0.5700,0.5700,0.1031,0.1028,22721802,25727097,757.8585,759.5019,685,685,0.1029,-0.0000,-0.0304,0.2381,-0.3052,20.0915
0.9522,0.0201,running,1,0.5700,0.5700,0.1077,0.1075,22730694,25735998,773.9056,775.5189,685,685,0.1076,-0.0000,-0.0298,0.2431,-0.3052,20.0588
0.9722,0.0201,running,1,0.5700,0.5700,0.1124,0.1122,22739705,25744966,789.9898,791.7464,685,685,0.1123,-0.0000,-0.0325,0.2482,-0.3052,20.1052
0.9928,0.0201,running,1,0.5700,0.5700,0.1172,0.1171,22748860,25754395,806.0626,806.9059,685,685,0.1172,-0.0000,-0.0156,0.2532,-0.3052,20.0911
1.0125,0.0201,running,1,0.5700,0.5700,0.1222,0.1219,22758316,25763644,822.1370,823.6703,685,685,0.1221,-0.0000,-0.0283,0.2583,-0.3052,20.0930
1.0325,0.0201,running,1,0.5700,0.5700,0.1272,0.1269,22767857,25773139,838.1964,839.8830,685,685,0.1271,-0.0000,-0.0312,0.2633,-0.3052,20.0742
1.0525,0.0201,running,1,0.5700,0.5700,0.1323,0.1320,22777639,25782816,854.2608,856.2975,685,685,0.1321,-0.0000,-0.0376,0.2684,-0.3052,20.0806
1.0728,0.0201,running,1,0.5700,0.5700,0.1376,0.1373,22787754,25792925,870.3295,872.3862,685,685,0.1374,-0.0000,-0.0380,0.2734,-0.3052,20.0858
1.0927,0.0201,running,1,0.5700,0.5700,0.1429,0.1426,22797832,25803080,886.4079,888.2079,685,685,0.1427,-0.0001,-0.0333,0.2785,-0.3052,20.0981
1.1252,0.0326,running,1,0.5700,0.5700,0.1517,0.1514,22814754,25819913,912.4949,914.5916,859,853,0.1516,-0.0001,-0.0387,0.2867,-0.3052,32.6087
1.1458,0.0202,running,1,0.5700,0.5700,0.1574,0.1571,22825495,25830784,928.6205,930.2839,859,853,0.1572,-0.0001,-0.0307,0.2917,-0.3052,20.1570
1.1654,0.0200,running,1,0.5700,0.5700,0.1631,0.1627,22836362,25841548,944.6570,946.6636,859,853,0.1629,-0.0001,-0.0371,0.2968,-0.5493,20.0455
1.1857,0.0201,running,1,0.5700,0.5700,0.1689,0.1685,22847568,25852640,960.7082,963.0949,859,853,0.1687,-0.0001,-0.0441,0.3018,-0.5493,20.0640
1.2058,0.0201,running,1,0.5700,0.5700,0.1748,0.1744,22858749,25863900,976.7562,978.8796,859,853,0.1746,-0.0001,-0.0392,0.3069,-0.5493,20.0600
1.2261,0.0201,running,1,0.5700,0.5700,0.1808,0.1804,22870166,25875328,992.8294,994.9161,859,853,0.1806,-0.0001,-0.0386,0.3119,-0.5493,20.0915
1.2462,0.0202,running,1,0.5700,0.5700,0.1869,0.1866,22881922,25887213,1008.9633,1010.6200,859,853,0.1868,-0.0001,-0.0306,0.3170,-0.5493,20.1673
1.2659,0.0200,running,1,0.5700,0.5700,0.1931,0.1927,22893710,25898840,1024.9889,1027.1823,859,853,0.1929,-0.0001,-0.0405,0.3220,-0.5493,20.0320
1.2859,0.0201,running,1,0.5700,0.5700,0.1994,0.1990,22905701,25910813,1041.0552,1043.3085,859,853,0.1992,-0.0001,-0.0416,0.3271,-0.5493,20.0828
1.3062,0.0201,running,1,0.5700,0.5700,0.2058,0.2055,22918044,25923177,1057.1089,1059.2923,859,853,0.2057,-0.0001,-0.0403,0.3321,-0.5493,20.0672
1.3387,0.0325,running,1,0.5700,0.5700,0.2164,0.2161,22938283,25943380,1083.1039,1085.4072,1026,1033,0.2162,-0.0001,-0.0426,0.3403,-0.5493,32.4937
1.3587,0.0201,running,1,0.5700,0.5700,0.2231,0.2227,22950950,25956103,1099.1697,1101.2863,1026,1033,0.2229,-0.0001,-0.0391,0.3453,-0.5493,20.0822
1.3787,0.0201,running,1,0.5700,0.5700,0.2298,0.2294,22963861,25968919,1115.2554,1117.6888,1026,1033,0.2296,-0.0001,-0.0450,0.3504,-0.5493,20.1072
1.3990,0.0201,running,1,0.5700,0.5700,0.2367,0.2364,22977103,25982150,1131.3279,1133.7979,1026,1033,0.2366,-0.0001,-0.0456,0.3554,-0.5493,20.0906
1.4189,0.0201,running,1,0.5700,0.5700,0.2437,0.2433,22990359,25995433,1147.3986,1149.7786,1026,1033,0.2435,-0.0001,-0.0440,0.3605,-0.5493,20.0883
1.4390,0.0201,running,1,0.5700,0.5700,0.2508,0.2503,23003866,26008831,1163.4670,1166.2103,1026,1033,0.2505,-0.0001,-0.0507,0.3655,-0.5493,20.0855
1.4592,0.0201,running,1,0.5700,0.5700,0.2580,0.2576,23017650,26022696,1179.5298,1182.0032,1026,1033,0.2578,-0.0001,-0.0457,0.3706,-0.5493,20.0786
1.4792,0.0201,running,1,0.5700,0.5700,0.2652,0.2648,23031510,26036531,1195.5945,1198.1512,1026,1033,0.2650,-0.0001,-0.0472,0.3756,-0.5493,20.0808
1.4992,0.0201,running,1,0.5700,0.5700,0.2726,0.2722,23045563,26050560,1211.6774,1214.3140,1026,1033,0.2724,-0.0001,-0.0487,0.3807,-0.4272,20.1036
1.5195,0.0201,running,1,0.5700,0.5700,0.2801,0.2797,23059933,26064970,1215.0575,1217.5609,1026,1033,0.2799,-0.0002,-0.0463,0.3817,-0.4272,20.0818
1.5482,0.0278,running,1,0.5700,0.5700,0.2906,0.2906,23080007,26085734,1192.8261,1193.0295,1195,1195,0.2906,-0.0002,-0.0038,0.3747,-0.4272,27.8148
1.5686,0.0201,running,1,0.5700,0.5700,0.2983,0.2979,23094645,26099692,1176.3501,1178.8201,1195,1195,0.2981,-0.0002,-0.0456,0.3696,-0.4272,20.0708
1.5880,0.0201,running,1,0.5700,0.5700,0.3059,0.3056,23109258,26114321,1159.6687,1162.0854,1195,1195,0.3058,-0.0002,-0.0447,0.3643,-0.4272,20.0667
1.6084,0.0201,running,1,0.5700,0.5700,0.3131,0.3131,23122948,26128747,1143.8203,1143.7836,1195,1195,0.3131,-0.0002,0.0007,0.3593,-0.4272,20.1102
1.6297,0.0211,running,1,0.5700,0.5700,0.3207,0.3208,23137455,26143476,1126.7828,1126.0061,1195,1195,0.3208,-0.0002,0.0144,0.3540,-0.4272,21.1159
1.6493,0.0193,running,1,0.5700,0.5700,0.3277,0.3278,23150782,26156798,1110.9009,1110.1409,1195,1195,0.3277,-0.0002,0.0140,0.3490,-0.4272,19.3498
1.6693,0.0201,running,1,0.5700,0.5700,0.3347,0.3348,23164201,26170199,1094.6766,1093.9766,1195,1195,0.3348,-0.0002,0.0129,0.3439,-0.4272,20.0622
1.6893,0.0201,running,1,0.5700,0.5700,0.3418,0.3418,23177657,26183443,1078.1624,1078.1691,1195,1195,0.3418,-0.0002,-0.0001,0.3387,-0.4272,20.1282
1.7093,0.0201,running,1,0.5700,0.5700,0.3486,0.3486,23190678,26196481,1061.9376,1061.8876,1195,1195,0.3486,-0.0002,0.0009,0.3336,-0.4272,20.0680
1.7293,0.0201,running,1,0.5700,0.5700,0.3553,0.3553,23203515,26209279,1045.6957,1045.7757,1195,1195,0.3553,-0.0002,-0.0015,0.3285,-0.4272,20.0681
1.7621,0.0335,running,1,0.5700,0.5700,0.3664,0.3661,23224633,26229944,1018.4129,1020.0029,1056,1048,0.3662,-0.0002,-0.0294,0.3199,-0.4272,33.5105
1.7820,0.0200,running,1,0.5700,0.5700,0.3729,0.3726,23237101,26242333,1001.9565,1003.8098,1056,1048,0.3727,-0.0002,-0.0343,0.3148,-0.4272,19.9616
1.8028,0.0201,running,1,0.5700,0.5700,0.3792,0.3792,23249233,26254956,985.6799,985.8965,1056,1048,0.3792,-0.0002,-0.0040,0.3097,-0.4272,20.0510
1.8232,0.0201,running,1,0.5700,0.5700,0.3856,0.3855,23261319,26267075,969.1932,969.2999,1056,1048,0.3856,-0.0002,-0.0020,0.3045,-0.4272,20.1291
1.8430,0.0201,running,1,0.5700,0.5700,0.3917,0.3917,23273060,26278810,952.9041,953.0307,1056,1048,0.3917,-0.0002,-0.0023,0.2994,0.1831,20.0643
1.8633,0.0201,running,1,0.5700,0.5700,0.3977,0.3978,23284588,26290509,936.6348,936.1915,1056,1048,0.3978,-0.0002,0.0082,0.2943,0.1831,20.0967
1.8851,0.0224,running,1,0.5700,0.5700,0.4045,0.4043,23297534,26302831,918.0208,919.6575,1056,1048,0.4044,-0.0002,-0.0302,0.2884,0.1831,22.3998
1.9061,0.0201,running,1,0.5700,0.5700,0.4106,0.4104,23309222,26314531,900.8852,902.4819,1056,1048,0.4105,-0.0002,-0.0295,0.2830,0.1831,20.0969
1.9259,0.0201,running,1,0.5700,0.5700,0.4161,0.4161,23319562,26325419,885.4495,885.2195,1056,1048,0.4161,-0.0002,0.0043,0.2782,0.1831,20.0746
1.9458,0.0201,running,1,0.5700,0.5700,0.4217,0.4217,23330312,26336118,869.1111,869.0511,1056,1048,0.4217,-0.0002,0.0011,0.2730,0.1831,20.0986
1.9805,0.0356,running,1,0.5700,0.5700,0.4314,0.4312,23348914,26354361,840.0886,841.2253,882,874,0.4313,-0.0002,-0.0210,0.2639,0.1831,35.5870
2.0008,0.0201,running,1,0.5700,0.5700,0.4369,0.4367,23359297,26364753,823.4445,824.5512,882,874,0.4368,-0.0002,-0.0205,0.2587,0.1831,20.1214
2.0217,0.0201,running,1,0.5700,0.5700,0.4421,0.4422,23369371,26375198,806.9677,806.8377,882,874,0.4421,-0.0002,0.0024,0.2535,0.1831,20.0547
2.0457,0.0220,running,1,0.5700,0.5700,0.4477,0.4478,23380068,26386021,789.0954,788.5454,882,874,0.4478,-0.0002,0.0102,0.2479,0.1831,21.9894
2.0645,0.0197,running,1,0.5700,0.5700,0.4527,0.4528,23389599,26395557,772.8231,772.2564,882,874,0.4528,-0.0002,0.0105,0.2428,0.1831,19.7303
2.0835,0.0201,running,1,0.5700,0.5700,0.4577,0.4578,23399013,26404982,756.4070,755.8036,882,874,0.4577,-0.0002,0.0111,0.2376,0.1831,20.0651
2.1035,0.0201,running,1,0.5700,0.5700,0.4625,0.4626,23408315,26414178,739.8285,739.5785,882,874,0.4625,-0.0002,0.0046,0.2324,0.1831,20.0754
2.1238,0.0203,running,1,0.5700,0.5700,0.4673,0.4673,23417397,26423289,723.2755,722.9289,882,874,0.4673,-0.0002,0.0064,0.2272,0.1831,20.2827
2.1435,0.0199,running,1,0.5700,0.5700,0.4718,0.4719,23426074,26431955,707.0989,706.7889,882,874,0.4719,-0.0002,0.0057,0.2221,0.1831,19.9218
2.1640,0.0201,running,1,0.5700,0.5700,0.4764,0.4765,23434753,26440717,690.5395,689.9529,882,874,0.4764,-0.0002,0.0108,0.2169,0.1831,20.1230
2.1928,0.0299,running,1,0.5700,0.5700,0.4829,0.4828,23447295,26452727,665.8825,667.0692,705,688,0.4828,-0.0002,-0.0219,0.2092,0.1831,29.9453
2.2161,0.0214,running,1,0.5700,0.5700,0.4875,0.4877,23455980,26462227,648.2588,646.7288,705,688,0.4876,-0.0002,0.0283,0.2037,0.0000,21.3569
2.2364,0.0203,running,1,0.5700,0.5700,0.4918,0.4917,23464154,26469796,631.2228,631.7094,705,688,0.4917,-0.0002,-0.0090,0.1983,0.0000,20.3154
2.2555,0.0199,running,1,0.5700,0.5700,0.4957,0.4958,23471737,26477608,614.9966,614.7199,705,688,0.4958,-0.0002,0.0051,0.1932,0.0000,19.9275
2.2753,0.0201,running,1,0.5700,0.5700,0.4996,0.4996,23479126,26484972,598.7627,598.5694,705,688,0.4996,-0.0002,0.0036,0.1881,0.0000,20.0588
2.2955,0.0201,running,1,0.5700,0.5700,0.5035,0.5035,23486506,26492380,582.0969,581.8103,705,688,0.5035,-0.0002,0.0053,0.1829,0.0000,20.0698
2.3155,0.0201,running,1,0.5700,0.5700,0.5072,0.5072,23493613,26499464,565.5836,565.3736,705,688,0.5072,-0.0002,0.0039,0.1777,0.0000,20.0651
2.3358,0.0201,running,1,0.5700,0.5700,0.5108,0.5109,23500502,26506431,549.1031,548.6331,705,688,0.5108,-0.0002,0.0087,0.1725,0.0000,20.0952
2.3558,0.0201,running,1,0.5700,0.5700,0.5144,0.5144,23507301,26513142,532.3378,532.1611,705,688,0.5144,-0.0002,0.0033,0.1672,0.0000,20.0840
2.3759,0.0201,running,1,0.5700,0.5700,0.5178,0.5178,23513783,26519626,515.8470,515.6637,705,688,0.5178,-0.0002,0.0034,0.1621,0.0000,20.0795
2.4058,0.0307,running,1,0.5700,0.5700,0.5228,0.5227,23523402,26528995,490.3545,491.0045,528,518,0.5227,-0.0002,-0.0120,0.1540,0.0000,30.7433
2.4298,0.0217,running,1,0.5700,0.5700,0.5262,0.5263,23529994,26535959,472.0899,471.4999,528,518,0.5263,-0.0002,0.0109,0.1483,0.0000,21.6947
2.4497,0.0202,running,1,0.5700,0.5700,0.5295,0.5294,23536145,26541762,454.3855,454.9555,528,518,0.5294,-0.0002,-0.0105,0.1427,0.0000,20.2081
2.4694,0.0201,running,1,0.5700,0.5700,0.5323,0.5324,23541658,26547486,437.9096,437.7763,528,518,0.5324,-0.0002,0.0025,0.1376,0.0000,20.0797
2.4886,0.0200,running,1,0.5700,0.5700,0.5350,0.5351,23546817,26552662,421.9093,421.7193,528,518,0.5351,-0.0002,0.0035,0.1325,0.0000,20.0271
2.5088,0.0203,running,1,0.5700,0.5700,0.5378,0.5378,23552036,26557880,405.0804,404.8938,528,518,0.5378,-0.0002,0.0034,0.1273,0.0000,20.2989
2.5288,0.0199,running,1,0.5700,0.5700,0.5404,0.5404,23557022,26562836,388.3222,388.2356,528,518,0.5404,-0.0002,0.0016,0.1220,0.0000,19.9457
2.5490,0.0202,running,1,0.5700,0.5700,0.5429,0.5429,23561839,26567654,371.4146,371.3246,528,518,0.5429,-0.0002,0.0017,0.1167,-0.2441,20.2327
2.5692,0.0199,running,1,0.5700,0.5700,0.5453,0.5453,23566420,26572270,354.5883,354.3816,528,518,0.5453,-0.0002,0.0038,0.1114,-0.2441,19.9458
2.5890,0.0201,running,1,0.5700,0.5700,0.5476,0.5476,23570788,26576582,337.7645,337.7445,528,518,0.5476,-0.0002,0.0004,0.1061,-0.2441,20.1428
2.6187,0.0304,running,1,0.5700,0.5700,0.5509,0.5508,23577079,26582732,311.9436,312.3936,350,340,0.5509,-0.0002,-0.0083,0.0980,-0.2441,30.3971
2.6424,0.0218,running,1,0.5700,0.5700,0.5531,0.5531,23581348,26587149,293.1294,293.0860,350,340,0.5531,-0.0002,0.0008,0.0921,-0.2441,21.7691
2.6629,0.0201,running,1,0.5700,0.5700,0.5551,0.5552,23585023,26591073,275.9073,275.0339,350,340,0.5551,-0.0002,0.0161,0.0867,-0.2441,20.1271
2.6826,0.0201,running,1,0.5700,0.5700,0.5569,0.5569,23588631,26594292,257.8827,258.3060,350,340,0.5569,-0.0002,-0.0078,0.0810,-0.2441,20.0724
2.7024,0.0204,running,1,0.5700,0.5700,0.5586,0.5586,23591868,26597605,240.5650,240.7350,350,340,0.5586,-0.0002,-0.0031,0.0756,-0.2441,20.3549
2.7215,0.0198,running,1,0.5700,0.5700,0.5601,0.5601,23594748,26600512,224.0346,224.1146,350,340,0.5601,-0.0002,-0.0015,0.0704,-0.2441,19.8448
2.7421,0.0201,running,1,0.5700,0.5700,0.5616,0.5616,23597574,26603361,206.5321,206.5354,350,340,0.5616,-0.0002,-0.0001,0.0649,-0.2441,20.1294
2.7618,0.0201,running,1,0.5700,0.5700,0.5630,0.5630,23600183,26605927,188.9396,189.0862,350,340,0.5630,-0.0002,-0.0027,0.0594,-0.2441,20.0791
2.7820,0.0202,running,1,0.5700,0.5700,0.5643,0.5642,23602599,26608339,171.0424,171.2024,350,340,0.5642,-0.0002,-0.0030,0.0537,-0.2441,20.1665
2.8021,0.0200,running,1,0.5700,0.5700,0.5654,0.5654,23604783,26610518,153.0735,153.2502,350,340,0.5654,-0.0002,-0.0033,0.0481,-0.2441,20.0292
2.8311,0.0297,running,1,0.5700,0.5700,0.5669,0.5668,23607630,26613300,125.8551,126.2484,167,157,0.5669,-0.0002,-0.0073,0.0395,-0.2441,29.7100
2.8537,0.0218,running,1,0.5700,0.5700,0.5679,0.5678,23609493,26615226,104.2665,104.4498,167,157,0.5679,-0.0002,-0.0034,0.0328,-0.2441,21.8304
2.8739,0.0201,running,1,0.5700,0.5700,0.5686,0.5686,23610949,26616682,83.5992,83.7825,167,157,0.5686,-0.0002,-0.0034,0.0263,-0.2441,20.1375
2.8952,0.0202,settling,1,0.5700,0.5700,0.5692,0.5692,23612134,26617867,0.0000,0.0000,167,157,0.5692,-0.0002,-0.0034,0.0000,0.0610,20.1502
2.9134,0.0203,settling,1,0.5700,0.5700,0.5697,0.5697,23613069,26618758,0.0000,0.0000,167,157,0.5697,-0.0002,-0.0061,0.0000,0.0610,20.2621
2.9337,0.0202,settling,1,0.5700,0.5700,0.5700,0.5700,23613645,26619347,0.0000,0.0000,167,157,0.5700,-0.0002,-0.0053,0.0000,0.0610,20.1893
2.9552,0.0198,settling,1,0.5700,0.5700,0.5701,0.5701,23613839,26619546,0.0000,0.0000,167,157,0.5701,-0.0002,-0.0050,0.0000,0.0610,19.8390
2.9733,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613832,26619547,0.0000,0.0000,167,157,0.5701,-0.0002,-0.0045,0.0000,0.0610,20.1068
2.9934,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613793,26619529,0.0000,0.0000,167,157,0.5701,-0.0002,-0.0032,0.0000,0.0610,20.1219
3.0135,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613778,26619535,0.0000,0.0000,167,157,0.5701,-0.0002,-0.0019,0.0000,0.0610,20.1170
3.0342,0.0202,settling,1,0.5700,0.5700,0.5701,0.5701,23613785,26619537,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0022,0.0000,0.0610,20.2399
3.0545,0.0203,settling,1,0.5700,0.5700,0.5701,0.5701,23613791,26619529,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0031,0.0000,0.0610,20.2913
3.0744,0.0199,settling,1,0.5700,0.5700,0.5701,0.5701,23613794,26619529,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0033,0.0000,0.0610,19.9484
3.0943,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613791,26619533,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0028,0.0000,0.0610,20.1089
3.1140,0.0200,settling,1,0.5700,0.5700,0.5701,0.5701,23613784,26619533,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0024,0.0000,0.0610,20.0414
3.1350,0.0204,settling,1,0.5700,0.5700,0.5701,0.5701,23613780,26619531,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0023,0.0000,0.0610,20.3711
3.1548,0.0199,settling,1,0.5700,0.5700,0.5701,0.5701,23613790,26619532,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0028,0.0000,0.0610,19.8935
3.1747,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613793,26619529,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0032,0.0000,0.0610,20.0658
3.1945,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613786,26619533,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0025,0.0000,0.0610,20.0663
3.2148,0.0201,settling,1,0.5700,0.5700,0.5701,0.5701,23613785,26619532,0.0000,0.0000,0,1,0.5701,-0.0002,-0.0025,0.0000,0.1221,20.0895
3.2350,0.0203,settling,1,0.5700,0.5700,0.5701,0.5701,23613784,26619531,0.0000,0.0000,0,0,0.5701,-0.0002,-0.0025,0.0000,0.1221,20.2643
