# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
0.6406,0.0199,running,1,1.0000,1.0000,0.0481,0.0480,13155615,17637993,523.9804,524.5870,393,397,0.0480,-0.0000,-0.0112,0.1646,-0.1221,19.9249
0.6607,0.0202,running,1,1.0000,1.0000,0.0512,0.0511,13161678,17644021,540.1462,540.8695,393,397,0.0512,-0.0000,-0.0134,0.1697,-0.1221,20.2072
0.6809,0.0201,running,1,1.0000,1.0000,0.0545,0.0544,13167941,17650287,556.1878,556.9011,393,397,0.0545,-0.0000,-0.0132,0.1747,-0.1221,20.0520
0.7006,0.0200,running,1,1.0000,1.0000,0.0578,0.0577,13174197,17656576,572.1505,572.7538,393,397,0.0577,-0.0000,-0.0112,0.1797,-0.1221,19.9534
0.7209,0.0203,running,1,1.0000,1.0000,0.0612,0.0612,13180804,17663260,588.3523,588.6989,393,397,0.0612,-0.0000,-0.0064,0.1848,-0.1221,20.2522
0.7509,0.0298,running,1,1.0000,1.0000,0.0666,0.0666,13191068,17673514,612.2133,612.5933,558,566,0.0666,-0.0000,-0.0070,0.1923,-0.1221,29.8262
0.7709,0.0201,running,1,1.0000,1.0000,0.0704,0.0703,13198239,17680624,628.2783,628.8616,558,566,0.0703,-0.0000,-0.0108,0.1974,-0.1221,20.0812
0.7909,0.0200,running,1,1.0000,1.0000,0.0742,0.0741,13205587,17687909,636.6198,637.4131,558,566,0.0742,-0.0000,-0.0147,0.2000,-0.1221,20.0360
0.8112,0.0201,running,1,1.0000,1.0000,0.0782,0.0781,13213166,17695469,636.6198,637.4764,558,566,0.0781,-0.0000,-0.0159,0.2000,-0.1221,20.1370
0.8311,0.0201,running,1,1.0000,1.0000,0.0822,0.0820,13220763,17703069,636.6198,637.4664,558,566,0.0821,-0.0000,-0.0157,0.2000,-0.1221,20.1140
0.8515,0.0201,running,1,1.0000,1.0000,0.0862,0.0861,13228480,17710845,636.6198,637.2698,558,566,0.0862,-0.0000,-0.0120,0.2000,-0.1221,20.1145
0.8711,0.0199,running,1,1.0000,1.0000,0.0901,0.0900,13236009,17718372,636.6198,637.2764,558,566,0.0901,-0.0000,-0.0122,0.2000,-0.1221,19.9155
0.8929,0.0218,running,1,1.0000,1.0000,0.0945,0.0944,13244384,17726716,636.6198,637.3798,558,566,0.0945,-0.0000,-0.0141,0.2000,-0.1221,21.7953
0.9130,0.0199,running,1,1.0000,1.0000,0.0986,0.0984,13252065,17734369,636.6198,637.4731,558,566,0.0985,-0.0000,-0.0158,0.2000,-0.1221,19.9410
0.9329,0.0200,running,1,1.0000,1.0000,0.1026,0.1024,13259720,17742021,636.6198,637.4831,558,566,0.1025,-0.0000,-0.0160,0.2000,-0.1221,20.0173
0.9589,0.0260,running,1,1.0000,1.0000,0.1078,0.1076,13269670,17751944,636.6198,637.5731,642,635,0.1077,-0.0000,-0.0177,0.2000,-0.1221,26.0129
0.9789,0.0199,running,1,1.0000,1.0000,0.1118,0.1116,13277333,17759598,636.6198,637.6031,642,635,0.1117,-0.0000,-0.0182,0.2000,-1.0986,19.8665
0.9990,0.0200,running,1,1.0000,1.0000,0.1158,0.1156,13284957,17767182,636.6198,637.7364,642,635,0.1157,-0.0000,-0.0207,0.2000,-1.0986,20.0348
1.0191,0.0202,running,1,1.0000,1.0000,0.1198,0.1196,13292691,17774838,636.6198,637.9964,642,635,0.1197,-0.0000,-0.0255,0.2000,-1.0986,20.1683
1.0407,0.0216,running,1,1.0000,1.0000,0.1241,0.1239,13300937,17783035,636.6198,638.1598,642,635,0.1240,-0.0000,-0.0285,0.2000,-1.0986,21.5988
1.0609,0.0202,running,1,1.0000,1.0000,0.1282,0.1279,13308640,17790712,636.6198,638.2464,642,635,0.1281,-0.0000,-0.0301,0.2000,-1.0986,20.1936
1.0814,0.0205,running,1,1.0000,1.0000,0.1323,0.1320,13316476,17798564,636.6198,638.1931,642,635,0.1322,-0.0000,-0.0291,0.2000,-1.0986,20.5161
1.1014,0.0200,running,1,1.0000,1.0000,0.1363,0.1360,13324116,17806198,636.6198,638.2131,642,635,0.1362,-0.0000,-0.0295,0.2000,-1.0986,20.0127
1.1214,0.0200,running,1,1.0000,1.0000,0.1403,0.1400,13331774,17813862,636.6198,638.1931,642,635,0.1402,-0.0000,-0.0291,0.2000,-1.0986,19.9618
1.1417,0.0202,running,1,1.0000,1.0000,0.1444,0.1441,13339544,17821664,636.6198,638.0864,642,635,0.1442,-0.0000,-0.0272,0.2000,-1.0986,20.2396
1.1682,0.0266,running,1,1.0000,1.0000,0.1497,0.1495,13349655,17831858,636.6198,637.8098,637,645,0.1496,-0.0000,-0.0220,0.2000,-1.0986,26.5758
1.1882,0.0200,running,1,1.0000,1.0000,0.1537,0.1535,13357316,17839526,636.6198,637.7864,637,645,0.1536,-0.0000,-0.0216,0.2000,-1.0986,20.0346
1.2084,0.0202,running,1,1.0000,1.0000,0.1577,0.1575,13365058,17847245,636.6198,637.8631,637,645,0.1576,-0.0000,-0.0230,0.2000,-1.0986,20.2283
1.2284,0.0200,running,1,1.0000,1.0000,0.1617,0.1616,13372742,17854938,636.6198,637.8331,637,645,0.1616,-0.0000,-0.0225,0.2000,-1.0986,19.9689
1.2482,0.0199,running,1,1.0000,1.0000,0.1657,0.1655,13380258,17862448,636.6198,637.8531,637,645,0.1656,-0.0000,-0.0228,0.2000,-1.0986,19.9346
1.2690,0.0205,running,1,1.0000,1.0000,0.1698,0.1697,13388209,17870417,636.6198,637.7931,637,645,0.1697,-0.0000,-0.0217,0.2000,-1.0986,20.4931
1.2891,0.0200,running,1,1.0000,1.0000,0.1738,0.1736,13395822,17878040,636.6198,637.7598,637,645,0.1737,-0.0000,-0.0211,0.2000,-1.0986,19.9761
1.3090,0.0201,running,1,1.0000,1.0000,0.1778,0.1777,13403462,17885700,636.6198,637.6931,637,645,0.1777,-0.0000,-0.0199,0.2000,-0.3052,20.1239
1.3289,0.0199,running,1,1.0000,1.0000,0.1818,0.1817,13411096,17893332,636.6198,637.6998,637,645,0.1817,-0.0000,-0.0200,0.2000,-0.3052,19.9121
1.3493,0.0203,running,1,1.0000,1.0000,0.1859,0.1857,13418815,17901051,636.6198,637.6998,637,645,0.1858,-0.0001,-0.0200,0.2000,-0.3052,20.2778
1.3749,0.0258,running,1,1.0000,1.0000,0.1910,0.1908,13428654,17910886,636.6198,637.7131,639,636,0.1909,-0.0001,-0.0202,0.2000,-0.3052,25.8176
1.3952,0.0203,running,1,1.0000,1.0000,0.1951,0.1949,13436409,17918596,636.6198,637.8631,639,636,0.1950,-0.0001,-0.0230,0.2000,-0.3052,20.2805
1.4155,0.0201,running,1,1.0000,1.0000,0.1991,0.1989,13444171,17926269,636.6198,638.1598,639,636,0.1990,-0.0001,-0.0285,0.2000,-0.3052,20.0986
1.4354,0.0202,running,1,1.0000,1.0000,0.2031,0.2029,13451799,17933902,636.6198,638.1431,639,636,0.2030,-0.0001,-0.0282,0.2000,-0.3052,20.1549
1.4557,0.0201,running,1,1.0000,1.0000,0.2072,0.2070,13459587,17941657,636.6198,638.2531,639,636,0.2071,-0.0001,-0.0302,0.2000,-0.3052,20.0700
1.4754,0.0200,running,1,1.0000,1.0000,0.2111,0.2109,13467097,17949172,636.6198,638.2364,639,636,0.2110,-0.0001,-0.0299,0.2000,-0.3052,19.9996
1.4957,0.0201,running,1,1.0000,1.0000,0.2152,0.2150,13474878,17956925,636.6198,638.3298,639,636,0.2151,-0.0001,-0.0317,0.2000,-0.3052,20.1498
1.5159,0.0201,running,1,1.0000,1.0000,0.2193,0.2190,13482579,17964637,636.6198,638.2931,639,636,0.2191,-0.0001,-0.0310,0.2000,-0.3052,20.1322
1.5356,0.0199,running,1,1.0000,1.0000,0.2232,0.2230,13490177,17972246,636.6198,638.2564,639,636,0.2231,-0.0001,-0.0303,0.2000,-0.3052,19.9395
1.5562,0.0203,running,1,1.0000,1.0000,0.2273,0.2271,13498012,17980048,636.6198,638.3664,639,636,0.2272,-0.0001,-0.0323,0.2000,-0.3052,20.2936
1.5820,0.0259,running,1,1.0000,1.0000,0.2325,0.2322,13507857,17989913,636.6198,638.2998,632,641,0.2324,-0.0001,-0.0311,0.2000,-0.3052,25.8607
1.6019,0.0200,running,1,1.0000,1.0000,0.2365,0.2362,13515441,17997520,636.6198,638.2231,632,641,0.2363,-0.0001,-0.0297,0.2000,-0.3052,19.9784
1.6220,0.0201,running,1,1.0000,1.0000,0.2405,0.2402,13523112,18005193,636.6198,638.2164,632,641,0.2404,-0.0001,-0.0296,0.2000,-0.3052,20.1318
1.6422,0.0201,running,1,1.0000,1.0000,0.2445,0.2443,13530809,18012893,636.6198,638.2064,632,641,0.2444,-0.0001,-0.0294,0.2000,0.1221,20.0618
1.6624,0.0202,running,1,1.0000,1.0000,0.2486,0.2483,13538547,18020657,636.6198,638.1198,632,641,0.2484,-0.0001,-0.0278,0.2000,0.1221,20.2197
1.6824,0.0200,running,1,1.0000,1.0000,0.2526,0.2523,13546219,18028306,636.6198,638.1964,632,641,0.2525,-0.0001,-0.0292,0.2000,0.1221,20.0149
1.7025,0.0201,running,1,1.0000,1.0000,0.2566,0.2563,13553849,18035965,636.6198,638.0998,632,641,0.2565,-0.0001,-0.0274,0.2000,0.1221,20.1302
1.7224,0.0201,running,1,1.0000,1.0000,0.2606,0.2604,13561515,18043633,636.6198,638.0931,632,641,0.2605,-0.0001,-0.0273,0.2000,0.1221,20.0739
1.7451,0.0201,running,1,1.0000,1.0000,0.2646,0.2647,13569201,18052018,636.6198,635.7631,632,641,0.2647,-0.0001,0.0159,0.2000,0.1221,20.0674
1.7630,0.0204,running,1,1.0000,1.0000,0.2687,0.2685,13576984,18059101,636.6198,638.0964,632,641,0.2686,-0.0001,-0.0273,0.2000,0.1221,20.3592
1.7887,0.0257,running,1,1.0000,1.0000,0.2738,0.2736,13586788,18068913,636.6198,638.0698,638,633,0.2737,-0.0001,-0.0269,0.2000,0.1221,25.6636
