# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
3.1092,0.0201,running,1,1.0000,1.0000,0.5381,0.5379,14091475,18573681,636.6198,637.7998,640,634,0.5380,-0.0002,-0.0219,0.2000,0.3662,20.1444
3.1293,0.0202,running,1,1.0000,1.0000,0.5421,0.5419,14099157,18581391,636.6198,637.7064,640,634,0.5420,-0.0002,-0.0201,0.2000,0.3662,20.1677
3.1492,0.0200,running,1,1.0000,1.0000,0.5461,0.5459,14106770,18589004,636.6198,637.7064,640,634,0.5460,-0.0002,-0.0201,0.2000,0.3662,20.0376
3.1716,0.0224,running,1,1.0000,1.0000,0.5506,0.5504,14115380,18597615,636.6198,637.7031,640,634,0.5505,-0.0002,-0.0201,0.2000,0.3662,22.3562
3.1897,0.0180,running,1,1.0000,1.0000,0.5542,0.5540,14122285,18604518,636.6198,637.7098,640,634,0.5541,-0.0002,-0.0202,0.2000,0.3662,17.9821
3.2097,0.0201,running,1,1.0000,1.0000,0.5582,0.5580,14129915,18612143,636.6198,637.7264,640,634,0.5581,-0.0002,-0.0205,0.2000,0.3662,20.1001
3.2357,0.0260,running,1,1.0000,1.0000,0.5634,0.5632,14139806,18622053,636.6198,637.6631,639,635,0.5633,-0.0002,-0.0193,0.2000,0.3662,26.0021
3.2557,0.0201,running,1,1.0000,1.0000,0.5674,0.5672,14147419,18629691,636.6198,637.5798,639,635,0.5673,-0.0002,-0.0178,0.2000,0.3662,20.0556
3.2759,0.0201,running,1,1.0000,1.0000,0.5714,0.5712,14155138,18637402,636.6198,637.6064,639,635,0.5713,-0.0002,-0.0183,0.2000,0.3662,20.1165
3.2960,0.0201,running,1,1.0000,1.0000,0.5754,0.5752,14162788,18645030,636.6198,637.6798,639,635,0.5753,-0.0002,-0.0196,0.2000,-0.3052,20.0535
3.3162,0.0202,running,1,1.0000,1.0000,0.5795,0.5793,14170577,18652807,636.6198,637.7198,639,635,0.5794,-0.0002,-0.0204,0.2000,-0.3052,20.1777
3.3362,0.0200,running,1,1.0000,1.0000,0.5835,0.5833,14178219,18660442,636.6198,637.7431,639,635,0.5834,-0.0002,-0.0208,0.2000,-0.3052,19.9920
3.3561,0.0201,running,1,1.0000,1.0000,0.5875,0.5873,14185921,18668149,636.6198,637.7264,639,635,0.5874,-0.0002,-0.0205,0.2000,-0.3052,20.0660
3.3772,0.0202,running,1,1.0000,1.0000,0.5915,0.5915,14193544,18676146,636.6198,636.4798,639,635,0.5915,-0.0002,0.0026,0.2000,-0.3052,20.1534
3.3964,0.0202,running,1,1.0000,1.0000,0.5956,0.5954,14201291,18683509,636.6198,637.7598,639,635,0.5955,-0.0002,-0.0211,0.2000,-0.3052,20.1751
3.4167,0.0202,running,1,1.0000,1.0000,0.5996,0.5994,14208990,18691185,636.6198,637.8364,639,635,0.5995,-0.0002,-0.0225,0.2000,-0.3052,20.2411
3.4427,0.0259,running,1,1.0000,1.0000,0.6048,0.6046,14218926,18701147,636.6198,637.7498,632,640,0.6047,-0.0002,-0.0209,0.2000,-0.3052,25.9067
3.4627,0.0200,running,1,1.0000,1.0000,0.6088,0.6086,14226545,18708748,636.6198,637.8098,632,640,0.6087,-0.0002,-0.0220,0.2000,-0.3052,20.0422
3.4830,0.0202,running,1,1.0000,1.0000,0.6129,0.6127,14234309,18716529,636.6198,637.7531,632,640,0.6128,-0.0002,-0.0210,0.2000,-0.3052,20.2226
3.5029,0.0200,running,1,1.0000,1.0000,0.6169,0.6167,14241962,18724160,636.6198,637.8264,632,640,0.6168,-0.0002,-0.0223,0.2000,-0.3052,20.0194
3.5232,0.0201,running,1,1.0000,1.0000,0.6209,0.6207,14249698,18731908,636.6198,637.7864,632,640,0.6208,-0.0002,-0.0216,0.2000,-0.3052,20.1382
3.5432,0.0201,running,1,1.0000,1.0000,0.6249,0.6247,14257350,18739556,636.6198,637.7998,632,640,0.6248,-0.0002,-0.0219,0.2000,-0.3052,20.0558
3.5632,0.0200,running,1,1.0000,1.0000,0.6289,0.6287,14264968,18747160,636.6198,637.8464,632,640,0.6288,-0.0002,-0.0227,0.2000,-0.3052,20.0309
3.5851,0.0202,running,1,1.0000,1.0000,0.6330,0.6328,14272738,18754918,636.6198,637.8864,632,640,0.6329,-0.0002,-0.0235,0.2000,-0.3052,20.1826
3.6035,0.0201,running,1,1.0000,1.0000,0.6370,0.6368,14280342,18762524,636.6198,637.8798,632,640,0.6369,-0.0002,-0.0233,0.2000,-0.3052,20.1063
3.6237,0.0201,running,1,1.0000,1.0000,0.6410,0.6408,14288116,18770300,636.6198,637.8731,632,640,0.6409,-0.0002,-0.0232,0.2000,-0.0610,20.1334
3.6497,0.0261,running,1,1.0000,1.0000,0.6462,0.6460,14298025,18780219,636.6198,637.8398,639,634,0.6461,-0.0002,-0.0226,0.2000,-0.0610,26.0825
3.6697,0.0201,running,1,1.0000,1.0000,0.6502,0.6501,14305720,18787909,636.6198,637.8564,639,634,0.6502,-0.0002,-0.0229,0.2000,-0.0610,20.0569
3.6897,0.0201,running,1,1.0000,1.0000,0.6542,0.6540,14313320,18795511,636.6198,637.8498,639,634,0.6541,-0.0002,-0.0228,0.2000,-0.0610,20.0769
3.7100,0.0201,running,1,1.0000,1.0000,0.6583,0.6581,14321095,18803297,636.6198,637.8131,639,634,0.6582,-0.0002,-0.0221,0.2000,-0.0610,20.1117
3.7302,0.0202,running,1,1.0000,1.0000,0.6623,0.6621,14328799,18810988,636.6198,637.8564,639,634,0.6622,-0.0002,-0.0229,0.2000,-0.0610,20.1764
3.7500,0.0200,running,1,1.0000,1.0000,0.6663,0.6661,14336365,18818571,636.6198,637.7998,639,634,0.6662,-0.0002,-0.0219,0.2000,-0.0610,20.0146
3.7702,0.0201,running,1,1.0000,1.0000,0.6704,0.6702,14344115,18826298,636.6198,637.8764,639,634,0.6703,-0.0002,-0.0233,0.2000,-0.0610,20.1251
3.7902,0.0200,running,1,1.0000,1.0000,0.6743,0.6742,14351741,18833951,636.6198,637.7864,639,634,0.6743,-0.0002,-0.0216,0.2000,-0.0610,20.0273
3.8105,0.0203,running,1,1.0000,1.0000,0.6784,0.6782,14359505,18841715,636.6198,637.7864,639,634,0.6783,-0.0002,-0.0216,0.2000,-0.0610,20.2545
3.8307,0.0201,running,1,1.0000,1.0000,0.6824,0.6823,14367212,18849411,636.6198,637.8231,639,634,0.6824,-0.0002,-0.0223,0.2000,-0.0610,20.0897
3.8564,0.0260,running,1,1.0000,1.0000,0.6876,0.6874,14377072,18859252,636.6198,637.8864,639,639,0.6875,-0.0002,-0.0235,0.2000,-0.0610,25.9646
3.8767,0.0201,running,1,1.0000,1.0000,0.6916,0.6915,14384789,18866973,636.6198,637.8731,639,639,0.6916,-0.0002,-0.0232,0.2000,-0.0610,20.1372
3.8970,0.0202,running,1,1.0000,1.0000,0.6957,0.6955,14392547,18874711,636.6198,637.9398,639,639,0.6956,-0.0002,-0.0244,0.2000,-0.0610,20.2050
3.9170,0.0200,running,1,1.0000,1.0000,0.6997,0.6995,14400173,18882343,636.6198,637.9198,639,639,0.6996,-0.0002,-0.0241,0.2000,-0.0610,20.0471
3.9370,0.0201,running,1,1.0000,1.0000,0.7037,0.7035,14407863,18890027,636.6198,637.9398,639,639,0.7036,-0.0002,-0.0244,0.2000,-0.0610,20.0744
3.9572,0.0201,running,1,1.0000,1.0000,0.7078,0.7076,14415574,18897735,636.6198,637.9498,639,639,0.7077,-0.0003,-0.0246,0.2000,-0.0610,20.0849
3.9785,0.0201,running,1,1.0000,1.0000,0.7118,0.7116,14423253,18905420,636.6198,637.9298,639,639,0.7117,-0.0003,-0.0243,0.2000,-0.0610,20.1498
3.9975,0.0201,running,1,1.0000,1.0000,0.7158,0.7156,14430971,18913129,636.6198,637.9598,639,639,0.7157,-0.0003,-0.0248,0.2000,-0.0610,20.1492
4.0177,0.0201,running,1,1.0000,1.0000,0.7199,0.7197,14438709,18920882,636.6198,637.9098,639,639,0.7198,-0.0003,-0.0239,0.2000,-0.0610,20.1320
4.0384,0.0203,running,1,1.0000,1.0000,0.7239,0.7238,14446467,18928829,636.6198,637.2798,639,639,0.7239,-0.0003,-0.0122,0.2000,-0.0610,20.2507
4.0642,0.0265,running,1,1.0000,1.0000,0.7292,0.7290,14456469,18938664,636.6198,637.8364,633,638,0.7291,-0.0003,-0.0225,0.2000,-0.0610,26.4554
4.0845,0.0201,running,1,1.0000,1.0000,0.7332,0.7330,14464223,18946402,636.6198,637.8898,633,638,0.7331,-0.0003,-0.0235,0.2000,-0.0610,20.1057
4.1042,0.0200,running,1,1.0000,1.0000,0.7372,0.7370,14471766,18953954,636.6198,637.8598,633,638,0.7371,-0.0003,-0.0230,0.2000,-0.0610,19.9884
4.1245,0.0201,running,1,1.0000,1.0000,0.7412,0.7411,14479516,18961710,636.6198,637.8398,633,638,0.7412,-0.0003,-0.0226,0.2000,-0.0610,20.1013
4.1449,0.0204,running,1,1.0000,1.0000,0.7453,0.7451,14487316,18969508,636.6198,637.8464,633,638,0.7452,-0.0003,-0.0227,0.2000,-0.0610,20.3867
4.1648,0.0199,running,1,1.0000,1.0000,0.7493,0.7491,14494891,18977091,636.6198,637.8198,633,638,0.7492,-0.0003,-0.0222,0.2000,-0.0610,19.8713
4.1866,0.0220,running,1,1.0000,1.0000,0.7537,0.7535,14503306,18985506,636.6198,637.8198,633,638,0.7536,-0.0003,-0.0222,0.2000,-0.0610,21.9724
4.2065,0.0198,running,1,1.0000,1.0000,0.7576,0.7575,14510830,18993034,636.6198,637.8064,633,638,0.7576,-0.0003,-0.0220,0.2000,-0.0610,19.8408
4.2267,0.0201,running,1,1.0000,1.0000,0.7617,0.7615,14518598,19000781,636.6198,637.8764,633,638,0.7616,-0.0003,-0.0233,0.2000,-0.0610,20.0796
4.2467,0.0201,running,1,1.0000,1.0000,0.7657,0.7655,14526223,19008415,636.6198,637.8464,633,638,0.7656,-0.0003,-0.0227,0.2000,-0.0610,20.0803
4.2738,0.0269,running,1,1.0000,1.0000,0.7711,0.7709,14536576,19018753,636.6198,637.8964,636,639,0.7710,-0.0003,-0.0236,0.2000,-0.0610,26.9388
4.2937,0.0202,running,1,1.0000,1.0000,0.7751,0.7749,14544191,19026387,636.6198,637.8331,636,639,0.7750,-0.0003,-0.0225,0.2000,0.0000,20.1631
4.3139,0.0200,running,1,1.0000,1.0000,0.7791,0.7789,14551866,19034063,636.6198,637.8298,636,639,0.7790,-0.0003,-0.0224,0.2000,0.0000,19.9646
4.3337,0.0200,running,1,1.0000,1.0000,0.7831,0.7829,14559471,19041665,636.6198,637.8398,636,639,0.7830,-0.0003,-0.0226,0.2000,0.0000,20.0419
4.3537,0.0200,running,1,1.0000,1.0000,0.7871,0.7869,14567151,19049343,636.6198,637.8464,636,639,0.7870,-0.0003,-0.0227,0.2000,0.0000,20.0396
4.3739,0.0201,running,1,1.0000,1.0000,0.7912,0.7910,14574867,19057039,636.6198,637.9131,636,639,0.7911,-0.0003,-0.0240,0.2000,0.0000,20.1218
4.3950,0.0201,running,1,1.0000,1.0000,0.7952,0.7952,14582613,19065078,636.6198,636.9364,636,639,0.7952,-0.0003,-0.0059,0.2000,0.0000,20.1365
4.4143,0.0201,running,1,1.0000,1.0000,0.7992,0.7990,14590269,19072446,636.6198,637.8964,636,639,0.7991,-0.0003,-0.0236,0.2000,0.0000,20.0845
4.4342,0.0201,running,1,1.0000,1.0000,0.8032,0.8030,14597897,19080079,636.6198,637.8798,636,639,0.8031,-0.0003,-0.0233,0.2000,0.0000,20.1206
4.4542,0.0200,running,1,1.0000,1.0000,0.8073,0.8070,14605572,19087742,636.6198,637.9198,636,639,0.8071,-0.0003,-0.0241,0.2000,0.0000,20.0097
4.4802,0.0258,running,1,1.0000,1.0000,0.8124,0.8122,14615464,19097664,636.6198,637.8198,638,638,0.8123,-0.0003,-0.0222,0.2000,0.0000,25.8320
4.5002,0.0200,running,1,1.0000,1.0000,0.8164,0.8162,14623085,19105280,636.6198,637.8364,638,638,0.8163,-0.0003,-0.0225,0.2000,0.0000,20.0271
4.5205,0.0202,running,1,1.0000,1.0000,0.8205,0.8203,14630800,19113024,636.6198,637.7398,638,638,0.8204,-0.0003,-0.0207,0.2000,0.0000,20.1906
4.5402,0.0200,running,1,1.0000,1.0000,0.8244,0.8242,14638393,19120595,636.6198,637.8131,638,638,0.8243,-0.0003,-0.0221,0.2000,0.0000,19.9901
4.5604,0.0201,running,1,1.0000,1.0000,0.8285,0.8283,14646126,19128335,636.6198,637.7898,638,638,0.8284,-0.0003,-0.0217,0.2000,0.0000,20.1121
4.5806,0.0201,running,1,1.0000,1.0000,0.8325,0.8323,14653818,19136017,636.6198,637.8231,638,638,0.8324,-0.0003,-0.0223,0.2000,0.0000,20.1093
4.6007,0.0201,running,1,1.0000,1.0000,0.8365,0.8364,14661522,19143707,636.6198,637.8698,638,638,0.8364,-0.0003,-0.0231,0.2000,0.0000,20.0936
4.6207,0.0201,running,1,1.0000,1.0000,0.8406,0.8404,14669169,19151381,636.6198,637.7798,638,638,0.8405,-0.0003,-0.0215,0.2000,-0.1221,20.0542
4.6410,0.0202,running,1,1.0000,1.0000,0.8446,0.8444,14676869,19159069,636.6198,637.8198,638,638,0.8445,-0.0003,-0.0222,0.2000,-0.1221,20.2456
4.6609,0.0200,running,1,1.0000,1.0000,0.8486,0.8484,14684515,19166743,636.6198,637.7264,638,638,0.8485,-0.0003,-0.0205,0.2000,-0.1221,19.9701
4.6869,0.0260,running,1,1.0000,1.0000,0.8538,0.8536,14694445,19176661,636.6198,637.7664,641,632,0.8537,-0.0003,-0.0212,0.2000,-0.1221,25.9703
4.7070,0.0200,running,1,1.0000,1.0000,0.8578,0.8576,14702120,19184337,636.6198,637.7631,641,632,0.8577,-0.0003,-0.0212,0.2000,-0.1221,20.0322
4.7273,0.0202,running,1,1.0000,1.0000,0.8618,0.8617,14709840,19192050,636.6198,637.7864,641,632,0.8618,-0.0003,-0.0216,0.2000,-0.1221,20.2079
4.7472,0.0201,running,1,1.0000,1.0000,0.8659,0.8657,14717504,19199714,636.6198,637.7864,641,632,0.8658,-0.0003,-0.0216,0.2000,-0.1221,20.0514
4.7672,0.0201,running,1,1.0000,1.0000,0.8699,0.8697,14725158,19207330,636.6198,637.9131,641,632,0.8698,-0.0003,-0.0240,0.2000,-0.1221,20.0787
4.7891,0.0201,running,1,1.0000,1.0000,0.8739,0.8737,14732887,19215057,636.6198,637.9198,641,632,0.8738,-0.0003,-0.0241,0.2000,-0.1221,20.1465
4.8075,0.0201,running,1,1.0000,1.0000,0.8779,0.8777,14740567,19222713,636.6198,637.9998,641,632,0.8778,-0.0003,-0.0256,0.2000,-0.1221,20.0712
4.8277,0.0201,running,1,1.0000,1.0000,0.8820,0.8818,14748268,19230435,636.6198,637.9298,641,632,0.8819,-0.0003,-0.0243,0.2000,-0.1221,20.1398
4.8477,0.0200,running,1,1.0000,1.0000,0.8860,0.8858,14755964,19238135,636.6198,637.9164,641,632,0.8859,-0.0003,-0.0240,0.2000,-0.1221,20.0077
4.8680,0.0203,running,1,1.0000,1.0000,0.8900,0.8898,14763689,19245838,636.6198,637.9898,641,632,0.8899,-0.0003,-0.0254,0.2000,-0.1221,20.2901
4.8941,0.0260,running,1,1.0000,1.0000,0.8953,0.8951,14773661,19255817,636.6198,637.9664,635,642,0.8952,-0.0003,-0.0249,0.2000,-0.1221,25.9538
4.9137,0.0199,running,1,1.0000,1.0000,0.8992,0.8990,14781155,19263314,636.6198,637.9564,635,642,0.8991,-0.0003,-0.0248,0.2000,-0.1221,19.8984
4.9343,0.0204,running,1,1.0000,1.0000,0.9033,0.9031,14789029,19271184,636.6198,637.9698,635,642,0.9032,-0.0003,-0.0250,0.2000,-0.1221,20.4244
4.9543,0.0201,running,1,1.0000,1.0000,0.9073,0.9071,14796634,19278776,636.6198,638.0131,635,642,0.9072,-0.0003,-0.0258,0.2000,-0.0610,20.0646
4.9745,0.0201,running,1,1.0000,1.0000,0.9114,0.9111,14804391,19286545,636.6198,637.9731,635,642,0.9112,-0.0003,-0.0251,0.2000,-0.0610,20.0728
4.9943,0.0199,running,1,1.0000,1.0000,0.9153,0.9151,14811945,19294078,636.6198,638.0431,635,642,0.9152,-0.0003,-0.0264,0.2000,-0.0610,19.9115
5.0150,0.0204,running,1,1.0000,1.0000,0.9194,0.9192,14819769,19301925,636.6198,637.9664,635,642,0.9193,-0.0003,-0.0249,0.2000,-0.0610,20.3667
5.0351,0.0201,running,1,1.0000,1.0000,0.9234,0.9233,14827423,19309675,624.5474,625.5741,635,642,0.9233,-0.0003,-0.0190,0.1962,-0.0610,20.0954
5.0552,0.0204,running,1,1.0000,1.0000,0.9275,0.9272,14835144,19317309,607.8406,609.1573,635,642,0.9274,-0.0003,-0.0244,0.1910,-0.0610,20.4232
5.0757,0.0197,running,1,1.0000,1.0000,0.9313,0.9313,14842496,19324955,591.4937,591.8304,635,642,0.9313,-0.0003,-0.0062,0.1858,-0.0610,19.7244
5.1104,0.0353,running,1,1.0000,1.0000,0.9379,0.9377,14855120,19337364,562.3174,563.3707,600,597,0.9378,-0.0003,-0.0195,0.1767,-0.0610,35.3200
5.1302,0.0201,running,1,1.0000,1.0000,0.9416,0.9414,14862089,19344348,545.5427,546.5460,600,597,0.9415,-0.0003,-0.0186,0.1714,-0.0610,20.0919
5.1515,0.0202,running,1,1.0000,1.0000,0.9451,0.9452,14868820,19351504,528.8360,528.4227,600,597,0.9451,-0.0003,0.0077,0.1661,-0.0610,20.1529
5.1717,0.0200,running,1,1.0000,1.0000,0.9485,0.9484,14875426,19357767,511.9097,512.6397,600,597,0.9485,-0.0003,-0.0135,0.1608,-0.0610,20.0285
5.1931,0.0207,running,1,1.0000,1.0000,0.9521,0.9521,14882127,19364685,494.1479,494.1546,600,597,0.9521,-0.0003,-0.0001,0.1552,-0.0610,20.6870
5.2160,0.0240,running,1,1.0000,1.0000,0.9558,0.9557,14889311,19371649,474.3678,475.1078,600,597,0.9558,-0.0003,-0.0137,0.1490,-0.0610,23.9888
5.2373,0.0201,running,1,1.0000,1.0000,0.9589,0.9589,14895189,19377763,457.5480,457.5013,600,597,0.9589,-0.0003,0.0009,0.1437,-0.0610,20.1108
5.2565,0.0201,running,1,1.0000,1.0000,0.9617,0.9618,14900557,19383251,441.6283,441.1816,600,597,0.9617,-0.0003,0.0083,0.1387,-0.0610,20.0651
5.2762,0.0201,running,1,1.0000,1.0000,0.9645,0.9646,14905945,19388568,425.0500,424.8400,600,597,0.9645,-0.0003,0.0039,0.1335,-0.0610,20.1120
5.3097,0.0344,running,1,1.0000,1.0000,0.9692,0.9691,14914811,19397192,396.2636,396.8603,437,427,0.9691,-0.0003,-0.0110,0.1245,-0.4272,34.3669
5.3300,0.0201,running,1,1.0000,1.0000,0.9718,0.9717,14919857,19402215,378.9048,379.5781,437,427,0.9718,-0.0003,-0.0125,0.1190,-0.4272,20.1184
5.3512,0.0203,running,1,1.0000,1.0000,0.9743,0.9743,14924576,19407199,361.9183,361.7083,437,427,0.9743,-0.0003,0.0039,0.1137,-0.4272,20.2504
5.3709,0.0200,running,1,1.0000,1.0000,0.9766,0.9766,14929062,19411655,344.9959,344.8859,437,427,0.9766,-0.0003,0.0020,0.1084,-0.4272,20.0240
5.3910,0.0201,running,1,1.0000,1.0000,0.9789,0.9789,14933332,19415894,328.0785,328.0718,437,427,0.9789,-0.0003,0.0001,0.1031,-0.4272,20.1063
5.4110,0.0200,running,1,1.0000,1.0000,0.9810,0.9810,14937364,19419948,311.2612,311.1812,437,427,0.9810,-0.0003,0.0015,0.0978,-0.4272,19.9789
5.4327,0.0225,running,1,1.0000,1.0000,0.9832,0.9832,14941662,19424105,292.2707,292.6607,437,427,0.9832,-0.0003,-0.0072,0.0918,-0.4272,22.4924
5.4537,0.0201,running,1,1.0000,1.0000,0.9851,0.9852,14945328,19427914,275.0385,274.9518,437,427,0.9852,-0.0003,0.0016,0.0864,-0.4272,20.0890
5.4737,0.0201,running,1,1.0000,1.0000,0.9869,0.9869,14948746,19431330,257.9370,257.8570,437,427,0.9869,-0.0003,0.0015,0.0810,-0.4272,20.0680
5.4937,0.0201,running,1,1.0000,1.0000,0.9886,0.9886,14951962,19434538,240.7395,240.6862,437,427,0.9886,-0.0003,0.0010,0.0756,-0.4272,20.0879
5.5277,0.0348,running,1,1.0000,1.0000,0.9913,0.9913,14957096,19439563,210.3921,210.7021,253,246,0.9913,-0.0003,-0.0057,0.0661,-0.4272,34.8241
5.5477,0.0200,running,1,1.0000,1.0000,0.9928,0.9927,14959865,19442356,192.0439,192.2739,253,246,0.9927,-0.0003,-0.0043,0.0603,-0.4272,19.9997
5.5687,0.0201,running,1,1.0000,1.0000,0.9940,0.9941,14962330,19444909,174.0905,174.0272,253,246,0.9941,-0.0003,0.0012,0.0547,-0.4272,20.0835
5.5890,0.0201,running,1,1.0000,1.0000,0.9952,0.9952,14964597,19447161,155.7632,155.7499,253,246,0.9952,-0.0003,0.0002,0.0489,-0.4272,20.1484
5.6088,0.0200,running,1,1.0000,1.0000,0.9963,0.9963,14966565,19449141,137.8919,137.8386,253,246,0.9963,-0.0003,0.0010,0.0433,-0.4272,20.0323
5.6292,0.0202,running,1,1.0000,1.0000,0.9972,0.9972,14968375,19450962,119.1113,119.0213,253,246,0.9972,-0.0003,0.0017,0.0374,-0.4272,20.1946
5.6522,0.0236,running,1,1.0000,1.0000,0.9982,0.9981,14970204,19452718,96.4893,96.6426,253,246,0.9982,-0.0003,-0.0028,0.0303,0.0610,23.5792
5.6743,0.0204,running,1,1.0000,1.0000,0.9989,0.9989,14971521,19454104,76.1458,76.0691,253,246,0.9989,-0.0003,0.0014,0.0239,0.0610,20.3979
5.6932,0.0201,settling,1,1.0000,1.0000,0.9994,0.9994,14972612,19455188,0.0000,0.0000,253,246,0.9994,-0.0003,0.0010,0.0000,0.0610,20.0590
5.7122,0.0200,settling,1,1.0000,1.0000,0.9999,0.9999,14973448,19455976,0.0000,0.0000,253,246,0.9999,-0.0003,-0.0020,0.0000,0.0610,20.0482
5.7370,0.0247,settling,1,1.0000,1.0000,1.0002,1.0001,14973986,19456538,0.0000,0.0000,54,49,1.0002,-0.0003,-0.0005,0.0000,0.0610,24.6917
5.7569,0.0200,settling,1,1.0000,1.0000,1.0002,1.0002,14974041,19456601,0.0000,0.0000,54,49,1.0002,-0.0003,0.0000,0.0000,0.0610,20.0137
5.7772,0.0202,settling,1,1.0000,1.0000,1.0002,1.0002,14974026,19456591,0.0000,0.0000,54,49,1.0002,-0.0003,0.0003,0.0000,0.0610,20.1762
5.7975,0.0201,settling,1,1.0000,1.0000,1.0002,1.0002,14973990,19456568,0.0000,0.0000,54,49,1.0002,-0.0003,0.0011,0.0000,0.0610,20.0973
5.8172,0.0200,settling,1,1.0000,1.0000,1.0001,1.0002,14973975,19456564,0.0000,0.0000,54,49,1.0002,-0.0003,0.0018,0.0000,0.0610,19.9543
5.8380,0.0204,settling,1,1.0000,1.0000,1.0002,1.0002,14973982,19456567,0.0000,0.0000,54,49,1.0002,-0.0003,0.0015,0.0000,0.0610,20.3550
5.8580,0.0200,settling,1,1.0000,1.0000,1.0002,1.0002,14973985,19456566,0.0000,0.0000,54,49,1.0002,-0.0003,0.0013,0.0000,0.0610,19.9906
5.8777,0.0202,settling,1,1.0000,1.0000,1.0001,1.0002,14973979,19456564,0.0000,0.0000,54,49,1.0002,-0.0003,0.0015,0.0000,0.0610,20.1684
5.8977,0.0200,settling,1,1.0000,1.0000,1.0002,1.0002,14973982,19456563,0.0000,0.0000,54,49,1.0002,-0.0003,0.0013,0.0000,0.0610,20.0344
5.9180,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973979,19456564,0.0000,0.0000,54,49,1.0002,-0.0003,0.0015,0.0000,0.0610,20.0718
5.9427,0.0248,settling,1,1.0000,1.0000,1.0001,1.0002,14973976,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0610,24.8399
5.9627,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973981,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0014,0.0000,0.0610,20.0527
5.9830,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973979,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.1458
6.0049,0.0221,settling,1,1.0000,1.0000,1.0001,1.0002,14973978,19456566,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,22.0679
6.0232,0.0183,settling,1,1.0000,1.0000,1.0001,1.0002,14973978,19456566,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,18.3080
6.0432,0.0199,settling,1,1.0000,1.0000,1.0001,1.0002,14973976,19456564,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,19.9060
6.0635,0.0202,settling,1,1.0000,1.0000,1.0001,1.0002,14973978,19456562,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.1707
6.0837,0.0202,settling,1,1.0000,1.0000,1.0001,1.0002,14973979,19456561,0.0000,0.0000,0,0,1.0002,-0.0003,0.0014,0.0000,0.0000,20.2380
6.1037,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973978,19456562,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.0549
6.1237,0.0200,settling,1,1.0000,1.0000,1.0001,1.0002,14973975,19456564,0.0000,0.0000,0,0,1.0002,-0.0003,0.0018,0.0000,0.0000,19.9523
6.1450,0.0213,settling,1,1.0000,1.0000,1.0001,1.0002,14973981,19456561,0.0000,0.0000,0,0,1.0002,-0.0003,0.0012,0.0000,0.0000,21.2947
6.1653,0.0202,settling,1,1.0000,1.0000,1.0001,1.0002,14973979,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.2158
6.1852,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973976,19456562,0.0000,0.0000,0,0,1.0002,-0.0003,0.0016,0.0000,0.0000,20.0553
6.2052,0.0200,settling,1,1.0000,1.0000,1.0001,1.0002,14973976,19456564,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,20.0497
6.2258,0.0204,settling,1,1.0000,1.0000,1.0001,1.0002,14973976,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,20.3591
6.2455,0.0199,settling,1,1.0000,1.0000,1.0001,1.0002,14973981,19456564,0.0000,0.0000,0,0,1.0002,-0.0003,0.0014,0.0000,0.0000,19.9184
6.2655,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973978,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.0556
6.2857,0.0201,settling,1,1.0000,1.0000,1.0001,1.0002,14973977,19456562,0.0000,0.0000,0,0,1.0002,-0.0003,0.0015,0.0000,0.0000,20.1242
6.3057,0.0200,settling,1,1.0000,1.0000,1.0001,1.0002,14973975,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,0.0000,20.0294
6.3260,0.0202,settling,1,1.0000,1.0000,1.0001,1.0002,14973977,19456564,0.0000,0.0000,0,0,1.0002,-0.0003,0.0017,0.0000,-0.0610,20.1504
6.3470,0.0210,settling,1,1.0000,1.0000,1.0001,1.0002,14973981,19456563,0.0000,0.0000,0,0,1.0002,-0.0003,0.0014,0.0000,-0.0610,21.0499
