time,profile,counts_per_wheel_rev,log_dir,segment,kind,spec,speed_motor_rpm,target_left,target_right,final_left,final_right,error_left,error_right,encoder_left_m,encoder_right_m,encoder_distance_m,encoder_heading_deg,encoder_dx_m,encoder_dy_m,commanded_distance_m,commanded_heading_deg,commanded_dx_m,commanded_dy_m,duration_s,measured_distance_m,measured_heading_deg,notes
2026-09-15 17:38:49,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0026-blind_20260915_173843,1,straight,distance_m=1.0,636.6198,1909859,1909859,1910145,1910167,286,308,1.0001,1.0002,1.0002,0.0014,1.0002,-0.0003,1.0000,0.0000,1.0000,0.0000,6.4417,,,
2026-09-15 20:07:56,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0027-blind_20260915_200754,1,straight,distance_m=0.05,636.6198,95493,95493,95811,95879,318,386,0.0502,0.0502,0.0502,0.0042,0.0502,-0.0000,0.0500,0.0000,0.0500,0.0000,1.4690,,,
2026-09-15 20:10:40,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0028-blind_20260915_201038,1,straight,distance_m=0.05,636.6198,95493,95493,95724,95728,231,235,0.0501,0.0501,0.0501,0.0002,0.0501,-0.0000,0.0500,0.0000,0.0500,0.0000,1.4544,,,
2026-09-15 20:11:25,agv-01,1080000.0000,/home/gvipc-evo-01/agv_can/logs/0029-blind_20260915_201121,1,straight,distance_m=0.57,1591.5494,1088620,1088620,1088835,1088794,215,174,0.5701,0.5701,0.5701,-0.0025,0.5701,-0.0002,0.5700,0.0000,0.5700,0.0000,3.5314,,,
