# profile=agv-01 K_RATIO=11.3 KD=0.94 SLOW_K_RATIO=25.0 SLOW_KD=5.0 KI=0.0 TAU_D=0.05 AUTO_RPM=1000.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2400 6084h=3200 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow,k_used
0.0008,0.0200,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0034,1.6000,1.6021,1.5911,1.0000,0,0,1,1,,5943,5943,20.0000,left,0,11.3000
0.0199,0.0191,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0124,4.5876,4.5840,4.5664,1.0000,0,0,1,1,,5943,5943,19.1015,left,0,11.3000
0.0397,0.0199,run,2.0000,-2.0000,0.0000,0.0000,0.0000,-0.0000,0.0305,9.2944,9.2891,9.2387,1.0000,0,0,1,1,,5943,5943,19.9326,left,0,11.3000
0.0602,0.0203,run,2.0000,-2.0000,0.0001,0.0000,0.0000,-0.0001,0.0602,15.7350,15.7258,15.6237,1.0000,0,0,1,1,,5943,5943,20.2967,left,0,11.3000
0.0805,0.0203,run,2.0000,-2.0000,0.0001,0.0000,0.0000,-0.0001,0.1031,23.8067,23.7900,23.6172,1.0000,0,0,1,1,,5943,5943,20.2618,left,0,11.3000
0.1004,0.0200,run,2.0000,-2.0000,0.0002,0.0000,0.0000,-0.0002,0.1599,33.3708,33.3417,33.0802,1.0000,0,0,1,1,,5943,5943,19.9941,left,0,11.3000
0.1205,0.0201,run,2.0000,-2.0000,0.0002,0.0000,0.0000,-0.0002,0.2329,44.5943,44.5447,44.1782,1.0000,0,0,1,1,,5943,5943,20.0886,left,0,11.3000
0.1406,0.0201,run,2.0000,-2.0000,0.0003,0.0000,0.0000,-0.0003,0.3229,57.4177,57.3397,56.8499,1.0000,0,0,1,1,,5943,5943,20.0687,left,0,11.3000
0.1606,0.0200,run,2.0000,-2.0000,0.0004,0.0000,0.0000,-0.0004,0.4309,71.8260,71.7105,71.0798,1.0000,0,0,1,1,,5943,5943,20.0360,left,0,11.3000
0.1806,0.0201,run,2.0000,-2.0000,0.0005,0.0000,0.0000,-0.0005,0.5579,87.8577,87.6943,86.9054,1.0000,0,0,1,1,,5943,5943,20.0561,left,0,11.3000
0.2008,0.0201,run,2.0000,-2.0000,0.0006,0.0000,0.0000,-0.0006,0.7052,105.5624,105.3397,104.3747,1.0000,0,0,1,1,,5943,5943,20.1227,left,0,11.3000
0.2279,0.0271,run,2.0000,-2.0000,0.0007,0.0000,0.0000,-0.0007,0.9412,132.3667,132.0052,130.8458,1.0000,97,102,1,1,,823,1847,27.1211,left,0,11.3000
